NOC match,NOC code,LMIC's preliminary short list
Other repairers and servicers,7445,No
Material handlers,7452,No
Material handlers,7452,No
Material handlers,7452,No
Transport truck drivers,7511,Yes
Transport truck drivers,7511,Yes
"
Taxi and limousine drivers and chauffeurs",7513,No
Delivery and courier service drivers,7514,Yes
Delivery and courier service drivers,7514,Yes
Heavy equipment operators (except crane),7521,No
Heavy equipment operators (except crane),7521,No
Public works maintenance equipment operators and related workers,7522,Yes
Railway yard and track maintenance workers,7531,No
Water transport deck and engine room crew,7532,No
Water transport deck and engine room crew,7532,No
Boat and cable ferry operators and related occupations,7533,No
Boat and cable ferry operators and related occupations,7533,No
Construction trades helpers and labourers,7611,Yes
Construction trades helpers and labourers,7611,Yes
Other trades helpers and labourers,7612,No
Public works and maintenance labourers,7621,Yes
Public works and maintenance labourers,7621,Yes
Public works and maintenance labourers,7621,Yes
Public Works and Maintenance Labourers,7621,Yes
Railway and motor transport labourers,7622,Yes
Railway and motor transport labourers,7622,Yes
Railway and motor transport labourers,7622,Yes
Railway and motor transport labourers,7622,Yes
"Supervisors, logging and forestry",8211,No
"
Supervisors, mining and quarrying",8221,No
"Contractors and supervisors, oil and gas drilling and services",8222,No
Underground production and development miners,8231,No
"Agricultural service contractors, farm supervisors and specialized livestock workers",8252,No
Fishing masters and officers,8261,No
Fishermen/women,8262,No
Oil and gas well drilling and related workers and services operators,8412,No
Silviculture and forestry workers,8422,No
General farm workers,8431,Yes
Fishing vessel deckhands,8441,No
Trappers and hunters,8442,No
Harvesting labourers,8611,No
Landscaping and grounds maintenance labourers,8612,Yes
Aquaculture and marine harvest labourers,8613,No
Mine labourers,8614,No
"Oil and gas drilling, servicing and related labourers",8615,No
"
Logging and forestry labourers",8616,No
"Supervisors, petroleum, gas and chemical processing and utilities",9212,No
"Supervisors, food and beverage processing",9213,No
"Central control and process operators, mineral and metal processing",9231,No
"Petroleum, gas and chemical process operators",9232,No
Power engineers and power systems operators,9241,Yes
Power engineers and power systems operators,9241,Yes
Water and waste treatment plant operators,9243,Yes
"
Water and waste treatment plant operators",9243,Yes
Foundry workers,9412,No
Glass forming and finishing machine operators and glass cutters,9413,No
"Concrete, clay and stone forming operators",9414,No
"Concrete, clay and stone forming operators",9414,No
"Concrete, clay and stone forming operators",9414,No
"Inspectors and testers, mineral and metal processing",9415,No
Metalworking and forging machine operators,9416,No
Machining tool operators,9417,No
Other metal products machine operators,9418,No
Other metal products machine operators,9418,No
Chemical plant machine operators,9421,No
Plastics processing machine operators,9422,No
Rubber processing machine operators and related workers,9423,No
Sawmill machine operators,9431,No
Pulp mill machine operators,9432,No
Papermaking and finishing machine operators,9433,No
Other wood processing machine operators,9434,No
Paper converting machine operators,9435,No
Lumber graders and other wood processing inspectors and graders,9436,No
Woodworking machine operators,9437,No
"Textile fibre and yarn, hide and pelt processing machine operators and workers",9441,No
"Inspectors and graders, textile, fabric, fur and leather products manufacturing",9447,No
"Process control and machine operators, food and beverage processing",9461,No
Fish and seafood plant workers,9463,No
Mechanical assemblers and inspectors,9526,No
Mechanical assemblers and inspectors,9526,No
"Industrial painters, coaters and metal finishing process operators",9536,No
"Industrial painters, coaters and metal finishing process operators",9536,No
"Other products assemblers, finishers and inspectors",9537,No
Labourers in metal fabrication,9612,No
Labourers in metal fabrication,9612,No
Labourers in chemical products processing and utilities,9613,No
"Labourers in wood, pulp and paper processing",9614,No
Labourers in fish and seafood processing,9618,No
"Other labourers in processing, manufacturing and utilities",9619,No
