"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Edmonton,,,,
Global non-response rate (GNR) =   5.7 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        1451 Library assistants and clerks,925,28489,30104,
"        1452 Correspondence, publication and regulatory clerks",1330,48242,54096,
        1454 Survey interviewers and statistical clerks,1120,11393,24885,
"    15 Distribution, tracking and scheduling co-ordination occupations",15945,46667,48961,
      151 Mail and message distribution occupations,3410,42019,38969,
"        1511 Mail, postal and related workers",1140,42170,39638,
        1512 Letter carriers,1170,52682,48511,
"        1513 Couriers, messengers and door-to-door distributors",1105,21340,28125,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",12535,47676,51680,
        1521 Shippers and receivers,5515,42241,42750,
        1522 Storekeepers and partspersons,2475,55863,57485,
        1523 Production logistics co-ordinators,1090,63543,77148,
        1524 Purchasing and inventory control workers,1370,44694,46432,
        1525 Dispatchers,1875,54557,58516,
        1526 Transportation route and crew schedulers,205,55281,59093,
  2 Natural and applied sciences and related occupations,55055,78379,87697,
    21 Professional occupations in natural and applied sciences,27985,86089,96421,
      211 Physical science professionals,1380,79094,89712,
        2111 Physicists and astronomers,105,76668,98560,
        2112 Chemists,700,73587,90535,
        2113 Geoscientists and oceanographers,375,85040,89327,
        2114 Meteorologists and climatologists,125,83790,81940,
        2115 Other professional occupations in physical sciences,75,96684,84371,
      212 Life science professionals,1385,70986,72420,
        2121 Biologists and related scientists,1040,68434,70152,
        2122 Forestry professionals,130,98907,98627,
"        2123 Agricultural representatives, consultants and specialists",210,73659,67139,
"      213 Civil, mechanical, electrical and chemical engineers",10140,99969,117913,
        2131 Civil engineers,3820,95260,118400,
        2132 Mechanical engineers,2740,98135,114492,
        2133 Electrical and electronics engineers,2530,102946,112713,
        2134 Chemical engineers,1050,122596,137589,
      214 Other engineers,2520,95678,105422,
        2141 Industrial and manufacturing engineers,515,93897,105630,
        2142 Metallurgical and materials engineers,365,96155,104098,
        2143 Mining engineers,100,107633,128730,
        2144 Geological engineers,145,105966,115339,
        2145 Petroleum engineers,665,105442,115329,
        2146 Aerospace engineers,20,0,0,
        2147 Computer engineers (except software engineers and designers),600,90711,92949,
"        2148 Other professional engineers, n.e.c.",115,93508,83014,
"      215 Architects, urban planners and land surveyors",1830,86039,91656,
        2151 Architects,480,76635,101204,
        2152 Landscape architects,70,89690,103645,
        2153 Urban and land use planners,780,89190,86168,
        2154 Land surveyors,500,83971,89324,
"      216 Mathematicians, statisticians and actuaries",215,82124,81837,
"        2161 Mathematicians, statisticians and actuaries",215,82124,81837,
      217 Computer and information systems professionals,10505,78805,78702,
        2171 Information systems analysts and consultants,6085,83881,82754,
        2172 Database analysts and data administrators,615,81638,79303,
        2173 Software engineers and designers,880,83673,90791,
        2174 Computer programmers and interactive media developers,2265,69733,72470,
        2175 Web designers and developers,650,44308,45644,
    22 Technical occupations related to natural and applied sciences,27070,69199,78678,
      221 Technical occupations in physical sciences,1880,65473,76899,
        2211 Chemical technologists and technicians,1305,63819,74941,
        2212 Geological and mineral technologists and technicians,570,70297,81363,
      222 Technical occupations in life sciences,1340,45894,49927,
        2221 Biological technologists and technicians,330,49819,51419,
        2222 Agricultural and fish products inspectors,90,79717,79275,
        2223 Forestry technologists and technicians,145,50857,62255,
        2224 Conservation and fishery officers,100,77233,65474,
        2225 Landscape and horticulture technicians and specialists,675,37081,40131,
