"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Montréal [1],,,,
Global non-response rate (GNR) =   3.7 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
        2242 Electronic service technicians (household and business equipment),4730,39399,40122,
        2243 Industrial instrument technicians and mechanics,750,64908,64099,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",1310,74096,69611,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",8485,43353,45793,
        2251 Architectural technologists and technicians,1670,44087,49375,
        2252 Industrial designers,1965,43449,46827,
        2253 Drafting technologists and technicians,3680,42569,43753,
        2254 Land survey technologists and technicians,710,41164,43039,
        2255 Technical occupations in geomatics and meteorology,460,51167,48923,
      226 Other technical inspectors and regulatory officers,4930,57913,60797,
        2261 Non-destructive testers and inspection technicians,435,59008,60982,
        2262 Engineering inspectors and regulatory officers,840,69229,75251,
        2263 Inspectors in public and environmental health and occupational health and safety,2320,58777,60771,
        2264 Construction inspectors,1325,51189,51638,
      227 Transportation officers and controllers,2755,84107,100580,
"        2271 Air pilots, flight engineers and flying instructors",1795,91823,103711,
        2272 Air traffic controllers and related occupations,500,74473,103150,
"        2273 Deck officers, water transport",215,69874,96834,
"        2274 Engineer officers, water transport",90,72584,71930,
        2275 Railway traffic controllers and marine traffic regulators,150,84267,77579,
      228 Technical occupations in computer and information systems,19865,50213,52490,
        2281 Computer network technicians,11210,54887,57605,
        2282 User support technicians,6775,46216,48709,
        2283 Information systems testing technicians,1885,26828,35693,
