"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Quebec / QuÈbec [1],,,,
Global non-response rate (GNR) =   4.3 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
        2154 Land surveyors,1805,60744,64363,
"      216 Mathematicians, statisticians and actuaries",3805,73411,88144,
"        2161 Mathematicians, statisticians and actuaries",3810,73411,88144,
      217 Computer and information systems professionals,77125,65725,66363,
        2171 Information systems analysts and consultants,30155,71883,71682,
        2172 Database analysts and data administrators,4950,68038,68983,
        2173 Software engineers and designers,6910,80974,82117,
        2174 Computer programmers and interactive media developers,28770,61430,62144,
        2175 Web designers and developers,6335,38453,40975,
    22 Technical occupations related to natural and applied sciences,132050,48764,52572,
      221 Technical occupations in physical sciences,7630,46888,52564,
        2211 Chemical technologists and technicians,6065,44991,49432,
        2212 Geological and mineral technologists and technicians,1565,59976,64700,
      222 Technical occupations in life sciences,11970,29508,34908,
        2221 Biological technologists and technicians,2455,37494,37885,
        2222 Agricultural and fish products inspectors,1020,62551,58007,
        2223 Forestry technologists and technicians,2065,41197,41489,
        2224 Conservation and fishery officers,795,49147,48085,
        2225 Landscape and horticulture technicians and specialists,5635,20273,25163,
"      223 Technical occupations in civil, mechanical and industrial engineering",23390,51303,53698,
        2231 Civil engineering technologists and technicians,8190,48936,50221,
        2232 Mechanical engineering technologists and technicians,6270,58282,59337,
        2233 Industrial engineering and manufacturing technologists and technicians,4350,52325,54026,
        2234 Construction estimators,4575,47808,51877,
      224 Technical occupations in electronics and electrical engineering,23895,52661,55467,
        2241 Electrical and electronics engineering technologists and technicians,12095,59150,61480,
        2242 Electronic service technicians (household and business equipment),8085,38681,39485,
        2243 Industrial instrument technicians and mechanics,2025,73240,71906,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",1685,72930,69198,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",17870,42385,44527,
        2251 Architectural technologists and technicians,3230,42520,47119,
        2252 Industrial designers,3180,43341,46368,
        2253 Drafting technologists and technicians,7890,40579,42425,
        2254 Land survey technologists and technicians,2180,40854,42714,
        2255 Technical occupations in geomatics and meteorology,1395,49157,49053,
      226 Other technical inspectors and regulatory officers,10105,56107,58352,
        2261 Non-destructive testers and inspection technicians,765,57516,59563,
        2262 Engineering inspectors and regulatory officers,1370,68185,72031,
        2263 Inspectors in public and environmental health and occupational health and safety,5070,56222,58921,
        2264 Construction inspectors,2900,50786,50590,
      227 Transportation officers and controllers,5215,80006,95261,
"        2271 Air pilots, flight engineers and flying instructors",2990,85280,100002,
        2272 Air traffic controllers and related occupations,770,78306,94770,
"        2273 Deck officers, water transport",815,76573,96819,
"        2274 Engineer officers, water transport",445,63931,65526,
        2275 Railway traffic controllers and marine traffic regulators,200,85267,85606,
      228 Technical occupations in computer and information systems,31980,50338,51909,
        2281 Computer network technicians,18995,53938,56505,
        2282 User support technicians,10480,45851,47379,
        2283 Information systems testing technicians,2505,27112,36016,
  3 Health occupations,299045,41322,52645,
    30 Professional occupations in nursing,70295,60595,57699,
      301 Professional occupations in nursing,70295,60595,57699,
        3011 Nursing co-ordinators and supervisors,4215,76110,72347,
        3012 Registered nurses and registered psychiatric nurses,66075,59710,56764,
    31 Professional occupations in health (except nursing),60790,69352,100462,
"      311 Physicians, dentists and veterinarians",27840,106236,141775,
        3111 Specialist physicians,10170,139725,179856,
        3112 General practitioners and family physicians,11550,102016,128851,
        3113 Dentists,3890,106058,118837,
        3114 Veterinarians,2225,70261,74999,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",5470,46558,57613,
        3121 Optometrists,1325,88441,89964,
        3122 Chiropractors,1100,54913,63748,
        3124 Allied primary health practitioners,565,65328,63889,
        3125 Other professional occupations in health diagnosing and treating,2480,26612,36172,
"      313 Pharmacists, dietitians and nutritionists",11550,87399,91273,
        3131 Pharmacists,8890,102011,104134,
        3132 Dietitians and nutritionists,2660,51140,48277,
      314 Therapy and assessment professionals,15920,52685,49629,
        3141 Audiologists and speech-language pathologists,2760,56748,52238,
        3142 Physiotherapists,6185,54876,53306,
        3143 Occupational therapists,4490,59182,54202,
        3144 Other professional occupations in therapy and assessment,2495,25622,29382,
    32 Technical occupations in health,87785,36873,37141,
      321 Medical technologists and technicians (except dental health),39970,36230,37175,
        3211 Medical laboratory technologists,4415,51248,48247,
        3212 Medical laboratory technicians and pathologists' assistants,4725,44288,40579,
        3213 Animal health technologists and veterinary technicians,3425,28924,29266,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",4025,56600,54204,
        3215 Medical radiation technologists,5245,50626,48259,
        3216 Medical sonographers,225,51635,47593,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",685,44706,43307,
        3219 Other medical technologists and technicians (except dental health),17220,27030,27239,
      322 Technical occupations in dental health care,8265,41953,42983,
        3221 Denturists,935,46485,61346,
        3222 Dental hygienists and dental therapists,6070,42621,41363,
"        3223 Dental technologists, technicians and laboratory assistants",1265,34654,37156,
      323 Other technical occupations in health care,39550,36040,35886,
        3231 Opticians,2010,42428,41309,
        3232 Practitioners of natural healing,1460,18592,26786,
        3233 Licensed practical nurses,20990,40574,38713,
        3234 Paramedical occupations,4945,60506,58180,
        3236 Massage therapists,8020,12929,14619,
        3237 Other technical occupations in therapy and assessment,2125,34053,37488,
    34 Assisting occupations in support of health services,80185,28691,28937,
      341 Assisting occupations in support of health services,80180,28691,28937,
        3411 Dental assistants,5700,28281,28229,
"        3413 Nurse aides, orderlies and patient service associates",66535,28481,28499,
        3414 Other assisting occupations in support of health services,7945,30483,33115,
"  4 Occupations in education, law and social, community and government services",513395,41268,48171,
    40 Professional occupations in education services,177370,57997,54309,
      401 University professors and post-secondary assistants,33310,36117,55815,
        4011 University professors and lecturers,16630,92501,87955,
        4012 Post-secondary teaching and research assistants,16680,10978,23775,
      402 College and other vocational instructors,32550,60451,54879,
        4021 College and other vocational instructors,32555,60451,54879,
      403 Secondary and elementary school teachers and educational counsellors,111505,59660,53693,
        4031 Secondary school teachers,45535,63939,57025,
        4032 Elementary school and kindergarten teachers,60130,56721,51033,
        4033 Educational counsellors,5840,56992,55093,
"    41 Professional occupations in law and social, community and government services",106665,57222,66544,
"      411 Judges, lawyers and Quebec notaries",22545,77511,107625,
        4111 Judges,1145,222158,197643,
        4112 Lawyers and Quebec notaries,21395,74402,102796,
      415 Social and community service professionals,34395,50951,49811,
        4151 Psychologists,8105,53343,52516,
        4152 Social workers,13795,54568,51660,
"        4153 Family, marriage and other related counsellors",6605,53596,49129,
        4154 Professional occupations in religion,2125,32395,35547,
        4155 Probation and parole officers and related occupations,965,65721,62868,
        4156 Employment counsellors,2815,39964,40829,
"      416 Policy and program researchers, consultants and officers",49720,56993,59494,
"        4161 Natural and applied science policy researchers, consultants and program officers",5670,63402,65135,
        4162 Economists and economic policy researchers and analysts,3985,72939,90807,
        4163 Business development officers and marketing researchers and consultants,11155,49687,56105,
"        4164 Social policy researchers, consultants and program officers",8010,58569,59405,
"        4165 Health policy researchers, consultants and program officers",6035,61845,62531,
"        4166 Education policy researchers, consultants and program officers",5730,64500,58793,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",2155,39508,44105,
        4168 Program officers unique to government,5590,43767,44834,
"        4169 Other professional occupations in social science, n.e.c.",1390,45164,46938,
"    42 Paraprofessional occupations in legal, social, community and education services",141115,27379,28921,
"      421 Paraprofessional occupations in legal, social, community and education services",141115,27379,28921,
        4211 Paralegal and related occupations,4835,40938,44255,
        4212 Social and community service workers,28870,33300,34168,
        4214 Early childhood educators and assistants,86180,24256,24976,
        4215 Instructors of persons with disabilities,14610,41051,39332,
        4216 Other instructors,4375,13793,19371,
        4217 Other religious occupations,2250,27408,30721,
    43 Occupations in front-line public protection services,34180,78759,74814,
      431 Occupations in front-line public protection services,34185,78759,74814,
        4311 Police officers (except commissioned),17895,88816,84115,
        4312 Firefighters,6465,86336,80827,
        4313 Non-commissioned ranks of the Canadian Armed Forces,9825,61484,53928,
"    44 Care providers and educational, legal and public protection support occupations",54060,19623,25188,
      441 Home care providers and educational support occupations,46805,16912,19828,
        4411 Home child care providers,9560,14728,16292,
"        4412 Home support workers, housekeepers and related occupations",17160,17885,20276,
        4413 Elementary and secondary school teacher assistants,20095,17292,21127,
      442 Legal and public protection support occupations,7255,61875,59772,
        4421 Sheriffs and bailiffs,630,40938,49434,
        4422 Correctional service officers,4480,67914,66993,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",2150,47235,47743,
"  5 Occupations in art, culture, recreation and sport",145350,19444,29760,
    51 Professional occupations in art and culture,50110,26472,36413,
"      511 Librarians, archivists, conservators and curators",2670,52279,50492,
