"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Northwest Territories / Territoires du Nord-Ouest [1],,,,
Global non-response rate (GNR) =   8.8 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
        2175 Web designers and developers,25,0,0,
    22 Technical occupations related to natural and applied sciences,975,82483,82696,
      221 Technical occupations in physical sciences,65,102165,96117,
        2211 Chemical technologists and technicians,40,85134,82376,
        2212 Geological and mineral technologists and technicians,30,119331,115717,
      222 Technical occupations in life sciences,100,85749,80012,
        2221 Biological technologists and technicians,20,74752,70025,
        2222 Agricultural and fish products inspectors,0,0,0,
        2223 Forestry technologists and technicians,15,81664,91085,
        2224 Conservation and fishery officers,55,87296,80806,
        2225 Landscape and horticulture technicians and specialists,0,0,0,
"      223 Technical occupations in civil, mechanical and industrial engineering",50,97039,91249,
        2231 Civil engineering technologists and technicians,20,108945,92393,
        2232 Mechanical engineering technologists and technicians,10,0,102359,
        2233 Industrial engineering and manufacturing technologists and technicians,0,0,0,
        2234 Construction estimators,15,0,65320,
      224 Technical occupations in electronics and electrical engineering,155,78230,82800,
        2241 Electrical and electronics engineering technologists and technicians,50,112350,95279,
        2242 Electronic service technicians (household and business equipment),65,53605,53561,
        2243 Industrial instrument technicians and mechanics,15,127376,162614,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",15,0,82457,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",100,88564,89184,
        2251 Architectural technologists and technicians,25,0,0,
        2252 Industrial designers,0,0,0,
        2253 Drafting technologists and technicians,10,0,0,
        2254 Land survey technologists and technicians,0,0,0,
        2255 Technical occupations in geomatics and meteorology,70,98382,100573,
      226 Other technical inspectors and regulatory officers,110,98363,93846,
        2261 Non-destructive testers and inspection technicians,0,0,0,
        2262 Engineering inspectors and regulatory officers,15,0,104452,
        2263 Inspectors in public and environmental health and occupational health and safety,80,114265,95741,
        2264 Construction inspectors,15,87116,75281,
      227 Transportation officers and controllers,265,56110,66391,
"        2271 Air pilots, flight engineers and flying instructors",205,54476,64977,
        2272 Air traffic controllers and related occupations,40,46546,64603,
"        2273 Deck officers, water transport",15,75985,82951,
"        2274 Engineer officers, water transport",10,0,0,
        2275 Railway traffic controllers and marine traffic regulators,0,0,0,
      228 Technical occupations in computer and information systems,130,94538,93029,
        2281 Computer network technicians,90,95624,99906,
        2282 User support technicians,40,85213,76126,
        2283 Information systems testing technicians,0,0,0,
  3 Health occupations,1270,83927,91408,
    30 Professional occupations in nursing,410,105574,98386,
      301 Professional occupations in nursing,405,105574,98386,
        3011 Nursing co-ordinators and supervisors,25,96020,101008,
        3012 Registered nurses and registered psychiatric nurses,385,106214,98219,
    31 Professional occupations in health (except nursing),250,119022,145352,
"      311 Physicians, dentists and veterinarians",90,150471,217650,
        3111 Specialist physicians,15,0,0,
        3112 General practitioners and family physicians,55,208932,230299,
        3113 Dentists,20,103939,85335,
        3114 Veterinarians,0,0,0,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",50,124372,123570,
        3121 Optometrists,0,0,0,
        3122 Chiropractors,0,0,0,
        3124 Allied primary health practitioners,40,124736,131292,
        3125 Other professional occupations in health diagnosing and treating,0,0,0,
"      313 Pharmacists, dietitians and nutritionists",30,134323,114677,
        3131 Pharmacists,20,136332,120066,
        3132 Dietitians and nutritionists,10,0,0,
      314 Therapy and assessment professionals,75,90090,83267,
        3141 Audiologists and speech-language pathologists,20,96185,101055,
        3142 Physiotherapists,25,96837,96193,
        3143 Occupational therapists,20,89610,71673,
        3144 Other professional occupations in therapy and assessment,15,0,0,
    32 Technical occupations in health,265,72669,73219,
      321 Medical technologists and technicians (except dental health),95,67721,72241,
        3211 Medical laboratory technologists,15,23929,72797,
        3212 Medical laboratory technicians and pathologists' assistants,10,0,0,
        3213 Animal health technologists and veterinary technicians,15,0,0,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",0,0,0,
        3215 Medical radiation technologists,15,80948,84831,
        3216 Medical sonographers,10,0,0,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",0,0,0,
        3219 Other medical technologists and technicians (except dental health),30,38937,50043,
      322 Technical occupations in dental health care,35,90738,88563,
        3221 Denturists,0,0,0,
        3222 Dental hygienists and dental therapists,25,95946,93361,
"        3223 Dental technologists, technicians and laboratory assistants",10,0,0,
      323 Other technical occupations in health care,130,65920,69672,
        3231 Opticians,0,0,0,
        3232 Practitioners of natural healing,10,0,0,
        3233 Licensed practical nurses,60,91483,84129,
        3234 Paramedical occupations,25,48634,62228,
        3236 Massage therapists,20,0,0,
        3237 Other technical occupations in therapy and assessment,15,0,90175,
    34 Assisting occupations in support of health services,345,62621,57999,
      341 Assisting occupations in support of health services,345,62621,57999,
        3411 Dental assistants,25,37563,37151,
"        3413 Nurse aides, orderlies and patient service associates",240,60380,56251,
        3414 Other assisting occupations in support of health services,80,74413,69303,
"  4 Occupations in education, law and social, community and government services",4155,77900,77257,
    40 Professional occupations in education services,980,99357,89208,
      401 University professors and post-secondary assistants,20,22325,22210,
        4011 University professors and lecturers,0,0,0,
