"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Saint John,,,,
Global non-response rate (GNR) =   4.9 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        2222 Agricultural and fish products inspectors,20,0,76217,
        2223 Forestry technologists and technicians,15,0,0,
        2224 Conservation and fishery officers,25,0,55917,
        2225 Landscape and horticulture technicians and specialists,35,31028,35517,
"      223 Technical occupations in civil, mechanical and industrial engineering",305,62735,65915,
        2231 Civil engineering technologists and technicians,75,58113,53135,
        2232 Mechanical engineering technologists and technicians,80,73057,68592,
        2233 Industrial engineering and manufacturing technologists and technicians,70,72487,84650,
        2234 Construction estimators,80,59860,59065,
      224 Technical occupations in electronics and electrical engineering,420,59813,66011,
        2241 Electrical and electronics engineering technologists and technicians,160,72119,76269,
        2242 Electronic service technicians (household and business equipment),155,47161,44413,
        2243 Industrial instrument technicians and mechanics,90,91771,81254,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",15,0,0,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",125,46010,44731,
        2251 Architectural technologists and technicians,30,0,0,
        2252 Industrial designers,10,0,0,
        2253 Drafting technologists and technicians,60,42909,44431,
        2254 Land survey technologists and technicians,0,0,0,
        2255 Technical occupations in geomatics and meteorology,25,0,54835,
      226 Other technical inspectors and regulatory officers,370,65834,70018,
        2261 Non-destructive testers and inspection technicians,125,70947,74909,
        2262 Engineering inspectors and regulatory officers,25,0,62025,
        2263 Inspectors in public and environmental health and occupational health and safety,150,65984,68848,
        2264 Construction inspectors,65,64019,66847,
      227 Transportation officers and controllers,260,66240,76346,
"        2271 Air pilots, flight engineers and flying instructors",30,168717,131922,
        2272 Air traffic controllers and related occupations,20,0,79536,
"        2273 Deck officers, water transport",140,47693,61746,
"        2274 Engineer officers, water transport",35,82596,83909,
        2275 Railway traffic controllers and marine traffic regulators,25,0,0,
      228 Technical occupations in computer and information systems,830,43340,46892,
        2281 Computer network technicians,415,52501,53745,
        2282 User support technicians,390,36726,39830,
        2283 Information systems testing technicians,25,0,0,
  3 Health occupations,5895,45746,54222,
    30 Professional occupations in nursing,1745,70700,62301,
      301 Professional occupations in nursing,1745,70700,62301,
        3011 Nursing co-ordinators and supervisors,45,78976,80274,
        3012 Registered nurses and registered psychiatric nurses,1695,70462,61820,
    31 Professional occupations in health (except nursing),990,74211,93868,
"      311 Physicians, dentists and veterinarians",410,116906,134065,
        3111 Specialist physicians,190,143007,168596,
        3112 General practitioners and family physicians,130,112617,112137,
        3113 Dentists,55,116796,105210,
        3114 Veterinarians,35,77721,72098,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",50,72456,71665,
        3121 Optometrists,15,0,0,
        3122 Chiropractors,0,0,0,
        3124 Allied primary health practitioners,15,0,0,
        3125 Other professional occupations in health diagnosing and treating,10,0,0,
"      313 Pharmacists, dietitians and nutritionists",270,78335,73387,
        3131 Pharmacists,185,93343,85230,
        3132 Dietitians and nutritionists,85,55225,47727,
      314 Therapy and assessment professionals,255,59862,55138,
        3141 Audiologists and speech-language pathologists,50,64534,60739,
        3142 Physiotherapists,130,62643,58976,
        3143 Occupational therapists,60,55431,51164,
        3144 Other professional occupations in therapy and assessment,15,0,0,
    32 Technical occupations in health,1735,43173,44146,
      321 Medical technologists and technicians (except dental health),790,42616,46910,
        3211 Medical laboratory technologists,135,54435,49117,
        3212 Medical laboratory technicians and pathologists' assistants,85,40470,39566,
        3213 Animal health technologists and veterinary technicians,55,29279,27687,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",90,62597,67517,
        3215 Medical radiation technologists,170,65217,67578,
        3216 Medical sonographers,15,0,0,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",35,49507,44193,
        3219 Other medical technologists and technicians (except dental health),200,30037,28189,
      322 Technical occupations in dental health care,95,57169,61148,
        3221 Denturists,10,0,0,
        3222 Dental hygienists and dental therapists,85,52887,50751,
"        3223 Dental technologists, technicians and laboratory assistants",0,0,0,
      323 Other technical occupations in health care,850,40914,39651,
        3231 Opticians,40,48040,43743,
        3232 Practitioners of natural healing,15,0,0,
        3233 Licensed practical nurses,520,39915,38195,
        3234 Paramedical occupations,135,57767,59004,
        3236 Massage therapists,100,28462,27644,
        3237 Other technical occupations in therapy and assessment,30,22271,25411,
    34 Assisting occupations in support of health services,1430,30374,29112,
      341 Assisting occupations in support of health services,1430,30374,29112,
        3411 Dental assistants,100,33574,33237,
"        3413 Nurse aides, orderlies and patient service associates",1210,29339,28277,
        3414 Other assisting occupations in support of health services,120,29968,34153,
"  4 Occupations in education, law and social, community and government services",7710,35159,46244,
    40 Professional occupations in education services,2375,66652,59605,
      401 University professors and post-secondary assistants,375,27618,55599,
        4011 University professors and lecturers,180,108433,102879,
        4012 Post-secondary teaching and research assistants,190,6483,11011,
      402 College and other vocational instructors,380,66954,63561,
        4021 College and other vocational instructors,380,66954,63561,
      403 Secondary and elementary school teachers and educational counsellors,1615,69508,59595,
        4031 Secondary school teachers,520,74427,64787,
        4032 Elementary school and kindergarten teachers,1020,65613,56880,
        4033 Educational counsellors,70,70025,60351,
"    41 Professional occupations in law and social, community and government services",1435,53568,59863,
"      411 Judges, lawyers and Quebec notaries",285,68364,94080,
        4111 Judges,15,0,0,
        4112 Lawyers and Quebec notaries,265,64715,86976,
      415 Social and community service professionals,540,49207,48565,
        4151 Psychologists,65,64200,61795,
        4152 Social workers,250,62227,53234,
"        4153 Family, marriage and other related counsellors",50,28592,28172,
        4154 Professional occupations in religion,115,44405,40514,
        4155 Probation and parole officers and related occupations,15,0,0,
        4156 Employment counsellors,45,29549,42045,
"      416 Policy and program researchers, consultants and officers",605,47038,53878,
"        4161 Natural and applied science policy researchers, consultants and program officers",80,96329,85470,
        4162 Economists and economic policy researchers and analysts,55,60943,69600,
        4163 Business development officers and marketing researchers and consultants,180,46560,56249,
"        4164 Social policy researchers, consultants and program officers",80,44435,43900,
"        4165 Health policy researchers, consultants and program officers",65,39897,43113,
"        4166 Education policy researchers, consultants and program officers",75,51030,50555,
