"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Victoria [1],,,,
Global non-response rate (GNR) =   4.9 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
"        2123 Agricultural representatives, consultants and specialists",30,0,0,
"      213 Civil, mechanical, electrical and chemical engineers",1275,76840,78436,
        2131 Civil engineers,515,84215,85195,
        2132 Mechanical engineers,400,69767,74417,
        2133 Electrical and electronics engineers,350,75729,74898,
        2134 Chemical engineers,20,0,0,
      214 Other engineers,590,80328,82179,
        2141 Industrial and manufacturing engineers,70,57936,72373,
        2142 Metallurgical and materials engineers,10,0,0,
        2143 Mining engineers,10,0,0,
        2144 Geological engineers,55,100758,89913,
        2145 Petroleum engineers,35,70595,90602,
        2146 Aerospace engineers,35,69599,75697,
        2147 Computer engineers (except software engineers and designers),220,83241,88242,
"        2148 Other professional engineers, n.e.c.",150,76948,75201,
"      215 Architects, urban planners and land surveyors",510,69003,70478,
        2151 Architects,200,56697,66206,
        2152 Landscape architects,15,0,0,
        2153 Urban and land use planners,220,74822,78632,
        2154 Land surveyors,80,64202,65618,
"      216 Mathematicians, statisticians and actuaries",105,58211,58478,
"        2161 Mathematicians, statisticians and actuaries",105,58211,58478,
      217 Computer and information systems professionals,5040,69568,73065,
        2171 Information systems analysts and consultants,2170,72689,76097,
        2172 Database analysts and data administrators,335,72433,74126,
        2173 Software engineers and designers,610,81420,87325,
        2174 Computer programmers and interactive media developers,1440,68132,74470,
        2175 Web designers and developers,485,31987,36444,
    22 Technical occupations related to natural and applied sciences,6725,58812,60434,
      221 Technical occupations in physical sciences,195,30566,41084,
        2211 Chemical technologists and technicians,110,30861,38318,
        2212 Geological and mineral technologists and technicians,80,23520,44874,
      222 Technical occupations in life sciences,860,35339,40071,
        2221 Biological technologists and technicians,75,17474,28767,
        2222 Agricultural and fish products inspectors,40,59840,60676,
        2223 Forestry technologists and technicians,130,66168,62961,
        2224 Conservation and fishery officers,70,69499,58754,
        2225 Landscape and horticulture technicians and specialists,550,30658,32547,
"      223 Technical occupations in civil, mechanical and industrial engineering",850,60213,62247,
        2231 Civil engineering technologists and technicians,205,64407,58628,
        2232 Mechanical engineering technologists and technicians,305,54280,53727,
        2233 Industrial engineering and manufacturing technologists and technicians,110,43283,50830,
        2234 Construction estimators,240,65157,81426,
      224 Technical occupations in electronics and electrical engineering,1315,61356,58115,
        2241 Electrical and electronics engineering technologists and technicians,665,65308,64214,
        2242 Electronic service technicians (household and business equipment),530,43905,45105,
        2243 Industrial instrument technicians and mechanics,35,73573,89403,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",85,78308,79792,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",705,45308,48641,
        2251 Architectural technologists and technicians,125,43904,46317,
        2252 Industrial designers,85,34633,41233,
        2253 Drafting technologists and technicians,255,43856,46170,
        2254 Land survey technologists and technicians,55,29305,39354,
        2255 Technical occupations in geomatics and meteorology,185,64439,59722,
      226 Other technical inspectors and regulatory officers,625,68979,62464,
        2261 Non-destructive testers and inspection technicians,45,41430,54639,
        2262 Engineering inspectors and regulatory officers,70,81004,78422,
        2263 Inspectors in public and environmental health and occupational health and safety,310,62762,61808,
        2264 Construction inspectors,195,69553,59417,
      227 Transportation officers and controllers,725,92559,105949,
"        2271 Air pilots, flight engineers and flying instructors",275,111463,129858,
        2272 Air traffic controllers and related occupations,45,105028,121992,
"        2273 Deck officers, water transport",265,86229,92277,
"        2274 Engineer officers, water transport",115,68383,77117,
        2275 Railway traffic controllers and marine traffic regulators,20,0,88844,
      228 Technical occupations in computer and information systems,1445,60941,58294,
        2281 Computer network technicians,800,63921,63186,
        2282 User support technicians,510,56324,51173,
        2283 Information systems testing technicians,135,61055,55999,
  3 Health occupations,15805,48764,56130,
    30 Professional occupations in nursing,4015,65098,62234,
      301 Professional occupations in nursing,4015,65098,62234,
        3011 Nursing co-ordinators and supervisors,275,90031,77084,
        3012 Registered nurses and registered psychiatric nurses,3745,63773,61158,
    31 Professional occupations in health (except nursing),3450,75731,87680,
"      311 Physicians, dentists and veterinarians",1775,92918,110291,
        3111 Specialist physicians,630,123362,138336,
        3112 General practitioners and family physicians,820,88263,97041,
        3113 Dentists,235,88831,93495,
        3114 Veterinarians,90,75384,79546,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",400,59918,61872,
        3121 Optometrists,60,86246,71366,
        3122 Chiropractors,195,47951,56517,
        3124 Allied primary health practitioners,80,75109,67253,
        3125 Other professional occupations in health diagnosing and treating,70,59161,62073,
"      313 Pharmacists, dietitians and nutritionists",480,82699,76320,
        3131 Pharmacists,350,94717,87834,
        3132 Dietitians and nutritionists,130,50753,45168,
      314 Therapy and assessment professionals,790,59687,56939,
        3141 Audiologists and speech-language pathologists,100,63351,66917,
        3142 Physiotherapists,305,64936,65557,
        3143 Occupational therapists,220,64572,62497,
        3144 Other professional occupations in therapy and assessment,165,20087,27388,
    32 Technical occupations in health,4130,44089,43583,
      321 Medical technologists and technicians (except dental health),1600,43282,43533,
        3211 Medical laboratory technologists,260,63252,56450,
        3212 Medical laboratory technicians and pathologists' assistants,315,36810,36651,
        3213 Animal health technologists and veterinary technicians,190,30256,31489,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",110,75021,75528,
        3215 Medical radiation technologists,195,61593,56056,
        3216 Medical sonographers,35,60735,54286,
