"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Saskatoon,,,,
Global non-response rate (GNR) =   4.9 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",20,0,0,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",625,62693,60020,
        2251 Architectural technologists and technicians,115,51756,49931,
        2252 Industrial designers,35,68001,62241,
        2253 Drafting technologists and technicians,350,64173,61988,
        2254 Land survey technologists and technicians,45,63787,67101,
        2255 Technical occupations in geomatics and meteorology,85,65694,60637,
      226 Other technical inspectors and regulatory officers,740,79065,80642,
        2261 Non-destructive testers and inspection technicians,70,78482,79562,
        2262 Engineering inspectors and regulatory officers,25,0,0,
        2263 Inspectors in public and environmental health and occupational health and safety,450,78995,80793,
        2264 Construction inspectors,195,76209,81787,
      227 Transportation officers and controllers,235,63980,79442,
"        2271 Air pilots, flight engineers and flying instructors",175,70353,83175,
        2272 Air traffic controllers and related occupations,35,108122,82436,
"        2273 Deck officers, water transport",15,0,0,
"        2274 Engineer officers, water transport",0,0,0,
        2275 Railway traffic controllers and marine traffic regulators,10,0,0,
      228 Technical occupations in computer and information systems,635,61393,61684,
        2281 Computer network technicians,415,63527,60966,
        2282 User support technicians,205,62418,65339,
        2283 Information systems testing technicians,15,0,0,
  3 Health occupations,13650,53337,62701,
    30 Professional occupations in nursing,3785,78281,74307,
      301 Professional occupations in nursing,3780,78281,74307,
        3011 Nursing co-ordinators and supervisors,160,87880,79228,
        3012 Registered nurses and registered psychiatric nurses,3625,77855,74092,
    31 Professional occupations in health (except nursing),3060,74611,90620,
"      311 Physicians, dentists and veterinarians",1445,75769,115640,
        3111 Specialist physicians,585,88123,127245,
        3112 General practitioners and family physicians,570,78775,125709,
        3113 Dentists,150,54924,89947,
        3114 Veterinarians,140,46074,54436,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",200,72636,76576,
        3121 Optometrists,45,44220,71981,
        3122 Chiropractors,85,60021,78652,
        3124 Allied primary health practitioners,60,110655,83122,
        3125 Other professional occupations in health diagnosing and treating,10,0,0,
"      313 Pharmacists, dietitians and nutritionists",640,81907,73671,
        3131 Pharmacists,505,89623,77484,
        3132 Dietitians and nutritionists,130,64054,58949,
      314 Therapy and assessment professionals,775,69333,61564,
        3141 Audiologists and speech-language pathologists,125,72850,63960,
        3142 Physiotherapists,350,71095,61432,
        3143 Occupational therapists,165,74620,62998,
        3144 Other professional occupations in therapy and assessment,135,59609,57943,
    32 Technical occupations in health,3500,46817,50141,
      321 Medical technologists and technicians (except dental health),1750,49614,52307,
        3211 Medical laboratory technologists,270,65289,61392,
        3212 Medical laboratory technicians and pathologists' assistants,300,42541,40940,
        3213 Animal health technologists and veterinary technicians,230,32263,34121,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",120,73122,72415,
        3215 Medical radiation technologists,315,76479,68888,
        3216 Medical sonographers,55,88341,83432,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",50,78249,75992,
        3219 Other medical technologists and technicians (except dental health),410,37634,39262,
      322 Technical occupations in dental health care,270,51749,52607,
        3221 Denturists,20,0,0,
        3222 Dental hygienists and dental therapists,200,56333,51823,
