"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Yukon [1],,,,
Global non-response rate (GNR) =   6.8 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
        2153 Urban and land use planners,55,84730,77173,
        2154 Land surveyors,20,0,0,
"      216 Mathematicians, statisticians and actuaries",0,0,0,
"        2161 Mathematicians, statisticians and actuaries",0,0,0,
      217 Computer and information systems professionals,170,69751,71222,
        2171 Information systems analysts and consultants,75,79460,76081,
        2172 Database analysts and data administrators,45,87063,74455,
        2173 Software engineers and designers,10,0,0,
        2174 Computer programmers and interactive media developers,25,0,0,
        2175 Web designers and developers,15,0,0,
    22 Technical occupations related to natural and applied sciences,830,66408,63607,
      221 Technical occupations in physical sciences,40,19465,16903,
        2211 Chemical technologists and technicians,10,0,0,
        2212 Geological and mineral technologists and technicians,25,27400,21464,
      222 Technical occupations in life sciences,155,57120,57498,
        2221 Biological technologists and technicians,55,43815,49083,
        2222 Agricultural and fish products inspectors,0,0,0,
        2223 Forestry technologists and technicians,15,0,0,
        2224 Conservation and fishery officers,70,73271,66798,
        2225 Landscape and horticulture technicians and specialists,15,47114,39989,
"      223 Technical occupations in civil, mechanical and industrial engineering",45,14707,43338,
        2231 Civil engineering technologists and technicians,40,51760,45305,
        2232 Mechanical engineering technologists and technicians,0,0,0,
        2233 Industrial engineering and manufacturing technologists and technicians,10,0,0,
        2234 Construction estimators,0,0,0,
      224 Technical occupations in electronics and electrical engineering,120,53764,56576,
        2241 Electrical and electronics engineering technologists and technicians,25,0,0,
        2242 Electronic service technicians (household and business equipment),90,53799,47401,
        2243 Industrial instrument technicians and mechanics,0,0,0,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",15,0,0,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",70,66057,49235,
        2251 Architectural technologists and technicians,0,0,0,
        2252 Industrial designers,0,0,0,
        2253 Drafting technologists and technicians,25,0,0,
        2254 Land survey technologists and technicians,10,0,0,
        2255 Technical occupations in geomatics and meteorology,35,73736,63240,
      226 Other technical inspectors and regulatory officers,145,86384,80267,
        2261 Non-destructive testers and inspection technicians,0,0,0,
        2262 Engineering inspectors and regulatory officers,10,0,0,
        2263 Inspectors in public and environmental health and occupational health and safety,95,91151,78065,
        2264 Construction inspectors,35,84096,81720,
      227 Transportation officers and controllers,140,75272,83157,
"        2271 Air pilots, flight engineers and flying instructors",95,75393,84516,
        2272 Air traffic controllers and related occupations,35,90452,88094,
"        2273 Deck officers, water transport",10,0,0,
"        2274 Engineer officers, water transport",0,0,0,
        2275 Railway traffic controllers and marine traffic regulators,0,0,0,
      228 Technical occupations in computer and information systems,115,73791,68264,
        2281 Computer network technicians,100,73163,67993,
        2282 User support technicians,20,0,0,
        2283 Information systems testing technicians,0,0,0,
  3 Health occupations,1250,69386,72497,
    30 Professional occupations in nursing,330,81592,81603,
      301 Professional occupations in nursing,330,81592,81603,
        3011 Nursing co-ordinators and supervisors,20,0,0,
