"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = New Brunswick / Nouveau-Brunswick,,,,
Global non-response rate (GNR) =   4.9 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        1511 Mail, postal and related workers",730,40493,38300,
        1512 Letter carriers,720,36821,37809,
"        1513 Couriers, messengers and door-to-door distributors",655,13522,22211,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",4710,37114,37455,
        1521 Shippers and receivers,1705,33126,32910,
        1522 Storekeepers and partspersons,1095,37848,37258,
        1523 Production logistics co-ordinators,375,41271,46709,
        1524 Purchasing and inventory control workers,570,36099,35882,
        1525 Dispatchers,845,44047,43031,
        1526 Transportation route and crew schedulers,130,42817,42717,
  2 Natural and applied sciences and related occupations,20945,57219,61770,
    21 Professional occupations in natural and applied sciences,9335,68095,71271,
      211 Physical science professionals,275,63447,64611,
        2111 Physicists and astronomers,20,0,0,
        2112 Chemists,115,46722,55683,
        2113 Geoscientists and oceanographers,95,63301,55539,
        2114 Meteorologists and climatologists,35,69322,67924,
        2115 Other professional occupations in physical sciences,10,0,0,
      212 Life science professionals,610,60218,59013,
        2121 Biologists and related scientists,360,57914,58314,
        2122 Forestry professionals,155,66930,67610,
"        2123 Agricultural representatives, consultants and specialists",95,54810,47710,
"      213 Civil, mechanical, electrical and chemical engineers",2600,80428,86293,
        2131 Civil engineers,1175,75996,82801,
        2132 Mechanical engineers,665,80876,88934,
        2133 Electrical and electronics engineers,535,89002,84881,
        2134 Chemical engineers,230,93771,99851,
      214 Other engineers,610,74731,81599,
        2141 Industrial and manufacturing engineers,150,60004,75992,
        2142 Metallurgical and materials engineers,30,0,105407,
        2143 Mining engineers,30,0,107557,
        2144 Geological engineers,35,64097,72508,
        2145 Petroleum engineers,40,89744,91890,
        2146 Aerospace engineers,10,0,0,
        2147 Computer engineers (except software engineers and designers),255,79217,81634,
"        2148 Other professional engineers, n.e.c.",70,48151,74775,
"      215 Architects, urban planners and land surveyors",310,57810,58762,
        2151 Architects,85,57056,55912,
        2152 Landscape architects,10,0,0,
        2153 Urban and land use planners,110,63251,61285,
        2154 Land surveyors,110,54482,56555,
"      216 Mathematicians, statisticians and actuaries",170,64957,67696,
"        2161 Mathematicians, statisticians and actuaries",170,64957,67696,
      217 Computer and information systems professionals,4750,63166,64635,
        2171 Information systems analysts and consultants,2305,63468,65343,
        2172 Database analysts and data administrators,285,69365,72593,
        2173 Software engineers and designers,450,81032,82798,
        2174 Computer programmers and interactive media developers,1445,61792,60615,
        2175 Web designers and developers,265,38345,41092,
    22 Technical occupations related to natural and applied sciences,11615,49201,54136,
      221 Technical occupations in physical sciences,595,45810,51122,
        2211 Chemical technologists and technicians,490,43025,48199,
        2212 Geological and mineral technologists and technicians,110,53935,64449,
      222 Technical occupations in life sciences,1385,35508,41570,
        2221 Biological technologists and technicians,375,32393,35404,
        2222 Agricultural and fish products inspectors,155,71013,66937,
        2223 Forestry technologists and technicians,290,33549,41290,
        2224 Conservation and fishery officers,370,50381,46294,
        2225 Landscape and horticulture technicians and specialists,190,18100,23886,
"      223 Technical occupations in civil, mechanical and industrial engineering",1760,55584,57181,
        2231 Civil engineering technologists and technicians,850,56656,56936,
        2232 Mechanical engineering technologists and technicians,330,60721,59831,
        2233 Industrial engineering and manufacturing technologists and technicians,235,51253,59304,
        2234 Construction estimators,345,53423,53790,
      224 Technical occupations in electronics and electrical engineering,1950,51255,54904,
        2241 Electrical and electronics engineering technologists and technicians,640,66367,65849,
        2242 Electronic service technicians (household and business equipment),1040,43612,42903,
        2243 Industrial instrument technicians and mechanics,190,70522,74632,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",75,76768,78635,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",795,47473,47947,
        2251 Architectural technologists and technicians,70,55320,44727,
        2252 Industrial designers,40,35032,44302,
        2253 Drafting technologists and technicians,360,45195,49252,
        2254 Land survey technologists and technicians,85,22957,36420,
        2255 Technical occupations in geomatics and meteorology,245,52781,51590,
      226 Other technical inspectors and regulatory officers,1360,58857,63239,
        2261 Non-destructive testers and inspection technicians,245,69395,80681,
        2262 Engineering inspectors and regulatory officers,125,66299,68627,
        2263 Inspectors in public and environmental health and occupational health and safety,680,58844,59693,
        2264 Construction inspectors,310,52014,55067,
      227 Transportation officers and controllers,770,70325,89404,
"        2271 Air pilots, flight engineers and flying instructors",215,61794,79655,
        2272 Air traffic controllers and related occupations,190,166133,135261,
"        2273 Deck officers, water transport",240,58643,66932,
"        2274 Engineer officers, water transport",85,73078,89217,
        2275 Railway traffic controllers and marine traffic regulators,40,59850,64063,
      228 Technical occupations in computer and information systems,3000,44549,46730,
        2281 Computer network technicians,1350,49377,51220,
        2282 User support technicians,1425,41587,43154,
        2283 Information systems testing technicians,225,40128,42430,
  3 Health occupations,31240,43465,51528,
    30 Professional occupations in nursing,8510,71929,63055,
      301 Professional occupations in nursing,8515,71929,63055,
        3011 Nursing co-ordinators and supervisors,410,74668,68723,
        3012 Registered nurses and registered psychiatric nurses,8100,71786,62767,
    31 Professional occupations in health (except nursing),4980,76350,93630,
"      311 Physicians, dentists and veterinarians",2130,114629,128273,
        3111 Specialist physicians,785,137987,153014,
        3112 General practitioners and family physicians,850,112625,120533,
        3113 Dentists,295,106801,112668,
        3114 Veterinarians,200,88761,87011,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",385,60935,63764,
        3121 Optometrists,125,61006,70845,
        3122 Chiropractors,65,45437,58121,
        3124 Allied primary health practitioners,95,97336,81350,
        3125 Other professional occupations in health diagnosing and treating,95,44625,41741,
"      313 Pharmacists, dietitians and nutritionists",1230,83058,80711,
        3131 Pharmacists,860,94898,92737,
        3132 Dietitians and nutritionists,365,58565,52415,
      314 Therapy and assessment professionals,1230,61425,55956,
        3141 Audiologists and speech-language pathologists,295,70285,63921,
        3142 Physiotherapists,480,65656,57097,
        3143 Occupational therapists,340,57598,53811,
        3144 Other professional occupations in therapy and assessment,115,33050,36385,
    32 Technical occupations in health,9185,42465,41966,
      321 Medical technologists and technicians (except dental health),3830,40099,42514,
        3211 Medical laboratory technologists,585,60928,54131,
        3212 Medical laboratory technicians and pathologists' assistants,395,37412,35110,
        3213 Animal health technologists and veterinary technicians,300,25942,24132,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",330,62602,63160,
        3215 Medical radiation technologists,630,62120,60178,
        3216 Medical sonographers,105,64065,54299,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",120,51431,47219,
        3219 Other medical technologists and technicians (except dental health),1360,29109,29188,
      322 Technical occupations in dental health care,570,47854,48321,
        3221 Denturists,60,76176,85874,
        3222 Dental hygienists and dental therapists,460,47475,43795,
"        3223 Dental technologists, technicians and laboratory assistants",50,36773,45499,
      323 Other technical occupations in health care,4785,43469,40773,
        3231 Opticians,175,44522,46587,
        3232 Practitioners of natural healing,105,16825,23045,
        3233 Licensed practical nurses,2710,42955,38510,
        3234 Paramedical occupations,1040,58363,57822,
        3236 Massage therapists,560,26436,26648,
        3237 Other technical occupations in therapy and assessment,195,24681,26304,
    34 Assisting occupations in support of health services,8570,25296,25848,
      341 Assisting occupations in support of health services,8565,25296,25848,
        3411 Dental assistants,540,33046,32467,
"        3413 Nurse aides, orderlies and patient service associates",7205,24635,25130,
        3414 Other assisting occupations in support of health services,820,28324,27803,
"  4 Occupations in education, law and social, community and government services",47030,38143,45918,
    40 Professional occupations in education services,14200,66836,58121,
      401 University professors and post-secondary assistants,2690,39889,59925,
        4011 University professors and lecturers,1545,98822,91502,
        4012 Post-secondary teaching and research assistants,1145,7069,17159,
      402 College and other vocational instructors,1900,57522,53852,
        4021 College and other vocational instructors,1900,57522,53852,
      403 Secondary and elementary school teachers and educational counsellors,9620,70141,58460,
        4031 Secondary school teachers,3100,71527,62133,
        4032 Elementary school and kindergarten teachers,6000,68869,57051,
        4033 Educational counsellors,515,58373,52768,
"    41 Professional occupations in law and social, community and government services",8830,54327,56635,
"      411 Judges, lawyers and Quebec notaries",1340,73414,90525,
        4111 Judges,95,224505,224918,
        4112 Lawyers and Quebec notaries,1240,69396,80162,
      415 Social and community service professionals,3760,50670,49559,
        4151 Psychologists,450,65602,66832,
        4152 Social workers,1520,61659,55065,
"        4153 Family, marriage and other related counsellors",380,26335,29381,
        4154 Professional occupations in religion,915,39153,38339,
        4155 Probation and parole officers and related occupations,165,75870,69826,
        4156 Employment counsellors,335,47611,45243,
"      416 Policy and program researchers, consultants and officers",3735,51388,51619,
"        4161 Natural and applied science policy researchers, consultants and program officers",415,59733,66785,
        4162 Economists and economic policy researchers and analysts,235,65889,67112,
        4163 Business development officers and marketing researchers and consultants,760,50366,53910,
"        4164 Social policy researchers, consultants and program officers",580,55950,54467,
"        4165 Health policy researchers, consultants and program officers",405,47761,49240,
"        4166 Education policy researchers, consultants and program officers",585,50858,49753,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",160,33933,35248,
        4168 Program officers unique to government,495,32837,36167,
"        4169 Other professional occupations in social science, n.e.c.",100,48724,41806,
"    42 Paraprofessional occupations in legal, social, community and education services",7480,23108,25180,
"      421 Paraprofessional occupations in legal, social, community and education services",7480,23108,25180,
        4211 Paralegal and related occupations,225,35311,38829,
        4212 Social and community service workers,2540,27026,28825,
        4214 Early childhood educators and assistants,3595,20303,20832,
        4215 Instructors of persons with disabilities,500,23921,32908,
        4216 Other instructors,475,12878,25548,
        4217 Other religious occupations,150,16246,20235,
    43 Occupations in front-line public protection services,5950,65576,66747,
      431 Occupations in front-line public protection services,5945,65576,66747,
        4311 Police officers (except commissioned),1465,93430,87784,
        4312 Firefighters,765,83490,80503,
        4313 Non-commissioned ranks of the Canadian Armed Forces,3715,60834,55644,
"    44 Care providers and educational, legal and public protection support occupations",10575,21028,23534,
      441 Home care providers and educational support occupations,9180,19262,18281,
        4411 Home child care providers,1685,9048,12583,
"        4412 Home support workers, housekeepers and related occupations",4070,18108,18409,
        4413 Elementary and secondary school teacher assistants,3420,21572,20938,
      442 Legal and public protection support occupations,1395,55527,58110,
        4421 Sheriffs and bailiffs,170,46467,46305,
        4422 Correctional service officers,1080,59207,61719,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",145,41225,44915,
"  5 Occupations in art, culture, recreation and sport",7295,12984,22799,
    51 Professional occupations in art and culture,2550,21303,30630,
"      511 Librarians, archivists, conservators and curators",245,53260,52512,
        5111 Librarians,165,47465,53404,
        5112 Conservators and curators,35,59490,46648,
        5113 Archivists,40,63490,54395,
"      512 Writing, translating and related communications professionals",1080,33301,36963,
        5121 Authors and writers,350,15015,31873,
        5122 Editors,180,37603,39720,
        5123 Journalists,190,49367,49747,
"        5125 Translators, terminologists and interpreters",365,27288,33844,
      513 Creative and performing artists,1225,12236,20670,
"        5131 Producers, directors, choreographers and related occupations",210,45886,46526,
"        5132 Conductors, composers and arrangers",80,10920,18856,
        5133 Musicians and singers,475,11151,15502,
        5134 Dancers,145,6491,14244,
        5135 Actors and comedians,65,3817,7014,
"        5136 Painters, sculptors and other visual artists",245,10803,16604,
"    52 Technical occupations in art, culture, recreation and sport",4750,10282,18588,
"      521 Technical occupations in libraries, public archives, museums and art galleries",410,12178,17779,
        5211 Library and public archive technicians,150,26925,26640,
        5212 Technical occupations related to museums and art galleries,260,7946,12549,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",690,20419,24541,
        5221 Photographers,260,11561,17354,
        5222 Film and video camera operators,65,36227,37113,
        5223 Graphic arts technicians,75,24154,30359,
        5224 Broadcast technicians,20,0,0,
        5225 Audio and video recording technicians,115,21759,25219,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",90,31195,30786,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",65,9143,15273,
"      523 Announcers and other performers, n.e.c.",170,30590,28342,
        5231 Announcers and other broadcasters,125,33497,33560,
"        5232 Other performers, n.e.c.",40,7737,13030,
      524 Creative designers and craftspersons,1260,25030,26556,
        5241 Graphic designers and illustrators,685,35805,33196,
        5242 Interior designers and interior decorators,175,29190,25180,
"        5243 Theatre, fashion, exhibit and other creative designers",70,21488,22159,
        5244 Artisans and craftspersons,315,8095,14014,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",2210,6638,11569,
        5251 Athletes,70,10581,21496,
        5252 Coaches,125,31429,35646,
        5253 Sports officials and referees,65,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",1950,6270,9797,
  6 Sales and service occupations,95765,17540,22513,
    62 Retail sales supervisors and specialized sales occupations,7085,39054,44928,
      621 Retail sales supervisors,1525,26004,30787,
        6211 Retail sales supervisors,1525,26004,30787,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,2095,42599,53511,
        6221 Technical sales specialists - wholesale trade,1325,56520,68140,
        6222 Retail and wholesale buyers,765,24099,28131,
"      623 Insurance, real estate and financial sales occupations",3470,42620,45961,
        6231 Insurance agents and brokers,1580,42180,45904,
        6232 Real estate agents and salespersons,575,43681,46657,
        6235 Financial sales representatives,1315,43202,45723,
    63 Service supervisors and specialized service occupations,12850,17349,20860,
      631 Service supervisors,2230,27064,31075,
        6311 Food service supervisors,1150,22702,24335,
        6312 Executive housekeepers,80,30682,30952,
"        6313 Accommodation, travel, tourism and related services supervisors",85,35653,37273,
        6314 Customer and information services supervisors,505,40466,41589,
        6315 Cleaning supervisors,180,35400,39809,
        6316 Other services supervisors,235,30550,32520,
      632 Chefs and cooks,5970,16363,18939,
        6321 Chefs,540,27677,28712,
        6322 Cooks,5430,15789,17959,
      633 Butchers and bakers,1500,19731,21098,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",385,24107,24465,
        6332 Bakers,1110,18936,19915,
      634 Specialized occupations in personal and customer services,3150,13009,17145,
