"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Oshawa,,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        3213 Animal health technologists and veterinary technicians,235,27716,26891,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",100,85417,87063,
        3215 Medical radiation technologists,270,76390,81354,
        3216 Medical sonographers,75,44017,52056,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",15,0,0,
        3219 Other medical technologists and technicians (except dental health),555,34709,36248,
      322 Technical occupations in dental health care,445,52051,48909,
        3221 Denturists,0,0,0,
        3222 Dental hygienists and dental therapists,360,52531,49685,
"        3223 Dental technologists, technicians and laboratory assistants",75,39617,41943,
      323 Other technical occupations in health care,1850,49024,49165,
        3231 Opticians,75,50413,56019,
        3232 Practitioners of natural healing,75,6985,21619,
        3233 Licensed practical nurses,800,51677,47815,
        3234 Paramedical occupations,360,98371,88129,
        3236 Massage therapists,360,19230,23427,
        3237 Other technical occupations in therapy and assessment,180,36712,36419,
    34 Assisting occupations in support of health services,3270,33798,33200,
      341 Assisting occupations in support of health services,3265,33798,33200,
        3411 Dental assistants,475,31654,29798,
"        3413 Nurse aides, orderlies and patient service associates",2420,34414,33824,
        3414 Other assisting occupations in support of health services,375,30518,33486,
"  4 Occupations in education, law and social, community and government services",25115,54278,58982,
    40 Professional occupations in education services,9065,74483,65772,
      401 University professors and post-secondary assistants,845,16187,44694,
        4011 University professors and lecturers,325,97512,86770,
