"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Saskatchewan,,,,
Global non-response rate (GNR) =   6.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        5113 Archivists,55,44416,42373,
"      512 Writing, translating and related communications professionals",1055,33377,35880,
        5121 Authors and writers,420,27085,30876,
        5122 Editors,190,37258,37782,
        5123 Journalists,310,42484,43447,
"        5125 Translators, terminologists and interpreters",135,29468,31554,
      513 Creative and performing artists,2095,12355,22827,
"        5131 Producers, directors, choreographers and related occupations",310,43852,46495,
"        5132 Conductors, composers and arrangers",55,9377,20995,
        5133 Musicians and singers,900,11017,16836,
        5134 Dancers,385,8824,17765,
        5135 Actors and comedians,100,5933,13315,
"        5136 Painters, sculptors and other visual artists",340,10369,26042,
"    52 Technical occupations in art, culture, recreation and sport",7585,16249,29334,
"      521 Technical occupations in libraries, public archives, museums and art galleries",920,26331,28279,
        5211 Library and public archive technicians,635,30523,31677,
        5212 Technical occupations related to museums and art galleries,290,15884,20868,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",955,20143,30211,
        5221 Photographers,465,8787,20762,
        5222 Film and video camera operators,70,30288,39254,
        5223 Graphic arts technicians,50,34741,40448,
        5224 Broadcast technicians,25,0,0,
        5225 Audio and video recording technicians,90,35327,40133,
