"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Lethbridge,,,,
Global non-response rate (GNR) =   6.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        2255 Technical occupations in geomatics and meteorology,45,55387,56455,
      226 Other technical inspectors and regulatory officers,235,59131,71649,
        2261 Non-destructive testers and inspection technicians,20,0,0,
        2262 Engineering inspectors and regulatory officers,0,0,0,
        2263 Inspectors in public and environmental health and occupational health and safety,160,59431,77598,
        2264 Construction inspectors,55,70165,62071,
      227 Transportation officers and controllers,30,0,101607,
"        2271 Air pilots, flight engineers and flying instructors",25,0,0,
        2272 Air traffic controllers and related occupations,0,0,0,
"        2273 Deck officers, water transport",0,0,0,
"        2274 Engineer officers, water transport",0,0,0,
        2275 Railway traffic controllers and marine traffic regulators,0,0,0,
      228 Technical occupations in computer and information systems,220,61954,61866,
        2281 Computer network technicians,150,65869,66578,
        2282 User support technicians,70,49817,51785,
        2283 Information systems testing technicians,0,0,0,
  3 Health occupations,5345,48315,60899,
    30 Professional occupations in nursing,1280,72229,68560,
      301 Professional occupations in nursing,1285,72229,68560,
        3011 Nursing co-ordinators and supervisors,35,96588,82055,
        3012 Registered nurses and registered psychiatric nurses,1245,71050,68161,
    31 Professional occupations in health (except nursing),950,84042,109151,
"      311 Physicians, dentists and veterinarians",385,129348,164244,
        3111 Specialist physicians,95,148043,250906,
        3112 General practitioners and family physicians,170,129783,136358,
        3113 Dentists,60,138650,200787,
        3114 Veterinarians,55,60533,65840,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",55,60108,63813,
        3121 Optometrists,10,0,0,
        3122 Chiropractors,50,70617,67082,
        3124 Allied primary health practitioners,0,0,0,
        3125 Other professional occupations in health diagnosing and treating,0,0,0,
"      313 Pharmacists, dietitians and nutritionists",245,92107,86708,
        3131 Pharmacists,165,98882,94099,
        3132 Dietitians and nutritionists,75,70083,70938,
      314 Therapy and assessment professionals,265,58951,60704,
        3141 Audiologists and speech-language pathologists,30,0,75200,
        3142 Physiotherapists,90,73442,67938,
        3143 Occupational therapists,40,71535,67409,
        3144 Other professional occupations in therapy and assessment,105,46308,48097,
    32 Technical occupations in health,1435,48493,53298,
      321 Medical technologists and technicians (except dental health),585,59414,62716,
        3211 Medical laboratory technologists,80,91005,85298,
        3212 Medical laboratory technicians and pathologists' assistants,120,40145,51218,
        3213 Animal health technologists and veterinary technicians,60,36683,39851,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",65,81280,86871,
        3215 Medical radiation technologists,100,90860,88342,
        3216 Medical sonographers,15,0,0,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",0,0,0,
        3219 Other medical technologists and technicians (except dental health),135,32659,33577,
      322 Technical occupations in dental health care,95,58819,54318,
        3221 Denturists,15,0,0,
        3222 Dental hygienists and dental therapists,75,58792,55970,
"        3223 Dental technologists, technicians and laboratory assistants",0,0,0,
      323 Other technical occupations in health care,760,43025,45930,
        3231 Opticians,55,30116,39434,
        3232 Practitioners of natural healing,20,0,0,
        3233 Licensed practical nurses,335,44654,44463,
        3234 Paramedical occupations,130,96594,76262,
        3236 Massage therapists,145,29722,28552,
        3237 Other technical occupations in therapy and assessment,75,41183,42176,
    34 Assisting occupations in support of health services,1675,35091,34191,
      341 Assisting occupations in support of health services,1675,35091,34191,
        3411 Dental assistants,145,45676,45203,
"        3413 Nurse aides, orderlies and patient service associates",1290,35400,34465,
        3414 Other assisting occupations in support of health services,245,26819,26466,
"  4 Occupations in education, law and social, community and government services",7575,44753,53879,
    40 Professional occupations in education services,2755,70419,67516,
      401 University professors and post-secondary assistants,800,57200,67988,
        4011 University professors and lecturers,450,108077,102886,
        4012 Post-secondary teaching and research assistants,350,12233,22587,
      402 College and other vocational instructors,335,63719,69153,
        4021 College and other vocational instructors,335,63719,69153,
      403 Secondary and elementary school teachers and educational counsellors,1615,74526,66942,
        4031 Secondary school teachers,485,85439,71077,
        4032 Elementary school and kindergarten teachers,990,74489,66899,
        4033 Educational counsellors,140,57145,53323,
"    41 Professional occupations in law and social, community and government services",1375,61510,65058,
"      411 Judges, lawyers and Quebec notaries",155,101102,110902,
        4111 Judges,10,0,0,
        4112 Lawyers and Quebec notaries,145,92415,100427,
      415 Social and community service professionals,770,61768,61179,
        4151 Psychologists,85,61760,64351,
        4152 Social workers,220,74478,67950,
"        4153 Family, marriage and other related counsellors",220,64176,63153,
        4154 Professional occupations in religion,175,52820,50592,
        4155 Probation and parole officers and related occupations,20,0,80515,
        4156 Employment counsellors,40,39203,41897,
"      416 Policy and program researchers, consultants and officers",450,51556,55954,
"        4161 Natural and applied science policy researchers, consultants and program officers",40,50473,72216,
        4162 Economists and economic policy researchers and analysts,20,0,0,
        4163 Business development officers and marketing researchers and consultants,55,35656,38968,
"        4164 Social policy researchers, consultants and program officers",85,51697,49091,
"        4165 Health policy researchers, consultants and program officers",85,67045,67440,
"        4166 Education policy researchers, consultants and program officers",70,45291,53926,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",40,70197,55031,
        4168 Program officers unique to government,45,42547,48049,
"        4169 Other professional occupations in social science, n.e.c.",0,0,0,
"    42 Paraprofessional occupations in legal, social, community and education services",1490,32160,35900,
"      421 Paraprofessional occupations in legal, social, community and education services",1490,32160,35900,
        4211 Paralegal and related occupations,55,45693,48965,
        4212 Social and community service workers,810,38918,38896,
        4214 Early childhood educators and assistants,485,25226,27349,
        4215 Instructors of persons with disabilities,35,0,60391,
        4216 Other instructors,90,35356,41658,
        4217 Other religious occupations,30,0,0,
    43 Occupations in front-line public protection services,355,99008,88169,
      431 Occupations in front-line public protection services,355,99008,88169,
        4311 Police officers (except commissioned),230,103046,95207,
        4312 Firefighters,95,98956,87919,
        4313 Non-commissioned ranks of the Canadian Armed Forces,35,37070,39031,
"    44 Care providers and educational, legal and public protection support occupations",1595,25651,29832,
      441 Home care providers and educational support occupations,1355,22257,23163,
        4411 Home child care providers,285,14079,15486,
"        4412 Home support workers, housekeepers and related occupations",380,23897,27523,
        4413 Elementary and secondary school teacher assistants,685,25610,23968,
      442 Legal and public protection support occupations,240,75747,67412,
        4421 Sheriffs and bailiffs,20,0,0,
        4422 Correctional service officers,165,76948,71305,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",55,43028,51989,
"  5 Occupations in art, culture, recreation and sport",1300,17606,26569,
    51 Professional occupations in art and culture,420,14437,27656,
"      511 Librarians, archivists, conservators and curators",35,46583,65398,
        5111 Librarians,25,0,0,
        5112 Conservators and curators,0,0,0,
        5113 Archivists,0,0,0,
"      512 Writing, translating and related communications professionals",105,26486,36771,
        5121 Authors and writers,65,26486,33797,
        5122 Editors,10,0,0,
