"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Newfoundland and Labrador / Terre-Neuve-et-Labrador,,,,
Global non-response rate (GNR) =   6.8 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        1432 Payroll administrators,755,44381,43604,
"        1434 Banking, insurance and other financial clerks",225,40564,42909,
        1435 Collectors,155,48897,40275,
"      145 Library, correspondence and other clerks",1225,16142,27647,
        1451 Library assistants and clerks,200,18353,23514,
"        1452 Correspondence, publication and regulatory clerks",330,54509,53479,
        1454 Survey interviewers and statistical clerks,695,5717,16589,
"    15 Distribution, tracking and scheduling co-ordination occupations",4170,37715,41786,
      151 Mail and message distribution occupations,1280,35265,34861,
"        1511 Mail, postal and related workers",620,29947,30846,
        1512 Letter carriers,395,42778,41544,
"        1513 Couriers, messengers and door-to-door distributors",270,33920,34225,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",2880,39052,44866,
        1521 Shippers and receivers,1050,32519,37613,
        1522 Storekeepers and partspersons,800,38937,39435,
        1523 Production logistics co-ordinators,280,81589,90732,
        1524 Purchasing and inventory control workers,295,34317,37199,
        1525 Dispatchers,395,46803,47337,
        1526 Transportation route and crew schedulers,65,48819,54262,
  2 Natural and applied sciences and related occupations,17505,74420,86141,
    21 Professional occupations in natural and applied sciences,6690,85109,100980,
      211 Physical science professionals,505,108200,124783,
        2111 Physicists and astronomers,20,0,0,
        2112 Chemists,65,56721,67016,
        2113 Geoscientists and oceanographers,365,118105,139459,
        2114 Meteorologists and climatologists,45,98494,89793,
        2115 Other professional occupations in physical sciences,10,0,0,
      212 Life science professionals,360,70521,72246,
