"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Windsor,,,,
Global non-response rate (GNR) =   5.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
      655 Customer and information services representatives,2950,21309,26776,
        6551 Customer services representatives - financial institutions,650,27143,29932,
        6552 Other customer and information services representatives,2295,19212,25881,
      656 Other occupations in personal service,705,13273,15786,
"        6561 Image, social and other personal consultants",0,0,0,
"        6562 Estheticians, electrologists and related occupations",560,13262,15538,
        6563 Pet groomers and animal care workers,130,15641,17153,
        6564 Other personal service occupations,0,0,0,
    66 Sales support occupations,5010,11126,13900,
      661 Cashiers,3240,10410,12879,
        6611 Cashiers,3240,10410,12879,
      662 Other sales support and related occupations,1770,12847,15774,
        6621 Service station attendants,60,15508,15095,
"        6622 Store shelf stockers, clerks and order fillers",1385,14406,17407,
        6623 Other sales related occupations,325,4210,8944,
"    67 Service support and other service occupations, n.e.c.",9700,14263,20757,
"      671 Food counter attendants, kitchen helpers and related support occupations",4330,8630,12346,
"        6711 Food counter attendants, kitchen helpers and related support occupations",4335,8630,12346,
"      672 Support occupations in accommodation, travel and amusement services",385,18243,21577,
"        6721 Support occupations in accommodation, travel and facilities set-up services",45,21036,22662,
"        6722 Operators and attendants in amusement, recreation and sport",340,18198,21427,
      673 Cleaners,4335,23537,28224,
        6731 Light duty cleaners,1575,16312,20529,
        6732 Specialized cleaners,330,20332,24186,
"        6733 Janitors, caretakers and building superintendents",2425,30432,33779,
"      674 Other service support and related occupations, n.e.c.",650,24311,26579,
"        6741 Dry cleaning, laundry and related occupations",225,31012,27384,
"        6742 Other service support occupations, n.e.c.",425,20694,26152,
"  7 Trades, transport and equipment operators and related occupations",23330,44975,49612,
"    72 Industrial, electrical and construction trades",9100,53291,58145,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",810,53115,63964,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",225,79389,107207,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",120,63665,73174,
"        7203 Contractors and supervisors, pipefitting trades",50,67521,79536,
"        7204 Contractors and supervisors, carpentry trades",85,33572,36409,
"        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",330,26661,35290,
"      723 Machining, metal forming, shaping and erecting trades",3860,58861,61220,
        7231 Machinists and machining and tooling inspectors,1370,58818,58227,
        7232 Tool and die makers,1525,68225,71052,
        7233 Sheet metal workers,170,57371,57161,
        7234 Boilermakers,0,0,0,
        7235 Structural metal and platework fabricators and fitters,40,45805,46204,
        7236 Ironworkers,80,109628,95390,
        7237 Welders and related machine operators,680,41937,43292,
      724 Electrical trades and electrical power line and telecommunications workers,1685,72934,77087,
        7241 Electricians (except industrial and power system),715,62947,65186,
        7242 Industrial electricians,660,94905,97575,
        7243 Power system electricians,15,0,0,
        7244 Electrical power line and cable workers,40,82967,89746,
        7245 Telecommunications line and cable workers,100,61870,60446,
        7246 Telecommunications installation and repair workers,140,46234,49061,
        7247 Cable television service and maintenance technicians,15,0,0,
"      725 Plumbers, pipefitters and gas fitters",620,61820,65006,
        7251 Plumbers,355,42661,54617,
"        7252 Steamfitters, pipefitters and sprinkler system installers",205,84677,84227,
        7253 Gas fitters,60,53264,61602,
      727 Carpenters and cabinetmakers,740,30205,33185,
        7271 Carpenters,630,30122,33177,
        7272 Cabinetmakers,115,36311,33227,
      728 Masonry and plastering trades,520,26644,32078,
        7281 Bricklayers,160,33923,36503,
        7282 Concrete finishers,130,38653,42405,
        7283 Tilesetters,60,16860,24966,
"        7284 Plasterers, drywall installers and finishers and lathers",160,20273,22110,
