"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Alberta [1],,,,
Global non-response rate (GNR) =   6.1 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
    22 Technical occupations related to natural and applied sciences,80380,70104,80992,
      221 Technical occupations in physical sciences,6765,70634,84969,
        2211 Chemical technologists and technicians,3600,61054,72656,
        2212 Geological and mineral technologists and technicians,3160,85117,99010,
      222 Technical occupations in life sciences,4545,49789,54533,
        2221 Biological technologists and technicians,1005,50358,53598,
        2222 Agricultural and fish products inspectors,625,65822,67636,
        2223 Forestry technologists and technicians,545,68867,70484,
        2224 Conservation and fishery officers,485,74208,71369,
        2225 Landscape and horticulture technicians and specialists,1880,35808,41673,
"      223 Technical occupations in civil, mechanical and industrial engineering",11630,76785,90783,
        2231 Civil engineering technologists and technicians,3210,75511,81922,
        2232 Mechanical engineering technologists and technicians,2170,78081,89122,
        2233 Industrial engineering and manufacturing technologists and technicians,1805,69091,81907,
        2234 Construction estimators,4445,80527,101599,
      224 Technical occupations in electronics and electrical engineering,16075,65390,77549,
        2241 Electrical and electronics engineering technologists and technicians,5075,71596,80656,
        2242 Electronic service technicians (household and business equipment),6535,53057,55737,
        2243 Industrial instrument technicians and mechanics,3735,101220,111112,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",730,74557,79248,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",10210,63121,69487,
        2251 Architectural technologists and technicians,1310,59268,59037,
        2252 Industrial designers,605,61533,75281,
        2253 Drafting technologists and technicians,5600,62633,69971,
        2254 Land survey technologists and technicians,890,55601,57623,
        2255 Technical occupations in geomatics and meteorology,1800,73970,79451,
      226 Other technical inspectors and regulatory officers,15825,79154,88345,
        2261 Non-destructive testers and inspection technicians,3080,82235,93674,
        2262 Engineering inspectors and regulatory officers,1210,89808,101352,
        2263 Inspectors in public and environmental health and occupational health and safety,8780,76489,86417,
        2264 Construction inspectors,2760,79056,82841,
      227 Transportation officers and controllers,3945,90925,109785,
"        2271 Air pilots, flight engineers and flying instructors",2750,89449,113631,
        2272 Air traffic controllers and related occupations,725,93274,108966,
"        2273 Deck officers, water transport",100,48042,64911,
"        2274 Engineer officers, water transport",15,0,0,
        2275 Railway traffic controllers and marine traffic regulators,355,101402,96515,
      228 Technical occupations in computer and information systems,11405,68640,74175,
        2281 Computer network technicians,6985,73390,76592,
        2282 User support technicians,3765,61545,71136,
        2283 Information systems testing technicians,645,68702,65778,
  3 Health occupations,150970,54674,66303,
    30 Professional occupations in nursing,40245,74103,71702,
      301 Professional occupations in nursing,40240,74103,71702,
        3011 Nursing co-ordinators and supervisors,1370,84827,78158,
        3012 Registered nurses and registered psychiatric nurses,38870,73765,71475,
    31 Professional occupations in health (except nursing),29955,83482,111906,
"      311 Physicians, dentists and veterinarians",13960,112362,157216,
