"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Abbotsford - Mission,,,,
Global non-response rate (GNR) =   5.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        6346 Funeral directors and embalmers,30,0,0,
    64 Sales representatives and salespersons - wholesale and retail trade,3840,18751,30490,
      641 Sales and account representatives - wholesale trade (non-technical),505,52113,59265,
        6411 Sales and account representatives - wholesale trade (non-technical),510,52113,59265,
      642 Retail salespersons,3330,16943,26109,
        6421 Retail salespersons,3330,16943,26109,
    65 Service representatives and other customer and personal services occupations,4025,17326,22451,
      651 Occupations in food and beverage service,1355,10655,11898,
        6511 Maîtres d'hôtel and hosts/hostesses,195,5736,7860,
        6512 Bartenders,120,12578,15818,
        6513 Food and beverage servers,1035,11682,12212,
      652 Occupations in travel and accommodation,260,29128,28888,
        6521 Travel counsellors,115,28257,27334,
        6522 Pursers and flight attendants,35,48730,34886,
        6523 Airline ticket and service agents,25,0,42159,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",10,0,0,
        6525 Hotel front desk clerks,80,23402,22047,
      653 Tourism and amusement services occupations,40,22850,24284,
        6531 Tour and travel guides,0,0,0,
        6532 Outdoor sport and recreational guides,10,0,0,
        6533 Casino occupations,30,0,0,
      654 Security guards and related security service occupations,670,23891,28156,
        6541 Security guards and related security service occupations,670,23891,28156,
      655 Customer and information services representatives,1170,28337,31497,
        6551 Customer services representatives - financial institutions,345,28815,30312,
        6552 Other customer and information services representatives,820,28160,31993,
      656 Other occupations in personal service,535,16658,18984,
"        6561 Image, social and other personal consultants",10,0,0,
"        6562 Estheticians, electrologists and related occupations",320,18519,21809,
        6563 Pet groomers and animal care workers,200,13457,15415,
        6564 Other personal service occupations,10,0,0,
    66 Sales support occupations,3265,12862,18352,
      661 Cashiers,1985,10571,15234,
        6611 Cashiers,1990,10571,15234,
      662 Other sales support and related occupations,1280,17016,23198,
        6621 Service station attendants,115,16831,19256,
"        6622 Store shelf stockers, clerks and order fillers",1045,18653,23513,
        6623 Other sales related occupations,115,12212,24249,
"    67 Service support and other service occupations, n.e.c.",5035,12725,17779,
"      671 Food counter attendants, kitchen helpers and related support occupations",2210,9483,12428,
"        6711 Food counter attendants, kitchen helpers and related support occupations",2210,9483,12428,
"      672 Support occupations in accommodation, travel and amusement services",140,8375,16940,
"        6721 Support occupations in accommodation, travel and facilities set-up services",15,0,0,
"        6722 Operators and attendants in amusement, recreation and sport",125,8373,14840,
      673 Cleaners,2420,16866,22308,
        6731 Light duty cleaners,1140,13101,16604,
        6732 Specialized cleaners,285,25241,27800,
"        6733 Janitors, caretakers and building superintendents",995,22611,27288,
"      674 Other service support and related occupations, n.e.c.",270,21489,21438,
"        6741 Dry cleaning, laundry and related occupations",150,28241,27614,
"        6742 Other service support occupations, n.e.c.",125,12408,14135,
"  7 Trades, transport and equipment operators and related occupations",19060,43869,48337,
"    72 Industrial, electrical and construction trades",6290,44989,50245,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",775,60007,62595,
