"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Kingston,,,,
Global non-response rate (GNR) =   4.4 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
      221 Technical occupations in physical sciences,165,66298,63217,
        2211 Chemical technologists and technicians,150,66458,64000,
        2212 Geological and mineral technologists and technicians,10,0,0,
      222 Technical occupations in life sciences,105,24190,28697,
        2221 Biological technologists and technicians,20,0,0,
        2222 Agricultural and fish products inspectors,10,0,0,
        2223 Forestry technologists and technicians,10,0,0,
        2224 Conservation and fishery officers,10,0,0,
        2225 Landscape and horticulture technicians and specialists,60,16382,24558,
"      223 Technical occupations in civil, mechanical and industrial engineering",390,52141,56677,
        2231 Civil engineering technologists and technicians,160,52066,49556,
        2232 Mechanical engineering technologists and technicians,75,66657,57168,
        2233 Industrial engineering and manufacturing technologists and technicians,65,57251,49839,
        2234 Construction estimators,85,46804,75085,
      224 Technical occupations in electronics and electrical engineering,485,48077,51744,
        2241 Electrical and electronics engineering technologists and technicians,210,55916,60363,
        2242 Electronic service technicians (household and business equipment),235,39607,40727,
        2243 Industrial instrument technicians and mechanics,30,0,0,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",15,0,0,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",185,50055,49947,
        2251 Architectural technologists and technicians,35,49315,43595,
        2252 Industrial designers,20,0,0,
        2253 Drafting technologists and technicians,65,51773,50443,
        2254 Land survey technologists and technicians,10,0,0,
        2255 Technical occupations in geomatics and meteorology,55,65104,51801,
      226 Other technical inspectors and regulatory officers,190,69211,56557,
        2261 Non-destructive testers and inspection technicians,10,0,0,
        2262 Engineering inspectors and regulatory officers,15,0,0,
        2263 Inspectors in public and environmental health and occupational health and safety,105,69152,55831,
        2264 Construction inspectors,60,69249,54745,
      227 Transportation officers and controllers,80,61518,70423,
"        2271 Air pilots, flight engineers and flying instructors",15,0,0,
        2272 Air traffic controllers and related occupations,10,0,0,
"        2273 Deck officers, water transport",45,61556,73355,
"        2274 Engineer officers, water transport",10,0,0,
        2275 Railway traffic controllers and marine traffic regulators,0,0,0,
      228 Technical occupations in computer and information systems,505,58429,59055,
        2281 Computer network technicians,285,66849,65951,
        2282 User support technicians,170,40797,44719,
        2283 Information systems testing technicians,50,72829,67262,
  3 Health occupations,8165,55112,61391,
    30 Professional occupations in nursing,2315,71281,67177,
      301 Professional occupations in nursing,2320,71281,67177,
        3011 Nursing co-ordinators and supervisors,150,79635,73351,
        3012 Registered nurses and registered psychiatric nurses,2165,70565,66755,
    31 Professional occupations in health (except nursing),2240,70897,87212,
"      311 Physicians, dentists and veterinarians",1390,72484,98161,
        3111 Specialist physicians,545,79805,119470,
        3112 General practitioners and family physicians,695,66498,78721,
        3113 Dentists,80,93460,109600,
        3114 Veterinarians,65,96442,111521,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",110,88736,73105,
        3121 Optometrists,10,0,0,
        3122 Chiropractors,35,84939,73233,
        3124 Allied primary health practitioners,60,98471,77264,
        3125 Other professional occupations in health diagnosing and treating,10,0,0,
"      313 Pharmacists, dietitians and nutritionists",270,83969,82727,
        3131 Pharmacists,185,98646,96712,
        3132 Dietitians and nutritionists,80,54724,52278,
      314 Therapy and assessment professionals,465,63091,60630,
        3141 Audiologists and speech-language pathologists,75,71158,65596,
        3142 Physiotherapists,175,63284,63760,
        3143 Occupational therapists,135,71040,66954,
        3144 Other professional occupations in therapy and assessment,80,47010,38007,
    32 Technical occupations in health,1970,50021,49749,
      321 Medical technologists and technicians (except dental health),1015,47828,49759,
        3211 Medical laboratory technologists,170,70903,63716,
        3212 Medical laboratory technicians and pathologists' assistants,110,44684,40578,
        3213 Animal health technologists and veterinary technicians,155,27340,27157,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",100,69399,72279,
        3215 Medical radiation technologists,130,84586,72513,
        3216 Medical sonographers,40,79947,74385,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",30,0,0,
        3219 Other medical technologists and technicians (except dental health),280,32164,34772,
      322 Technical occupations in dental health care,160,55859,56053,
        3221 Denturists,10,0,0,
        3222 Dental hygienists and dental therapists,135,55708,51651,
"        3223 Dental technologists, technicians and laboratory assistants",20,0,0,
      323 Other technical occupations in health care,790,50130,48433,
        3231 Opticians,35,50480,51851,
        3232 Practitioners of natural healing,10,0,0,
        3233 Licensed practical nurses,390,50252,45787,
        3234 Paramedical occupations,150,84802,81533,
        3236 Massage therapists,100,16304,22682,
        3237 Other technical occupations in therapy and assessment,105,39304,38141,
    34 Assisting occupations in support of health services,1640,32373,31997,
      341 Assisting occupations in support of health services,1645,32373,31997,
        3411 Dental assistants,160,32308,32659,
"        3413 Nurse aides, orderlies and patient service associates",1380,31581,31517,
        3414 Other assisting occupations in support of health services,105,35843,37380,
"  4 Occupations in education, law and social, community and government services",15255,54613,58175,
    40 Professional occupations in education services,5975,59859,66195,
      401 University professors and post-secondary assistants,2970,38941,67111,
        4011 University professors and lecturers,1525,124878,113358,
        4012 Post-secondary teaching and research assistants,1450,8839,18523,
      402 College and other vocational instructors,545,56292,65333,
        4021 College and other vocational instructors,545,56292,65333,
      403 Secondary and elementary school teachers and educational counsellors,2455,72526,65276,
        4031 Secondary school teachers,860,86446,72039,
        4032 Elementary school and kindergarten teachers,1425,68928,63028,
        4033 Educational counsellors,170,52529,49702,
"    41 Professional occupations in law and social, community and government services",2680,58500,61936,
"      411 Judges, lawyers and Quebec notaries",325,80237,108190,
        4111 Judges,10,0,0,
        4112 Lawyers and Quebec notaries,315,79303,99879,
      415 Social and community service professionals,1165,58293,56784,
        4151 Psychologists,255,60665,65709,
        4152 Social workers,315,61116,57997,
"        4153 Family, marriage and other related counsellors",145,46021,41451,
        4154 Professional occupations in religion,190,49665,47075,
        4155 Probation and parole officers and related occupations,165,82176,76025,
        4156 Employment counsellors,90,40733,38441,
"      416 Policy and program researchers, consultants and officers",1185,54363,54224,
"        4161 Natural and applied science policy researchers, consultants and program officers",135,55590,55473,
        4162 Economists and economic policy researchers and analysts,30,0,0,
        4163 Business development officers and marketing researchers and consultants,170,30918,39745,
"        4164 Social policy researchers, consultants and program officers",160,70863,61440,
"        4165 Health policy researchers, consultants and program officers",325,66978,64959,
"        4166 Education policy researchers, consultants and program officers",185,33049,37813,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",70,39400,43026,
        4168 Program officers unique to government,75,59380,53205,
"        4169 Other professional occupations in social science, n.e.c.",40,47865,58886,
"    42 Paraprofessional occupations in legal, social, community and education services",2025,33760,34436,
"      421 Paraprofessional occupations in legal, social, community and education services",2025,33760,34436,
        4211 Paralegal and related occupations,110,42568,44029,
        4212 Social and community service workers,870,42434,41534,
        4214 Early childhood educators and assistants,820,28320,25770,
        4215 Instructors of persons with disabilities,35,39349,43267,
        4216 Other instructors,160,17597,33509,
        4217 Other religious occupations,25,0,0,
    43 Occupations in front-line public protection services,2195,69324,71561,
      431 Occupations in front-line public protection services,2190,69324,71561,
        4311 Police officers (except commissioned),420,99598,93517,
        4312 Firefighters,150,86160,77974,
        4313 Non-commissioned ranks of the Canadian Armed Forces,1615,66935,65235,
"    44 Care providers and educational, legal and public protection support occupations",2390,34457,41786,
