"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Ottawa - Gatineau,,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        1512 Letter carriers,1060,55979,49997,
"        1513 Couriers, messengers and door-to-door distributors",780,22853,29575,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",6245,38362,40720,
        1521 Shippers and receivers,2195,31159,32913,
        1522 Storekeepers and partspersons,1050,38563,38230,
        1523 Production logistics co-ordinators,640,48705,51852,
        1524 Purchasing and inventory control workers,1185,38207,39795,
        1525 Dispatchers,1010,48161,51472,
        1526 Transportation route and crew schedulers,170,57053,57833,
  2 Natural and applied sciences and related occupations,76305,77686,79330,
    21 Professional occupations in natural and applied sciences,53055,82989,86907,
      211 Physical science professionals,1575,85110,82157,
        2111 Physicists and astronomers,365,98631,98873,
        2112 Chemists,720,79772,76576,
        2113 Geoscientists and oceanographers,340,72162,76535,
        2114 Meteorologists and climatologists,60,92031,76301,
        2115 Other professional occupations in physical sciences,90,94744,84192,
      212 Life science professionals,1835,77897,75443,
        2121 Biologists and related scientists,1595,81084,78038,
        2122 Forestry professionals,80,63171,78125,
"        2123 Agricultural representatives, consultants and specialists",170,36844,49663,
"      213 Civil, mechanical, electrical and chemical engineers",8495,95304,98886,
        2131 Civil engineers,2480,84304,87971,
        2132 Mechanical engineers,1900,87430,87811,
        2133 Electrical and electronics engineers,3775,107847,112877,
        2134 Chemical engineers,340,86706,85095,
      214 Other engineers,4545,98795,105014,
        2141 Industrial and manufacturing engineers,460,83993,89206,
        2142 Metallurgical and materials engineers,75,102985,109867,
        2143 Mining engineers,35,0,43484,
        2144 Geological engineers,85,93441,116204,
        2145 Petroleum engineers,40,0,0,
        2146 Aerospace engineers,545,103545,98862,
        2147 Computer engineers (except software engineers and designers),2945,101690,110753,
"        2148 Other professional engineers, n.e.c.",360,93787,85588,
"      215 Architects, urban planners and land surveyors",1665,70988,74581,
        2151 Architects,715,63485,74845,
        2152 Landscape architects,80,50577,60965,
        2153 Urban and land use planners,640,79323,78652,
        2154 Land surveyors,225,62995,67054,
"      216 Mathematicians, statisticians and actuaries",1685,74842,76472,
"        2161 Mathematicians, statisticians and actuaries",1690,74842,76472,
