"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Manitoba,,,,
Global non-response rate (GNR) =   5.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"      313 Pharmacists, dietitians and nutritionists",1785,77031,82565,
        3131 Pharmacists,1365,95522,93229,
        3132 Dietitians and nutritionists,420,47488,48039,
      314 Therapy and assessment professionals,2145,57650,54591,
        3141 Audiologists and speech-language pathologists,430,67033,63640,
        3142 Physiotherapists,915,57652,54698,
        3143 Occupational therapists,555,61454,57376,
        3144 Other professional occupations in therapy and assessment,250,32332,32223,
    32 Technical occupations in health,11960,44684,48153,
      321 Medical technologists and technicians (except dental health),5570,44280,48326,
        3211 Medical laboratory technologists,1080,68580,63603,
        3212 Medical laboratory technicians and pathologists' assistants,945,44191,43192,
        3213 Animal health technologists and veterinary technicians,525,33571,33785,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",300,77958,72838,
        3215 Medical radiation technologists,800,61139,59688,
        3216 Medical sonographers,140,59910,54724,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",125,61969,62137,
        3219 Other medical technologists and technicians (except dental health),1645,32378,34296,
      322 Technical occupations in dental health care,1040,52275,52616,
        3221 Denturists,75,64892,82709,
        3222 Dental hygienists and dental therapists,700,55848,53938,
"        3223 Dental technologists, technicians and laboratory assistants",260,36639,40554,
      323 Other technical occupations in health care,5350,43811,47108,
        3231 Opticians,275,42500,43055,
        3232 Practitioners of natural healing,220,15742,20817,
        3233 Licensed practical nurses,2190,48215,49879,
        3234 Paramedical occupations,1175,72867,68242,
        3236 Massage therapists,1200,26749,30171,
        3237 Other technical occupations in therapy and assessment,300,30809,34040,
    34 Assisting occupations in support of health services,18525,33683,32802,
      341 Assisting occupations in support of health services,18525,33683,32802,
        3411 Dental assistants,1220,36164,34329,
"        3413 Nurse aides, orderlies and patient service associates",15625,33478,32573,
        3414 Other assisting occupations in support of health services,1675,33715,33822,
"  4 Occupations in education, law and social, community and government services",87425,40352,47978,
    40 Professional occupations in education services,27080,64072,58907,
      401 University professors and post-secondary assistants,4755,44369,59324,
        4011 University professors and lecturers,2590,93307,90682,
        4012 Post-secondary teaching and research assistants,2170,11108,21902,
      402 College and other vocational instructors,2680,66533,59153,
        4021 College and other vocational instructors,2675,66533,59153,
      403 Secondary and elementary school teachers and educational counsellors,19645,65564,58772,
        4031 Secondary school teachers,6420,72420,62247,
        4032 Elementary school and kindergarten teachers,12175,63399,56986,
        4033 Educational counsellors,1055,62113,58255,
"    41 Professional occupations in law and social, community and government services",15750,54963,62748,
"      411 Judges, lawyers and Quebec notaries",2295,99969,115178,
        4111 Judges,130,265566,258458,
        4112 Lawyers and Quebec notaries,2165,95750,106706,
      415 Social and community service professionals,6705,52587,52716,
        4151 Psychologists,500,66011,76619,
        4152 Social workers,2650,59253,56362,
"        4153 Family, marriage and other related counsellors",1100,43419,43407,
        4154 Professional occupations in religion,1575,48303,46201,
        4155 Probation and parole officers and related occupations,350,64751,71268,
        4156 Employment counsellors,525,38096,38196,
"      416 Policy and program researchers, consultants and officers",6750,52575,54886,
"        4161 Natural and applied science policy researchers, consultants and program officers",660,59301,62856,
        4162 Economists and economic policy researchers and analysts,305,72743,87550,
        4163 Business development officers and marketing researchers and consultants,1420,52128,57138,
"        4164 Social policy researchers, consultants and program officers",1115,56466,55617,
"        4165 Health policy researchers, consultants and program officers",1095,56909,60179,
"        4166 Education policy researchers, consultants and program officers",880,53323,54863,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",440,34705,34692,
        4168 Program officers unique to government,705,26234,34683,
"        4169 Other professional occupations in social science, n.e.c.",135,46481,41023,
"    42 Paraprofessional occupations in legal, social, community and education services",16545,27325,30557,
"      421 Paraprofessional occupations in legal, social, community and education services",16545,27325,30557,
        4211 Paralegal and related occupations,410,45990,44227,
        4212 Social and community service workers,7425,33652,36119,
        4214 Early childhood educators and assistants,7130,22855,23965,
        4215 Instructors of persons with disabilities,330,28726,34244,
        4216 Other instructors,850,18547,30060,
        4217 Other religious occupations,400,25644,28743,
    43 Occupations in front-line public protection services,6300,81621,79663,
      431 Occupations in front-line public protection services,6295,81621,79663,
        4311 Police officers (except commissioned),2905,101758,92928,
        4312 Firefighters,1325,96569,84631,
        4313 Non-commissioned ranks of the Canadian Armed Forces,2060,61971,57777,
"    44 Care providers and educational, legal and public protection support occupations",21755,24353,27766,
      441 Home care providers and educational support occupations,18955,22281,22479,
        4411 Home child care providers,3205,10808,14666,
"        4412 Home support workers, housekeepers and related occupations",5980,25037,25754,
        4413 Elementary and secondary school teacher assistants,9770,23489,23042,
      442 Legal and public protection support occupations,2805,67678,63477,
        4421 Sheriffs and bailiffs,150,51653,51667,
        4422 Correctional service officers,2245,69010,66712,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",415,50721,50144,
"  5 Occupations in art, culture, recreation and sport",14705,19057,26571,
    51 Professional occupations in art and culture,5260,16977,26893,
"      511 Librarians, archivists, conservators and curators",375,50931,50014,
