"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Barrie,,,,
Global non-response rate (GNR) =   4.1 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        1512 Letter carriers,190,39840,39465,
"        1513 Couriers, messengers and door-to-door distributors",205,34251,35549,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",1695,38997,42530,
        1521 Shippers and receivers,670,33516,34129,
        1522 Storekeepers and partspersons,225,41639,43991,
        1523 Production logistics co-ordinators,160,46717,48510,
        1524 Purchasing and inventory control workers,235,29181,35958,
        1525 Dispatchers,370,60161,57554,
        1526 Transportation route and crew schedulers,35,49156,50841,
  2 Natural and applied sciences and related occupations,5705,66443,80761,
    21 Professional occupations in natural and applied sciences,2295,71518,97577,
      211 Physical science professionals,75,0,0,
        2111 Physicists and astronomers,0,0,0,
        2112 Chemists,40,53244,81416,
        2113 Geoscientists and oceanographers,20,0,0,
        2114 Meteorologists and climatologists,15,0,0,
        2115 Other professional occupations in physical sciences,0,0,0,
      212 Life science professionals,65,56566,58182,
        2121 Biologists and related scientists,60,56505,58066,
        2122 Forestry professionals,0,0,0,
"        2123 Agricultural representatives, consultants and specialists",0,0,0,
"      213 Civil, mechanical, electrical and chemical engineers",650,86673,96402,
        2131 Civil engineers,245,84015,100731,
        2132 Mechanical engineers,235,83425,87458,
        2133 Electrical and electronics engineers,145,104501,107923,
        2134 Chemical engineers,20,0,0,
      214 Other engineers,190,78574,83646,
        2141 Industrial and manufacturing engineers,70,70853,69449,
        2142 Metallurgical and materials engineers,0,0,0,
        2143 Mining engineers,10,0,0,
        2144 Geological engineers,0,0,0,
        2145 Petroleum engineers,10,0,0,
        2146 Aerospace engineers,30,0,0,
        2147 Computer engineers (except software engineers and designers),50,94974,90725,
"        2148 Other professional engineers, n.e.c.",20,0,0,
"      215 Architects, urban planners and land surveyors",145,63143,59719,
        2151 Architects,15,0,0,
        2152 Landscape architects,10,0,0,
        2153 Urban and land use planners,90,62491,58395,
        2154 Land surveyors,30,0,69040,
"      216 Mathematicians, statisticians and actuaries",25,0,0,
"        2161 Mathematicians, statisticians and actuaries",30,0,0,
      217 Computer and information systems professionals,1145,66983,66488,
        2171 Information systems analysts and consultants,535,71883,73378,
        2172 Database analysts and data administrators,65,79680,77799,
        2173 Software engineers and designers,100,61079,65935,
        2174 Computer programmers and interactive media developers,330,60125,62522,
        2175 Web designers and developers,115,28800,39372,
    22 Technical occupations related to natural and applied sciences,3410,62559,69430,
      221 Technical occupations in physical sciences,100,39030,43845,
        2211 Chemical technologists and technicians,75,24363,39826,
        2212 Geological and mineral technologists and technicians,20,0,0,
      222 Technical occupations in life sciences,240,43747,45671,
        2221 Biological technologists and technicians,25,0,20463,
        2222 Agricultural and fish products inspectors,15,0,0,
        2223 Forestry technologists and technicians,15,0,0,
        2224 Conservation and fishery officers,20,0,57498,
        2225 Landscape and horticulture technicians and specialists,165,37387,39720,
"      223 Technical occupations in civil, mechanical and industrial engineering",575,58932,61345,
        2231 Civil engineering technologists and technicians,115,55817,48935,
        2232 Mechanical engineering technologists and technicians,180,61829,59818,
        2233 Industrial engineering and manufacturing technologists and technicians,150,57994,66174,
        2234 Construction estimators,130,58942,68582,
      224 Technical occupations in electronics and electrical engineering,760,58212,58955,
        2241 Electrical and electronics engineering technologists and technicians,325,73117,67735,
        2242 Electronic service technicians (household and business equipment),385,48245,47880,
        2243 Industrial instrument technicians and mechanics,20,0,0,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",30,0,80796,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",355,48779,51844,
        2251 Architectural technologists and technicians,55,56019,50769,
        2252 Industrial designers,55,51996,47671,
        2253 Drafting technologists and technicians,170,46698,49636,
        2254 Land survey technologists and technicians,30,31075,35518,
        2255 Technical occupations in geomatics and meteorology,50,86606,77740,
      226 Other technical inspectors and regulatory officers,315,71420,71683,
        2261 Non-destructive testers and inspection technicians,15,0,0,
        2262 Engineering inspectors and regulatory officers,45,78641,73332,
        2263 Inspectors in public and environmental health and occupational health and safety,165,81279,80987,
        2264 Construction inspectors,100,53276,49181,
      227 Transportation officers and controllers,490,140886,140178,
"        2271 Air pilots, flight engineers and flying instructors",415,147010,145604,
        2272 Air traffic controllers and related occupations,30,0,0,
"        2273 Deck officers, water transport",10,0,0,
"        2274 Engineer officers, water transport",0,0,0,
        2275 Railway traffic controllers and marine traffic regulators,40,102991,93943,
      228 Technical occupations in computer and information systems,575,54771,55115,
        2281 Computer network technicians,355,62287,59799,
        2282 User support technicians,220,46984,46799,
        2283 Information systems testing technicians,10,0,0,
  3 Health occupations,7465,46425,55564,
    30 Professional occupations in nursing,2070,68017,65197,
      301 Professional occupations in nursing,2070,68017,65197,
        3011 Nursing co-ordinators and supervisors,190,66028,65580,
        3012 Registered nurses and registered psychiatric nurses,1880,68020,65158,
    31 Professional occupations in health (except nursing),1335,76681,90576,
"      311 Physicians, dentists and veterinarians",510,121113,126712,
        3111 Specialist physicians,180,124929,138839,
        3112 General practitioners and family physicians,200,141395,128292,
        3113 Dentists,75,89983,115459,
        3114 Veterinarians,50,87991,93228,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",205,74988,69784,
        3121 Optometrists,20,0,0,
        3122 Chiropractors,65,54675,61178,
        3124 Allied primary health practitioners,105,82703,76257,
        3125 Other professional occupations in health diagnosing and treating,15,0,0,
"      313 Pharmacists, dietitians and nutritionists",245,94588,82888,
        3131 Pharmacists,195,102090,91496,
        3132 Dietitians and nutritionists,50,44273,48250,
      314 Therapy and assessment professionals,380,54248,58200,
        3141 Audiologists and speech-language pathologists,80,76787,75318,
        3142 Physiotherapists,115,63970,66607,
        3143 Occupational therapists,80,59775,56136,
        3144 Other professional occupations in therapy and assessment,100,36424,35894,
    32 Technical occupations in health,2195,43745,46913,
      321 Medical technologists and technicians (except dental health),715,40146,44021,
        3211 Medical laboratory technologists,45,83450,81493,
        3212 Medical laboratory technicians and pathologists' assistants,105,40886,39987,
        3213 Animal health technologists and veterinary technicians,155,22840,23748,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",30,78701,73471,
        3215 Medical radiation technologists,80,73935,68390,
        3216 Medical sonographers,15,0,0,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",25,0,69780,
        3219 Other medical technologists and technicians (except dental health),250,33229,35092,
      322 Technical occupations in dental health care,275,48782,49976,
        3221 Denturists,0,0,0,
        3222 Dental hygienists and dental therapists,235,50773,50676,
"        3223 Dental technologists, technicians and laboratory assistants",40,42125,44218,
      323 Other technical occupations in health care,1205,46490,47941,
        3231 Opticians,140,51131,50000,
        3232 Practitioners of natural healing,30,0,0,
        3233 Licensed practical nurses,490,46124,41909,
        3234 Paramedical occupations,275,88915,80386,
        3236 Massage therapists,195,20412,22426,
        3237 Other technical occupations in therapy and assessment,75,32557,33009,
    34 Assisting occupations in support of health services,1870,30465,29996,
      341 Assisting occupations in support of health services,1865,30465,29996,
        3411 Dental assistants,295,31179,31113,
"        3413 Nurse aides, orderlies and patient service associates",1380,29338,29108,
        3414 Other assisting occupations in support of health services,190,33639,34704,
"  4 Occupations in education, law and social, community and government services",13165,53999,59113,
    40 Professional occupations in education services,4685,74796,65317,
      401 University professors and post-secondary assistants,245,11023,31569,
        4011 University professors and lecturers,65,45851,72551,
        4012 Post-secondary teaching and research assistants,180,9907,16427,
      402 College and other vocational instructors,565,52687,60704,
        4021 College and other vocational instructors,565,52687,60704,
      403 Secondary and elementary school teachers and educational counsellors,3875,81128,68123,
        4031 Secondary school teachers,1225,88678,73082,
        4032 Elementary school and kindergarten teachers,2505,77669,65962,
        4033 Educational counsellors,145,69373,63540,
"    41 Professional occupations in law and social, community and government services",2105,56266,64649,
"      411 Judges, lawyers and Quebec notaries",265,117543,129769,
        4111 Judges,25,0,0,
        4112 Lawyers and Quebec notaries,240,100873,111886,
      415 Social and community service professionals,835,54107,54533,
        4151 Psychologists,95,52346,55568,
        4152 Social workers,335,62242,61795,
"        4153 Family, marriage and other related counsellors",140,45025,43354,
        4154 Professional occupations in religion,155,47362,44763,
        4155 Probation and parole officers and related occupations,65,75873,68915,
        4156 Employment counsellors,60,56364,48056,
"      416 Policy and program researchers, consultants and officers",1000,54174,55920,
"        4161 Natural and applied science policy researchers, consultants and program officers",115,58487,63155,
        4162 Economists and economic policy researchers and analysts,25,0,0,
        4163 Business development officers and marketing researchers and consultants,285,48003,54662,
"        4164 Social policy researchers, consultants and program officers",100,78867,66805,
"        4165 Health policy researchers, consultants and program officers",125,53209,59527,
"        4166 Education policy researchers, consultants and program officers",105,74384,65669,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",80,42093,46869,
        4168 Program officers unique to government,115,7847,40324,
"        4169 Other professional occupations in social science, n.e.c.",40,0,0,
"    42 Paraprofessional occupations in legal, social, community and education services",2300,33444,35074,
"      421 Paraprofessional occupations in legal, social, community and education services",2300,33444,35074,
        4211 Paralegal and related occupations,300,42025,43765,
        4212 Social and community service workers,910,46918,44481,
        4214 Early childhood educators and assistants,860,25102,24887,
        4215 Instructors of persons with disabilities,65,31871,45051,
        4216 Other instructors,145,9933,16000,
        4217 Other religious occupations,20,0,0,
    43 Occupations in front-line public protection services,2025,102681,97124,
      431 Occupations in front-line public protection services,2020,102681,97124,
        4311 Police officers (except commissioned),1270,109388,106844,
        4312 Firefighters,435,101079,97821,
        4313 Non-commissioned ranks of the Canadian Armed Forces,320,65669,58014,
"    44 Care providers and educational, legal and public protection support occupations",2055,25971,28847,
      441 Home care providers and educational support occupations,1775,21154,23279,
        4411 Home child care providers,450,6199,9141,
"        4412 Home support workers, housekeepers and related occupations",450,26000,27536,
        4413 Elementary and secondary school teacher assistants,875,35987,28306,
      442 Legal and public protection support occupations,285,69452,63767,
        4421 Sheriffs and bailiffs,10,0,0,
        4422 Correctional service officers,130,75712,72332,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",145,62171,59703,
"  5 Occupations in art, culture, recreation and sport",2650,16759,26434,
    51 Professional occupations in art and culture,750,28275,35259,
"      511 Librarians, archivists, conservators and curators",70,49970,56060,
        5111 Librarians,45,50119,59840,
        5112 Conservators and curators,10,0,0,
        5113 Archivists,15,0,0,
"      512 Writing, translating and related communications professionals",295,33608,39955,
        5121 Authors and writers,125,32178,37130,
        5122 Editors,85,32267,35756,
        5123 Journalists,50,51739,49789,
"        5125 Translators, terminologists and interpreters",35,40264,46139,
      513 Creative and performing artists,390,16252,28034,
"        5131 Producers, directors, choreographers and related occupations",100,39537,58336,
"        5132 Conductors, composers and arrangers",20,0,0,
        5133 Musicians and singers,145,11149,18462,
        5134 Dancers,40,7996,10768,
        5135 Actors and comedians,25,0,0,
"        5136 Painters, sculptors and other visual artists",60,22088,23550,
"    52 Technical occupations in art, culture, recreation and sport",1900,13560,22946,
"      521 Technical occupations in libraries, public archives, museums and art galleries",65,10266,28089,
        5211 Library and public archive technicians,40,44002,40306,
        5212 Technical occupations related to museums and art galleries,20,0,0,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",315,20044,31395,
        5221 Photographers,95,10280,18238,
        5222 Film and video camera operators,35,0,0,
        5223 Graphic arts technicians,15,0,0,
        5224 Broadcast technicians,15,0,0,
        5225 Audio and video recording technicians,45,37203,47916,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",55,23447,29120,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",45,29748,32278,
"      523 Announcers and other performers, n.e.c.",70,20166,27664,
        5231 Announcers and other broadcasters,45,39257,37450,
"        5232 Other performers, n.e.c.",30,16019,12914,
      524 Creative designers and craftspersons,550,30810,34000,
        5241 Graphic designers and illustrators,285,36858,36947,
        5242 Interior designers and interior decorators,135,35929,38018,
"        5243 Theatre, fashion, exhibit and other creative designers",60,24238,32067,
        5244 Artisans and craftspersons,65,9611,15314,
"        5245 Patternmakers - textile, leather and fur products",10,0,0,
"      525 Athletes, coaches, referees and related occupations",890,6961,12381,
        5251 Athletes,10,0,0,
        5252 Coaches,45,40463,44989,
        5253 Sports officials and referees,20,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",820,6530,10625,
  6 Sales and service occupations,27550,17463,25631,
