"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Québec,,,,
Global non-response rate (GNR) =   4.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",70,27356,31850,
"      523 Announcers and other performers, n.e.c.",345,20573,34187,
        5231 Announcers and other broadcasters,175,32935,46128,
"        5232 Other performers, n.e.c.",165,14745,21765,
      524 Creative designers and craftspersons,2940,32435,33575,
        5241 Graphic designers and illustrators,1635,34773,36220,
        5242 Interior designers and interior decorators,620,30065,31434,
"        5243 Theatre, fashion, exhibit and other creative designers",430,37208,36817,
        5244 Artisans and craftspersons,240,11189,15169,
"        5245 Patternmakers - textile, leather and fur products",15,0,0,
"      525 Athletes, coaches, referees and related occupations",4575,5402,12808,
        5251 Athletes,60,0,0,
        5252 Coaches,355,21038,28822,
        5253 Sports officials and referees,175,2145,3982,
"        5254 Program leaders and instructors in recreation, sport and fitness",3990,5038,9758,
  6 Sales and service occupations,108275,18626,24565,
    62 Retail sales supervisors and specialized sales occupations,8220,44253,50656,
      621 Retail sales supervisors,1365,28182,31222,
        6211 Retail sales supervisors,1370,28182,31222,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,1925,57228,68631,
        6221 Technical sales specialists - wholesale trade,1380,67462,79806,
        6222 Retail and wholesale buyers,545,34311,40337,
"      623 Insurance, real estate and financial sales occupations",4930,44896,49021,
        6231 Insurance agents and brokers,3255,46908,52193,
        6232 Real estate agents and salespersons,990,27207,38653,
        6235 Financial sales representatives,685,45103,48967,
    63 Service supervisors and specialized service occupations,15765,20176,23391,
      631 Service supervisors,2150,25569,31186,
        6311 Food service supervisors,975,19178,21654,
        6312 Executive housekeepers,110,33392,33437,
"        6313 Accommodation, travel, tourism and related services supervisors",90,40266,35430,
        6314 Customer and information services supervisors,290,46629,50428,
        6315 Cleaning supervisors,335,36071,38263,
        6316 Other services supervisors,355,24059,33280,
      632 Chefs and cooks,8470,19200,21777,
        6321 Chefs,565,29481,33927,
        6322 Cooks,7905,18513,20915,
      633 Butchers and bakers,1765,26214,25266,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",805,29514,27554,
        6332 Bakers,960,22349,23352,
      634 Specialized occupations in personal and customer services,3385,18245,21508,
        6341 Hairstylists and barbers,2480,17726,20605,
"        6342 Tailors, dressmakers, furriers and milliners",475,20783,21776,
        6343 Shoe repairers and shoemakers,85,18188,20843,
"        6344 Jewellers, jewellery and watch repairers and related occupations",125,21479,22446,
        6345 Upholsterers,95,27605,25920,
        6346 Funeral directors and embalmers,125,30705,35159,
    64 Sales representatives and salespersons - wholesale and retail trade,19700,17898,27330,
      641 Sales and account representatives - wholesale trade (non-technical),3130,52679,56947,
        6411 Sales and account representatives - wholesale trade (non-technical),3130,52679,56947,
      642 Retail salespersons,16575,15226,21737,
        6421 Retail salespersons,16570,15226,21737,
    65 Service representatives and other customer and personal services occupations,22650,21970,25605,
      651 Occupations in food and beverage service,8975,17002,19789,
        6511 Maîtres d'hôtel and hosts/hostesses,865,7931,11847,
        6512 Bartenders,1005,18250,19922,
        6513 Food and beverage servers,7100,18091,20743,
      652 Occupations in travel and accommodation,1820,26661,27402,
        6521 Travel counsellors,550,29934,29894,
        6522 Pursers and flight attendants,175,39117,37562,
        6523 Airline ticket and service agents,105,31252,32352,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",75,29118,35549,
        6525 Hotel front desk clerks,910,21421,22638,
      653 Tourism and amusement services occupations,525,12915,16761,
        6531 Tour and travel guides,440,12469,15190,
        6532 Outdoor sport and recreational guides,70,14393,22410,
        6533 Casino occupations,20,0,0,
      654 Security guards and related security service occupations,2985,29080,30400,
        6541 Security guards and related security service occupations,2985,29080,30400,
      655 Customer and information services representatives,6440,32178,33218,
        6551 Customer services representatives - financial institutions,1385,33508,35805,
        6552 Other customer and information services representatives,5055,31644,32509,
      656 Other occupations in personal service,1905,17260,20475,
"        6561 Image, social and other personal consultants",90,22633,31927,
"        6562 Estheticians, electrologists and related occupations",1495,17811,20448,
        6563 Pet groomers and animal care workers,285,13509,18131,
        6564 Other personal service occupations,35,0,0,
    66 Sales support occupations,17085,11401,15803,
      661 Cashiers,9645,9595,11941,
        6611 Cashiers,9645,9595,11941,
      662 Other sales support and related occupations,7440,14883,20809,
        6621 Service station attendants,205,10399,13759,
"        6622 Store shelf stockers, clerks and order fillers",5280,14186,17441,
        6623 Other sales related occupations,1950,19812,30674,
"    67 Service support and other service occupations, n.e.c.",24850,16505,19562,
"      671 Food counter attendants, kitchen helpers and related support occupations",8965,10063,13529,
"        6711 Food counter attendants, kitchen helpers and related support occupations",8965,10063,13529,
"      672 Support occupations in accommodation, travel and amusement services",1050,12895,18616,
"        6721 Support occupations in accommodation, travel and facilities set-up services",190,22931,23821,
"        6722 Operators and attendants in amusement, recreation and sport",860,11302,17447,
      673 Cleaners,13345,21975,23552,
        6731 Light duty cleaners,8470,20260,21414,
        6732 Specialized cleaners,920,21493,23493,
"        6733 Janitors, caretakers and building superintendents",3960,27519,28140,
"      674 Other service support and related occupations, n.e.c.",1490,18572,20786,
"        6741 Dry cleaning, laundry and related occupations",630,23221,23382,
"        6742 Other service support occupations, n.e.c.",860,13313,18888,
"  7 Trades, transport and equipment operators and related occupations",49710,41066,42831,
"    72 Industrial, electrical and construction trades",18555,44528,46166,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",1300,56381,58430,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",280,60091,59832,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",335,74044,74297,
"        7203 Contractors and supervisors, pipefitting trades",90,72940,72942,
"        7204 Contractors and supervisors, carpentry trades",205,53327,55330,
"        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",380,40700,41723,
"      723 Machining, metal forming, shaping and erecting trades",3885,44717,44580,
        7231 Machinists and machining and tooling inspectors,885,44254,44894,
        7232 Tool and die makers,80,42082,49646,
        7233 Sheet metal workers,515,53368,51669,
        7234 Boilermakers,20,0,0,
        7235 Structural metal and platework fabricators and fitters,100,42412,38396,
        7236 Ironworkers,355,50567,50648,
        7237 Welders and related machine operators,1930,41639,41187,
      724 Electrical trades and electrical power line and telecommunications workers,3485,53676,56062,
        7241 Electricians (except industrial and power system),1600,53901,53989,
        7242 Industrial electricians,315,61707,64237,
        7243 Power system electricians,140,70952,68657,
        7244 Electrical power line and cable workers,255,72434,78621,
        7245 Telecommunications line and cable workers,150,51232,52914,
        7246 Telecommunications installation and repair workers,915,48353,49966,
        7247 Cable television service and maintenance technicians,110,50247,49201,
"      725 Plumbers, pipefitters and gas fitters",1370,51255,52693,
        7251 Plumbers,910,48266,48581,
