"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Toronto,,,,
Global non-response rate (GNR) =   4.2 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
      227 Transportation officers and controllers,3020,86243,101137,
"        2271 Air pilots, flight engineers and flying instructors",1930,90327,106451,
        2272 Air traffic controllers and related occupations,540,102177,112983,
"        2273 Deck officers, water transport",215,58254,64228,
"        2274 Engineer officers, water transport",90,71859,77929,
        2275 Railway traffic controllers and marine traffic regulators,240,79106,74473,
      228 Technical occupations in computer and information systems,26980,58011,59869,
        2281 Computer network technicians,14325,61969,62855,
        2282 User support technicians,9860,54610,57262,
        2283 Information systems testing technicians,2800,54485,53767,
  3 Health occupations,170565,49491,62207,
    30 Professional occupations in nursing,39405,71170,68699,
      301 Professional occupations in nursing,39405,71170,68699,
        3011 Nursing co-ordinators and supervisors,2215,71707,65912,
        3012 Registered nurses and registered psychiatric nurses,37190,71154,68865,
    31 Professional occupations in health (except nursing),48145,72193,94979,
"      311 Physicians, dentists and veterinarians",24425,90118,126657,
        3111 Specialist physicians,8195,119008,152702,
        3112 General practitioners and family physicians,10215,85621,120440,
        3113 Dentists,4830,84662,108737,
        3114 Veterinarians,1190,65859,73354,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",5375,52458,62597,
        3121 Optometrists,1025,68563,80120,
        3122 Chiropractors,1705,42012,51749,
        3124 Allied primary health practitioners,1495,87054,76138,
        3125 Other professional occupations in health diagnosing and treating,1140,32325,45390,
"      313 Pharmacists, dietitians and nutritionists",9295,70841,70367,
        3131 Pharmacists,7255,78838,76310,
        3132 Dietitians and nutritionists,2040,47266,49205,
      314 Therapy and assessment professionals,9055,53384,54020,
        3141 Audiologists and speech-language pathologists,1530,68156,64525,
        3142 Physiotherapists,3730,55485,56160,
        3143 Occupational therapists,2245,61153,57172,
        3144 Other professional occupations in therapy and assessment,1550,29812,33947,
    32 Technical occupations in health,44820,40637,44356,
      321 Medical technologists and technicians (except dental health),20460,45293,48444,
        3211 Medical laboratory technologists,3235,71720,65822,
        3212 Medical laboratory technicians and pathologists' assistants,3790,41274,41042,
        3213 Animal health technologists and veterinary technicians,1715,25765,28557,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",1105,77723,74231,
        3215 Medical radiation technologists,2275,77383,72941,
        3216 Medical sonographers,1310,65303,61031,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",405,55567,49255,
        3219 Other medical technologists and technicians (except dental health),6625,31051,34101,
      322 Technical occupations in dental health care,6040,42627,44710,
        3221 Denturists,325,33792,44805,
        3222 Dental hygienists and dental therapists,4645,43691,44333,
"        3223 Dental technologists, technicians and laboratory assistants",1070,39447,46321,
      323 Other technical occupations in health care,18325,33845,39674,
        3231 Opticians,1495,42520,44279,
        3232 Practitioners of natural healing,2080,13490,18812,
        3233 Licensed practical nurses,5585,47361,44615,
        3234 Paramedical occupations,2540,86208,75904,
        3236 Massage therapists,4640,20125,24259,
        3237 Other technical occupations in therapy and assessment,1990,28626,33869,
    34 Assisting occupations in support of health services,38195,35555,35149,
      341 Assisting occupations in support of health services,38195,35555,35149,
        3411 Dental assistants,5860,33894,33107,
"        3413 Nurse aides, orderlies and patient service associates",28075,36481,35746,
        3414 Other assisting occupations in support of health services,4255,31977,34021,
"  4 Occupations in education, law and social, community and government services",360225,44311,60670,
