"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Nunavut [1],,,,
Global non-response rate (GNR) =   8.7 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
      402 College and other vocational instructors,160,91904,81592,
        4021 College and other vocational instructors,160,91904,81592,
      403 Secondary and elementary school teachers and educational counsellors,825,100736,84974,
        4031 Secondary school teachers,275,100352,87585,
        4032 Elementary school and kindergarten teachers,510,100779,83601,
        4033 Educational counsellors,40,102144,84764,
"    41 Professional occupations in law and social, community and government services",635,105280,98193,
"      411 Judges, lawyers and Quebec notaries",65,141824,141880,
        4111 Judges,0,0,0,
        4112 Lawyers and Quebec notaries,60,137728,131551,
      415 Social and community service professionals,130,88235,82239,
        4151 Psychologists,10,0,0,
        4152 Social workers,40,106240,99219,
"        4153 Family, marriage and other related counsellors",35,62080,53515,
        4154 Professional occupations in religion,15,76544,81758,
        4155 Probation and parole officers and related occupations,15,105728,100296,
        4156 Employment counsellors,25,101888,84290,
"      416 Policy and program researchers, consultants and officers",440,106325,96526,
"        4161 Natural and applied science policy researchers, consultants and program officers",45,123648,113382,
        4162 Economists and economic policy researchers and analysts,25,119040,110983,
        4163 Business development officers and marketing researchers and consultants,40,85760,88759,
"        4164 Social policy researchers, consultants and program officers",100,111360,105024,
"        4165 Health policy researchers, consultants and program officers",70,100608,96518,
"        4166 Education policy researchers, consultants and program officers",45,115968,104303,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",25,56960,59765,
        4168 Program officers unique to government,75,103936,88159,
"        4169 Other professional occupations in social science, n.e.c.",10,0,0,
"    42 Paraprofessional occupations in legal, social, community and education services",770,33152,49945,
"      421 Paraprofessional occupations in legal, social, community and education services",765,33152,49945,
        4211 Paralegal and related occupations,10,91392,88587,
        4212 Social and community service workers,440,59968,62788,
        4214 Early childhood educators and assistants,230,14144,23189,
        4215 Instructors of persons with disabilities,10,0,0,
        4216 Other instructors,85,23424,49295,
        4217 Other religious occupations,0,0,0,
    43 Occupations in front-line public protection services,165,153344,135638,
      431 Occupations in front-line public protection services,165,153344,135638,
        4311 Police officers (except commissioned),120,162475,158139,
        4312 Firefighters,25,132608,101682,
        4313 Non-commissioned ranks of the Canadian Armed Forces,20,8896,27796,
"    44 Care providers and educational, legal and public protection support occupations",855,31616,45905,
      441 Home care providers and educational support occupations,700,23136,37497,
        4411 Home child care providers,140,8368,16196,
"        4412 Home support workers, housekeepers and related occupations",250,22912,33135,
        4413 Elementary and secondary school teacher assistants,300,42112,50992,
      442 Legal and public protection support occupations,155,87232,82761,
        4421 Sheriffs and bailiffs,15,87040,78096,
        4422 Correctional service officers,120,89600,87038,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",25,54400,61466,
"  5 Occupations in art, culture, recreation and sport",525,25301,44711,
    51 Professional occupations in art and culture,260,60544,62425,
"      511 Librarians, archivists, conservators and curators",25,39296,53466,
        5111 Librarians,20,35968,55877,
        5112 Conservators and curators,10,0,0,
        5113 Archivists,10,0,0,
"      512 Writing, translating and related communications professionals",195,77952,70073,
        5121 Authors and writers,0,0,0,
        5122 Editors,10,0,0,
        5123 Journalists,20,74752,76287,
"        5125 Translators, terminologists and interpreters",160,79360,68876,
      513 Creative and performing artists,40,18368,32257,
"        5131 Producers, directors, choreographers and related occupations",15,52352,53316,
"        5132 Conductors, composers and arrangers",0,0,0,
        5133 Musicians and singers,0,0,0,
        5134 Dancers,0,0,0,
        5135 Actors and comedians,10,0,0,
"        5136 Painters, sculptors and other visual artists",15,0,0,
"    52 Technical occupations in art, culture, recreation and sport",265,8992,27533,
"      521 Technical occupations in libraries, public archives, museums and art galleries",10,17088,52652,
        5211 Library and public archive technicians,10,0,0,
        5212 Technical occupations related to museums and art galleries,10,0,0,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",25,40576,53582,
        5221 Photographers,0,0,0,
        5222 Film and video camera operators,10,0,0,
        5223 Graphic arts technicians,0,0,0,
        5224 Broadcast technicians,0,0,0,
        5225 Audio and video recording technicians,10,0,0,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",10,0,0,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",0,0,0,
"      523 Announcers and other performers, n.e.c.",50,9184,27496,
        5231 Announcers and other broadcasters,50,9184,27496,
"        5232 Other performers, n.e.c.",0,0,0,
      524 Creative designers and craftspersons,80,8368,28726,
        5241 Graphic designers and illustrators,10,68224,66303,
        5242 Interior designers and interior decorators,0,0,0,
"        5243 Theatre, fashion, exhibit and other creative designers",10,0,0,
        5244 Artisans and craftspersons,65,4640,19771,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",95,6192,16468,
        5251 Athletes,0,0,0,
        5252 Coaches,0,0,0,
        5253 Sports officials and referees,0,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",95,6736,16790,
  6 Sales and service occupations,3840,12616,25525,
    62 Retail sales supervisors and specialized sales occupations,75,31637,41697,
      621 Retail sales supervisors,50,28224,34889,
        6211 Retail sales supervisors,55,28224,34889,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,10,0,0,
        6221 Technical sales specialists - wholesale trade,0,0,0,
        6222 Retail and wholesale buyers,0,0,0,
"      623 Insurance, real estate and financial sales occupations",15,53632,62499,
        6231 Insurance agents and brokers,10,0,0,
        6232 Real estate agents and salespersons,0,0,0,
        6235 Financial sales representatives,10,50624,58815,
    63 Service supervisors and specialized service occupations,355,16672,30132,
      631 Service supervisors,55,20160,39003,
        6311 Food service supervisors,10,0,0,
        6312 Executive housekeepers,0,0,0,
"        6313 Accommodation, travel, tourism and related services supervisors",10,0,0,
        6314 Customer and information services supervisors,0,0,0,
        6315 Cleaning supervisors,10,62080,63630,
        6316 Other services supervisors,25,17728,29150,
      632 Chefs and cooks,235,16064,30353,
        6321 Chefs,25,55040,58697,
        6322 Cooks,210,14720,27144,
      633 Butchers and bakers,25,22976,25768,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",15,18816,19407,
        6332 Bakers,15,32704,33189,
      634 Specialized occupations in personal and customer services,40,4272,18125,
        6341 Hairstylists and barbers,10,0,0,
"        6342 Tailors, dressmakers, furriers and milliners",25,3976,19108,
        6343 Shoe repairers and shoemakers,0,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",10,0,0,
        6345 Upholsterers,0,0,0,
        6346 Funeral directors and embalmers,0,0,0,
    64 Sales representatives and salespersons - wholesale and retail trade,110,14304,24365,
      641 Sales and account representatives - wholesale trade (non-technical),10,0,0,
        6411 Sales and account representatives - wholesale trade (non-technical),0,0,0,
      642 Retail salespersons,105,14304,23022,
        6421 Retail salespersons,100,14304,23022,
    65 Service representatives and other customer and personal services occupations,560,23189,33671,
      651 Occupations in food and beverage service,90,9184,19185,
        6511 Maîtres d'hôtel and hosts/hostesses,0,0,0,
        6512 Bartenders,15,25088,26988,
        6513 Food and beverage servers,75,8480,18381,
      652 Occupations in travel and accommodation,185,33408,43021,
        6521 Travel counsellors,30,62848,69898,
        6522 Pursers and flight attendants,0,0,0,
        6523 Airline ticket and service agents,130,30592,39302,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",0,0,0,
        6525 Hotel front desk clerks,20,18848,23974,
      653 Tourism and amusement services occupations,45,9931,11159,
        6531 Tour and travel guides,10,0,0,
        6532 Outdoor sport and recreational guides,40,9440,11061,
        6533 Casino occupations,0,0,0,
      654 Security guards and related security service occupations,185,21632,32591,
        6541 Security guards and related security service occupations,185,21632,32591,
      655 Customer and information services representatives,50,40320,52305,
        6551 Customer services representatives - financial institutions,20,45440,47868,
        6552 Other customer and information services representatives,25,35904,55671,
      656 Other occupations in personal service,10,0,0,
"        6561 Image, social and other personal consultants",0,0,0,
"        6562 Estheticians, electrologists and related occupations",0,0,0,
        6563 Pet groomers and animal care workers,10,0,0,
        6564 Other personal service occupations,0,0,0,
    66 Sales support occupations,1265,7035,11816,
      661 Cashiers,795,6408,10077,
        6611 Cashiers,795,6408,10077,
      662 Other sales support and related occupations,465,9824,14781,
        6621 Service station attendants,75,14688,16823,
"        6622 Store shelf stockers, clerks and order fillers",390,9440,13670,
        6623 Other sales related occupations,10,0,0,
"    67 Service support and other service occupations, n.e.c.",1475,17312,32283,
"      671 Food counter attendants, kitchen helpers and related support occupations",210,11264,18641,
"        6711 Food counter attendants, kitchen helpers and related support occupations",215,11264,18641,
"      672 Support occupations in accommodation, travel and amusement services",55,11328,18321,
"        6721 Support occupations in accommodation, travel and facilities set-up services",10,0,0,
"        6722 Operators and attendants in amusement, recreation and sport",55,11008,17711,
      673 Cleaners,1205,19968,35404,
        6731 Light duty cleaners,275,10400,20381,
        6732 Specialized cleaners,15,13248,16694,
"        6733 Janitors, caretakers and building superintendents",910,25824,40216,
"      674 Other service support and related occupations, n.e.c.",0,0,0,
"        6741 Dry cleaning, laundry and related occupations",10,0,0,
"        6742 Other service support occupations, n.e.c.",10,0,0,
"  7 Trades, transport and equipment operators and related occupations",2745,30886,44647,
"    72 Industrial, electrical and construction trades",575,37811,52210,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",45,112768,102842,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",0,0,0,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",10,137728,114387,
"        7203 Contractors and supervisors, pipefitting trades",10,0,0,
"        7204 Contractors and supervisors, carpentry trades",10,0,0,
"        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",15,107520,109269,
"      723 Machining, metal forming, shaping and erecting trades",15,60288,60125,
        7231 Machinists and machining and tooling inspectors,0,0,0,
        7232 Tool and die makers,0,0,0,
        7233 Sheet metal workers,0,0,0,
        7234 Boilermakers,0,0,0,
        7235 Structural metal and platework fabricators and fitters,0,0,0,
        7236 Ironworkers,0,0,0,
        7237 Welders and related machine operators,10,77056,60973,
      724 Electrical trades and electrical power line and telecommunications workers,115,56960,75546,
        7241 Electricians (except industrial and power system),70,42368,55774,
        7242 Industrial electricians,10,0,0,
        7243 Power system electricians,10,0,0,
        7244 Electrical power line and cable workers,10,182784,168905,
