"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Ottawa - Gatineau (partie du Québec / Quebec part),,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        2243 Industrial instrument technicians and mechanics,35,86093,86799,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",30,0,86942,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",495,49974,52339,
        2251 Architectural technologists and technicians,90,63800,62157,
        2252 Industrial designers,65,38565,43993,
        2253 Drafting technologists and technicians,135,40101,48861,
        2254 Land survey technologists and technicians,85,44423,49233,
        2255 Technical occupations in geomatics and meteorology,110,59092,55958,
      226 Other technical inspectors and regulatory officers,535,64221,63095,
        2261 Non-destructive testers and inspection technicians,0,0,0,
        2262 Engineering inspectors and regulatory officers,70,80843,82787,
        2263 Inspectors in public and environmental health and occupational health and safety,315,63449,62376,
        2264 Construction inspectors,140,61542,54392,
      227 Transportation officers and controllers,90,88866,91210,
"        2271 Air pilots, flight engineers and flying instructors",45,98004,97725,
        2272 Air traffic controllers and related occupations,25,0,118814,
"        2273 Deck officers, water transport",15,0,0,
"        2274 Engineer officers, water transport",10,0,0,
        2275 Railway traffic controllers and marine traffic regulators,0,0,0,
      228 Technical occupations in computer and information systems,2075,64518,66128,
        2281 Computer network technicians,1275,69242,71514,
        2282 User support technicians,675,57039,56767,
        2283 Information systems testing technicians,125,58011,61713,
  3 Health occupations,10400,44752,53690,
    30 Professional occupations in nursing,2650,66687,61940,
      301 Professional occupations in nursing,2650,66687,61940,
        3011 Nursing co-ordinators and supervisors,200,80103,77047,
        3012 Registered nurses and registered psychiatric nurses,2455,65580,60718,
    31 Professional occupations in health (except nursing),1940,71024,93453,
"      311 Physicians, dentists and veterinarians",755,91788,137105,
        3111 Specialist physicians,265,101337,171715,
        3112 General practitioners and family physicians,300,96717,125474,
        3113 Dentists,115,118811,129571,
        3114 Veterinarians,80,85532,71705,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",175,60219,71886,
        3121 Optometrists,20,0,0,
        3122 Chiropractors,55,46927,80844,
        3124 Allied primary health practitioners,60,90247,83650,
        3125 Other professional occupations in health diagnosing and treating,40,42839,42556,
