"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = British Columbia / Colombie-Britannique [1],,,,
Global non-response rate (GNR) =   6.1 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
"      213 Civil, mechanical, electrical and chemical engineers",19700,80209,90391,
        2131 Civil engineers,7885,81102,89515,
        2132 Mechanical engineers,5370,74354,87582,
        2133 Electrical and electronics engineers,5390,83629,91803,
        2134 Chemical engineers,1055,96250,104031,
      214 Other engineers,6990,85837,96234,
        2141 Industrial and manufacturing engineers,1150,76742,81207,
        2142 Metallurgical and materials engineers,365,86256,89410,
        2143 Mining engineers,745,119005,136304,
        2144 Geological engineers,915,92683,120326,
        2145 Petroleum engineers,260,105356,120739,
        2146 Aerospace engineers,300,73727,81804,
        2147 Computer engineers (except software engineers and designers),2315,85457,90824,
"        2148 Other professional engineers, n.e.c.",950,75948,73478,
"      215 Architects, urban planners and land surveyors",6260,67382,74577,
        2151 Architects,2895,60622,71707,
        2152 Landscape architects,355,61026,62002,
        2153 Urban and land use planners,1925,74015,79926,
        2154 Land surveyors,1080,69834,76915,
"      216 Mathematicians, statisticians and actuaries",785,73383,90783,
"        2161 Mathematicians, statisticians and actuaries",785,73383,90783,
      217 Computer and information systems professionals,44240,69585,72932,
        2171 Information systems analysts and consultants,15760,71229,73466,
        2172 Database analysts and data administrators,2295,70351,70701,
        2173 Software engineers and designers,8975,84020,90233,
        2174 Computer programmers and interactive media developers,12920,68662,71969,
        2175 Web designers and developers,4295,33075,38901,
    22 Technical occupations related to natural and applied sciences,72665,56191,60762,
      221 Technical occupations in physical sciences,3385,41846,50595,
        2211 Chemical technologists and technicians,2365,40028,46823,
        2212 Geological and mineral technologists and technicians,1020,47737,59357,
      222 Technical occupations in life sciences,9825,41906,44653,
        2221 Biological technologists and technicians,1765,35529,37936,
        2222 Agricultural and fish products inspectors,695,68100,62236,
        2223 Forestry technologists and technicians,2715,52952,51590,
        2224 Conservation and fishery officers,1035,61562,58777,
        2225 Landscape and horticulture technicians and specialists,3610,29193,35291,
"      223 Technical occupations in civil, mechanical and industrial engineering",8830,61102,64744,
        2231 Civil engineering technologists and technicians,2645,61359,60655,
        2232 Mechanical engineering technologists and technicians,1885,60157,63020,
        2233 Industrial engineering and manufacturing technologists and technicians,1600,53583,58791,
        2234 Construction estimators,2695,66095,73492,
      224 Technical occupations in electronics and electrical engineering,14090,52139,56198,
        2241 Electrical and electronics engineering technologists and technicians,5115,58845,61356,
        2242 Electronic service technicians (household and business equipment),7285,43868,46004,
        2243 Industrial instrument technicians and mechanics,910,91838,93624,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",790,74042,73890,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",7905,52435,53352,
        2251 Architectural technologists and technicians,1170,51315,52239,
        2252 Industrial designers,1065,48938,59056,
        2253 Drafting technologists and technicians,3525,49947,50521,
        2254 Land survey technologists and technicians,460,45441,47973,
        2255 Technical occupations in geomatics and meteorology,1685,60936,57898,
      226 Other technical inspectors and regulatory officers,7890,66597,66384,
        2261 Non-destructive testers and inspection technicians,640,65363,72223,
        2262 Engineering inspectors and regulatory officers,580,81036,76011,
        2263 Inspectors in public and environmental health and occupational health and safety,4235,66354,66239,
        2264 Construction inspectors,2435,63983,62810,
      227 Transportation officers and controllers,7190,91316,102159,
"        2271 Air pilots, flight engineers and flying instructors",3470,96996,113072,
        2272 Air traffic controllers and related occupations,795,95609,108080,
"        2273 Deck officers, water transport",2020,81694,85473,
"        2274 Engineer officers, water transport",680,89477,92398,
        2275 Railway traffic controllers and marine traffic regulators,220,96977,92072,
      228 Technical occupations in computer and information systems,13550,55454,56227,
        2281 Computer network technicians,7260,58287,60194,
        2282 User support technicians,5240,50648,51673,
        2283 Information systems testing technicians,1050,50868,51509,
  3 Health occupations,164905,47506,56124,
    30 Professional occupations in nursing,42005,68126,64466,
      301 Professional occupations in nursing,42005,68126,64466,
        3011 Nursing co-ordinators and supervisors,2225,78886,70756,
        3012 Registered nurses and registered psychiatric nurses,39780,67466,64114,
    31 Professional occupations in health (except nursing),35655,72491,88607,
"      311 Physicians, dentists and veterinarians",17880,89801,115580,
        3111 Specialist physicians,6025,118651,146255,
        3112 General practitioners and family physicians,7515,81850,103243,
        3113 Dentists,3065,87262,101512,
        3114 Veterinarians,1270,72058,76974,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",2985,56431,61309,
        3121 Optometrists,630,64825,66725,
        3122 Chiropractors,1070,47882,56725,
        3124 Allied primary health practitioners,815,73506,68599,
        3125 Other professional occupations in health diagnosing and treating,475,49904,51955,
"      313 Pharmacists, dietitians and nutritionists",6180,75012,73081,
        3131 Pharmacists,4670,88156,81976,
        3132 Dietitians and nutritionists,1510,46371,45534,
      314 Therapy and assessment professionals,8615,54212,53222,
        3141 Audiologists and speech-language pathologists,1215,63614,61227,
        3142 Physiotherapists,3570,59499,57319,
        3143 Occupational therapists,1990,63797,59432,
        3144 Other professional occupations in therapy and assessment,1835,31564,33198,
    32 Technical occupations in health,44510,42373,43166,
      321 Medical technologists and technicians (except dental health),19495,42185,43774,
        3211 Medical laboratory technologists,2925,65126,58640,
        3212 Medical laboratory technicians and pathologists' assistants,3900,39223,38538,
        3213 Animal health technologists and veterinary technicians,2300,27309,28062,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",1090,68606,66217,
        3215 Medical radiation technologists,2395,61474,57698,
        3216 Medical sonographers,685,68401,63891,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",430,49469,45512,
        3219 Other medical technologists and technicians (except dental health),5765,33241,33507,
      322 Technical occupations in dental health care,4505,54208,54152,
        3221 Denturists,230,49443,54190,
        3222 Dental hygienists and dental therapists,3290,58606,55574,
"        3223 Dental technologists, technicians and laboratory assistants",985,45247,49405,
      323 Other technical occupations in health care,20515,39738,40176,
        3231 Opticians,1210,38069,39622,
        3232 Practitioners of natural healing,2430,13093,19092,
        3233 Licensed practical nurses,7900,46599,43768,
        3234 Paramedical occupations,3545,51163,54195,
        3236 Massage therapists,4455,31179,35056,
        3237 Other technical occupations in therapy and assessment,985,33982,36717,
    34 Assisting occupations in support of health services,42735,35101,34324,
      341 Assisting occupations in support of health services,42735,35101,34324,
        3411 Dental assistants,5785,37236,35703,
