"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = London,,,,
Global non-response rate (GNR) =   4.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        2123 Agricultural representatives, consultants and specialists",85,43781,43676,
"      213 Civil, mechanical, electrical and chemical engineers",2050,73669,78620,
        2131 Civil engineers,620,73296,83623,
        2132 Mechanical engineers,810,79434,77374,
        2133 Electrical and electronics engineers,480,65780,72728,
        2134 Chemical engineers,140,75488,83935,
      214 Other engineers,660,76509,75181,
        2141 Industrial and manufacturing engineers,340,78430,82121,
        2142 Metallurgical and materials engineers,30,0,87303,
        2143 Mining engineers,0,0,0,
        2144 Geological engineers,40,76602,85181,
        2145 Petroleum engineers,10,0,0,
        2146 Aerospace engineers,25,0,0,
        2147 Computer engineers (except software engineers and designers),155,75949,70178,
"        2148 Other professional engineers, n.e.c.",60,42285,56761,
"      215 Architects, urban planners and land surveyors",405,53113,54432,
        2151 Architects,105,46241,56532,
        2152 Landscape architects,25,0,0,
        2153 Urban and land use planners,210,52726,53983,
        2154 Land surveyors,65,55877,52367,
"      216 Mathematicians, statisticians and actuaries",220,80475,81645,
"        2161 Mathematicians, statisticians and actuaries",220,80475,81645,
      217 Computer and information systems professionals,4185,63640,64255,
        2171 Information systems analysts and consultants,1880,68073,69356,
        2172 Database analysts and data administrators,195,53163,61188,
        2173 Software engineers and designers,480,66740,72131,
        2174 Computer programmers and interactive media developers,1200,66184,62744,
        2175 Web designers and developers,430,38742,38857,
    22 Technical occupations related to natural and applied sciences,6450,52130,53854,
      221 Technical occupations in physical sciences,285,42324,44404,
        2211 Chemical technologists and technicians,250,42137,45020,
        2212 Geological and mineral technologists and technicians,30,45679,39404,
      222 Technical occupations in life sciences,520,29393,35042,
        2221 Biological technologists and technicians,140,26883,34465,
        2222 Agricultural and fish products inspectors,50,53733,59170,
        2223 Forestry technologists and technicians,35,0,0,
        2224 Conservation and fishery officers,20,0,0,
        2225 Landscape and horticulture technicians and specialists,280,23536,29459,
"      223 Technical occupations in civil, mechanical and industrial engineering",1200,58884,59128,
        2231 Civil engineering technologists and technicians,280,58623,54765,
        2232 Mechanical engineering technologists and technicians,300,66485,63090,
        2233 Industrial engineering and manufacturing technologists and technicians,310,59137,59178,
        2234 Construction estimators,295,54107,59194,
      224 Technical occupations in electronics and electrical engineering,1505,47200,49097,
        2241 Electrical and electronics engineering technologists and technicians,610,56772,55740,
        2242 Electronic service technicians (household and business equipment),835,43861,42538,
        2243 Industrial instrument technicians and mechanics,35,51676,65051,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",20,0,0,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",640,50342,48608,
        2251 Architectural technologists and technicians,125,57304,56894,
        2252 Industrial designers,90,46779,44814,
        2253 Drafting technologists and technicians,290,50002,44981,
        2254 Land survey technologists and technicians,45,40656,46564,
        2255 Technical occupations in geomatics and meteorology,90,56926,54043,
      226 Other technical inspectors and regulatory officers,560,63271,61875,
        2261 Non-destructive testers and inspection technicians,55,44918,51349,
        2262 Engineering inspectors and regulatory officers,35,60379,64522,
        2263 Inspectors in public and environmental health and occupational health and safety,360,66107,62840,
        2264 Construction inspectors,115,60722,63345,
      227 Transportation officers and controllers,235,102288,108809,
"        2271 Air pilots, flight engineers and flying instructors",165,102524,113614,
        2272 Air traffic controllers and related occupations,35,109713,107537,
"        2273 Deck officers, water transport",20,0,0,
"        2274 Engineer officers, water transport",10,0,0,
        2275 Railway traffic controllers and marine traffic regulators,15,0,0,
      228 Technical occupations in computer and information systems,1495,53413,53278,
        2281 Computer network technicians,805,58127,58058,
        2282 User support technicians,610,45971,46602,
        2283 Information systems testing technicians,80,60568,56226,
  3 Health occupations,21575,51025,59960,
    30 Professional occupations in nursing,5580,71161,66658,
      301 Professional occupations in nursing,5580,71161,66658,
        3011 Nursing co-ordinators and supervisors,310,74227,65611,
        3012 Registered nurses and registered psychiatric nurses,5270,71056,66720,
    31 Professional occupations in health (except nursing),5405,75462,89518,
"      311 Physicians, dentists and veterinarians",2930,84136,107678,
        3111 Specialist physicians,1165,81818,115732,
        3112 General practitioners and family physicians,1300,83058,101015,
        3113 Dentists,320,108197,108686,
        3114 Veterinarians,140,84022,100289,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",570,79607,74841,
        3121 Optometrists,95,95887,83555,
        3122 Chiropractors,160,52115,59396,
        3124 Allied primary health practitioners,260,92085,88894,
