"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Vancouver [1],,,,
Global non-response rate (GNR) =   5.7 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
      441 Home care providers and educational support occupations,22500,21865,23370,
        4411 Home child care providers,7245,13992,16476,
"        4412 Home support workers, housekeepers and related occupations",6310,24258,26517,
        4413 Elementary and secondary school teacher assistants,8945,30391,26735,
      442 Legal and public protection support occupations,2205,64127,62155,
        4421 Sheriffs and bailiffs,315,60796,55439,
        4422 Correctional service officers,1220,65352,64077,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",670,58282,61859,
"  5 Occupations in art, culture, recreation and sport",60170,24341,37432,
    51 Professional occupations in art and culture,20400,19961,36773,
"      511 Librarians, archivists, conservators and curators",1130,62203,55933,
        5111 Librarians,875,64010,59934,
        5112 Conservators and curators,145,20274,38480,
        5113 Archivists,110,34611,47309,
"      512 Writing, translating and related communications professionals",6045,24157,35732,
        5121 Authors and writers,2495,22987,34160,
        5122 Editors,1550,29819,37507,
        5123 Journalists,795,48868,47842,
"        5125 Translators, terminologists and interpreters",1200,17044,28658,
      513 Creative and performing artists,13225,17340,35612,
"        5131 Producers, directors, choreographers and related occupations",3355,48032,61136,
"        5132 Conductors, composers and arrangers",375,21523,31949,
        5133 Musicians and singers,3560,13333,31540,
        5134 Dancers,965,14620,18167,
        5135 Actors and comedians,2620,9826,18911,
"        5136 Painters, sculptors and other visual artists",2360,18268,31707,
"    52 Technical occupations in art, culture, recreation and sport",39770,26771,37770,
"      521 Technical occupations in libraries, public archives, museums and art galleries",1050,32985,32825,
        5211 Library and public archive technicians,610,42128,41568,
        5212 Technical occupations related to museums and art galleries,445,16946,20895,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",11510,39915,49455,
        5221 Photographers,1650,13525,21519,
        5222 Film and video camera operators,775,36907,44387,
        5223 Graphic arts technicians,810,61033,74383,
        5224 Broadcast technicians,110,51179,51339,
        5225 Audio and video recording technicians,2135,53076,64054,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",3095,48014,54310,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",2925,36169,43762,
"      523 Announcers and other performers, n.e.c.",1150,19713,39962,
        5231 Announcers and other broadcasters,405,38403,68868,
"        5232 Other performers, n.e.c.",750,16747,24313,
      524 Creative designers and craftspersons,13950,35942,42721,
        5241 Graphic designers and illustrators,7925,40263,45786,
        5242 Interior designers and interior decorators,2835,30272,38374,
"        5243 Theatre, fashion, exhibit and other creative designers",2110,34454,43822,
        5244 Artisans and craftspersons,1005,18043,25192,
"        5245 Patternmakers - textile, leather and fur products",70,0,0,
"      525 Athletes, coaches, referees and related occupations",12100,12717,21169,
        5251 Athletes,260,17725,84935,
        5252 Coaches,1095,25555,38264,
        5253 Sports officials and referees,290,4019,15150,
"        5254 Program leaders and instructors in recreation, sport and fitness",10455,12043,17953,
  6 Sales and service occupations,335325,20072,28762,
    62 Retail sales supervisors and specialized sales occupations,36775,43702,57830,
      621 Retail sales supervisors,4660,32919,36522,
        6211 Retail sales supervisors,4660,32919,36522,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,9500,57484,71902,
        6221 Technical sales specialists - wholesale trade,6730,69467,85310,
        6222 Retail and wholesale buyers,2775,32609,39344,
"      623 Insurance, real estate and financial sales occupations",22615,42483,56309,
        6231 Insurance agents and brokers,6370,42181,52714,
        6232 Real estate agents and salespersons,10710,34726,54473,
        6235 Financial sales representatives,5530,50022,64007,
    63 Service supervisors and specialized service occupations,46835,23506,27031,
      631 Service supervisors,7145,30192,35128,
        6311 Food service supervisors,3530,22665,24853,
        6312 Executive housekeepers,310,48680,47304,
"        6313 Accommodation, travel, tourism and related services supervisors",680,46410,44524,
        6314 Customer and information services supervisors,770,54263,57815,
        6315 Cleaning supervisors,685,36268,37480,
        6316 Other services supervisors,1185,38970,41081,
      632 Chefs and cooks,25240,23045,25666,
        6321 Chefs,8340,28650,32647,
        6322 Cooks,16905,20338,22221,
      633 Butchers and bakers,4775,26071,28868,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",1155,33039,34793,
        6332 Bakers,3620,24126,26981,
      634 Specialized occupations in personal and customer services,9670,19362,23702,
        6341 Hairstylists and barbers,6925,17799,22219,
"        6342 Tailors, dressmakers, furriers and milliners",1665,22482,23916,
        6343 Shoe repairers and shoemakers,145,17080,19838,
"        6344 Jewellers, jewellery and watch repairers and related occupations",440,20447,25186,
        6345 Upholsterers,295,33220,32054,
        6346 Funeral directors and embalmers,190,53021,61929,
    64 Sales representatives and salespersons - wholesale and retail trade,66535,19477,31381,
      641 Sales and account representatives - wholesale trade (non-technical),10880,49246,59612,
        6411 Sales and account representatives - wholesale trade (non-technical),10880,49246,59612,
      642 Retail salespersons,55660,16589,25862,
        6421 Retail salespersons,55655,16589,25862,
    65 Service representatives and other customer and personal services occupations,78665,19894,25978,
      651 Occupations in food and beverage service,29180,12004,14629,
        6511 Maîtres d'hôtel and hosts/hostesses,3385,5979,8202,
        6512 Bartenders,3190,16161,18195,
        6513 Food and beverage servers,22605,12339,15088,
      652 Occupations in travel and accommodation,9250,35868,37554,
        6521 Travel counsellors,3085,29085,31969,
        6522 Pursers and flight attendants,2365,51810,48782,
        6523 Airline ticket and service agents,1795,33966,36661,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",340,43651,39271,
        6525 Hotel front desk clerks,1665,32422,32543,
      653 Tourism and amusement services occupations,2640,29974,31834,
        6531 Tour and travel guides,545,14398,17976,
        6532 Outdoor sport and recreational guides,235,15378,18764,
        6533 Casino occupations,1860,37591,37567,
      654 Security guards and related security service occupations,10310,27372,30557,
        6541 Security guards and related security service occupations,10310,27372,30557,
      655 Customer and information services representatives,19765,34214,36573,
        6551 Customer services representatives - financial institutions,5115,29658,34164,
        6552 Other customer and information services representatives,14650,36172,37414,
      656 Other occupations in personal service,7520,15737,19601,
"        6561 Image, social and other personal consultants",250,21003,29733,
"        6562 Estheticians, electrologists and related occupations",5110,17161,20125,
        6563 Pet groomers and animal care workers,1800,13009,16808,
        6564 Other personal service occupations,355,11908,19106,
    66 Sales support occupations,37055,12343,17713,
      661 Cashiers,22565,10825,15337,
        6611 Cashiers,22570,10825,15337,
      662 Other sales support and related occupations,14490,15548,21414,
        6621 Service station attendants,645,13151,23075,
"        6622 Store shelf stockers, clerks and order fillers",11305,16506,21051,
        6623 Other sales related occupations,2535,12060,22610,
"    67 Service support and other service occupations, n.e.c.",69460,15668,21078,
"      671 Food counter attendants, kitchen helpers and related support occupations",31310,10159,14060,
