"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Trois-Rivières,,,,
Global non-response rate (GNR) =   3.8 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        2172 Database analysts and data administrators,40,53462,51984,
        2173 Software engineers and designers,15,0,0,
        2174 Computer programmers and interactive media developers,305,53328,55575,
        2175 Web designers and developers,50,24147,27317,
    22 Technical occupations related to natural and applied sciences,2555,49008,54297,
      221 Technical occupations in physical sciences,130,58449,64026,
        2211 Chemical technologists and technicians,80,80477,64286,
        2212 Geological and mineral technologists and technicians,55,58265,63661,
      222 Technical occupations in life sciences,240,34828,34923,
        2221 Biological technologists and technicians,55,23244,30882,
        2222 Agricultural and fish products inspectors,40,64795,58715,
        2223 Forestry technologists and technicians,35,40889,38636,
        2224 Conservation and fishery officers,15,0,0,
        2225 Landscape and horticulture technicians and specialists,90,15162,20424,
"      223 Technical occupations in civil, mechanical and industrial engineering",560,47013,52260,
        2231 Civil engineering technologists and technicians,265,44051,46525,
        2232 Mechanical engineering technologists and technicians,120,55661,62754,
        2233 Industrial engineering and manufacturing technologists and technicians,80,60071,66479,
        2234 Construction estimators,95,41187,43332,
      224 Technical occupations in electronics and electrical engineering,585,64555,67285,
        2241 Electrical and electronics engineering technologists and technicians,320,76574,76060,
        2242 Electronic service technicians (household and business equipment),170,42838,38542,
        2243 Industrial instrument technicians and mechanics,100,88896,87770,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",0,0,0,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",310,42031,40217,
        2251 Architectural technologists and technicians,70,36903,33879,
        2252 Industrial designers,30,51456,52831,
        2253 Drafting technologists and technicians,150,36632,34628,
        2254 Land survey technologists and technicians,30,44240,56905,
        2255 Technical occupations in geomatics and meteorology,25,0,51618,
      226 Other technical inspectors and regulatory officers,205,57438,57102,
        2261 Non-destructive testers and inspection technicians,30,0,0,
        2262 Engineering inspectors and regulatory officers,10,0,0,
        2263 Inspectors in public and environmental health and occupational health and safety,120,56129,59539,
        2264 Construction inspectors,50,67193,62960,
      227 Transportation officers and controllers,75,84463,109799,
"        2271 Air pilots, flight engineers and flying instructors",25,0,0,
        2272 Air traffic controllers and related occupations,0,0,0,
"        2273 Deck officers, water transport",30,0,132874,
"        2274 Engineer officers, water transport",15,0,0,
        2275 Railway traffic controllers and marine traffic regulators,0,0,0,
      228 Technical occupations in computer and information systems,445,45274,47115,
        2281 Computer network technicians,300,47385,50179,
        2282 User support technicians,130,41918,39678,
        2283 Information systems testing technicians,10,0,0,
  3 Health occupations,6670,39766,49188,
    30 Professional occupations in nursing,1490,56488,55194,
      301 Professional occupations in nursing,1490,56488,55194,
        3011 Nursing co-ordinators and supervisors,85,76764,71387,
        3012 Registered nurses and registered psychiatric nurses,1405,55940,54226,
    31 Professional occupations in health (except nursing),1380,62886,87525,
"      311 Physicians, dentists and veterinarians",640,75512,111980,
        3111 Specialist physicians,245,83322,124600,
        3112 General practitioners and family physicians,275,74932,105531,
        3113 Dentists,60,117050,128497,
        3114 Veterinarians,60,75306,72634,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",105,40635,60501,
        3121 Optometrists,15,0,0,
        3122 Chiropractors,25,0,0,
        3124 Allied primary health practitioners,10,0,0,
        3125 Other professional occupations in health diagnosing and treating,55,45704,53850,
"      313 Pharmacists, dietitians and nutritionists",205,98548,101242,
        3131 Pharmacists,175,103179,106854,
        3132 Dietitians and nutritionists,30,48769,68310,
      314 Therapy and assessment professionals,430,55565,50910,
        3141 Audiologists and speech-language pathologists,60,59242,54833,
        3142 Physiotherapists,160,61259,59277,
        3143 Occupational therapists,115,56128,53192,
        3144 Other professional occupations in therapy and assessment,85,19677,29372,
    32 Technical occupations in health,1975,36590,37792,
      321 Medical technologists and technicians (except dental health),920,33676,36349,
        3211 Medical laboratory technologists,105,49088,45247,
        3212 Medical laboratory technicians and pathologists' assistants,60,51562,48364,
