"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Halifax,,,,
Global non-response rate (GNR) =   4.7 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        4211 Paralegal and related occupations,470,41628,43398,
        4212 Social and community service workers,1785,38610,37567,
        4214 Early childhood educators and assistants,1895,20965,21305,
        4215 Instructors of persons with disabilities,145,48438,48032,
        4216 Other instructors,365,12692,22431,
        4217 Other religious occupations,75,32689,33911,
    43 Occupations in front-line public protection services,5510,75090,73751,
      431 Occupations in front-line public protection services,5510,75090,73751,
        4311 Police officers (except commissioned),1010,99388,94888,
        4312 Firefighters,545,88088,84399,
        4313 Non-commissioned ranks of the Canadian Armed Forces,3955,70763,66874,
"    44 Care providers and educational, legal and public protection support occupations",4080,18671,23466,
      441 Home care providers and educational support occupations,3680,15315,19119,
        4411 Home child care providers,1030,8464,13340,
"        4412 Home support workers, housekeepers and related occupations",1085,21219,23623,
        4413 Elementary and secondary school teacher assistants,1560,18236,19814,
      442 Legal and public protection support occupations,400,64413,63371,
        4421 Sheriffs and bailiffs,110,56300,57238,
        4422 Correctional service officers,195,74041,70830,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",95,52881,55556,
"  5 Occupations in art, culture, recreation and sport",7420,15848,27708,
    51 Professional occupations in art and culture,2615,24032,35327,
"      511 Librarians, archivists, conservators and curators",260,62731,61879,
        5111 Librarians,190,65835,68270,
        5112 Conservators and curators,45,52890,49562,
        5113 Archivists,25,0,0,
"      512 Writing, translating and related communications professionals",905,35745,39619,
        5121 Authors and writers,345,30976,38918,
        5122 Editors,205,37143,36249,
        5123 Journalists,200,46395,45247,
"        5125 Translators, terminologists and interpreters",150,33378,38317,
      513 Creative and performing artists,1445,14562,27851,
"        5131 Producers, directors, choreographers and related occupations",345,44610,45473,
"        5132 Conductors, composers and arrangers",60,24648,37740,
        5133 Musicians and singers,515,14815,26124,
        5134 Dancers,110,9253,11421,
        5135 Actors and comedians,105,5898,9275,
"        5136 Painters, sculptors and other visual artists",310,9624,21555,
"    52 Technical occupations in art, culture, recreation and sport",4810,12490,23566,
"      521 Technical occupations in libraries, public archives, museums and art galleries",380,27571,25446,
        5211 Library and public archive technicians,175,36123,33476,
        5212 Technical occupations related to museums and art galleries,205,11105,18644,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",840,30201,35839,
        5221 Photographers,185,14494,26217,
        5222 Film and video camera operators,135,27349,35272,
        5223 Graphic arts technicians,50,31727,35563,
        5224 Broadcast technicians,35,61767,51574,
        5225 Audio and video recording technicians,135,30612,39929,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",190,39153,44440,
