"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Hamilton,,,,
Global non-response rate (GNR) =   4.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        2171 Information systems analysts and consultants,2960,76879,77515,
        2172 Database analysts and data administrators,390,69904,65675,
        2173 Software engineers and designers,780,88016,88190,
        2174 Computer programmers and interactive media developers,1540,66673,66081,
        2175 Web designers and developers,535,38956,40207,
    22 Technical occupations related to natural and applied sciences,11545,57487,62641,
      221 Technical occupations in physical sciences,785,50692,55468,
        2211 Chemical technologists and technicians,700,48924,52485,
        2212 Geological and mineral technologists and technicians,85,78323,80261,
      222 Technical occupations in life sciences,800,42194,47026,
        2221 Biological technologists and technicians,140,38866,34633,
        2222 Agricultural and fish products inspectors,65,74148,71039,
        2223 Forestry technologists and technicians,30,0,37310,
        2224 Conservation and fishery officers,25,0,0,
        2225 Landscape and horticulture technicians and specialists,540,42793,47646,
"      223 Technical occupations in civil, mechanical and industrial engineering",2125,61932,62823,
        2231 Civil engineering technologists and technicians,450,52161,58281,
        2232 Mechanical engineering technologists and technicians,595,65468,68405,
        2233 Industrial engineering and manufacturing technologists and technicians,560,63611,60800,
        2234 Construction estimators,520,55756,62520,
      224 Technical occupations in electronics and electrical engineering,2440,52525,57341,
        2241 Electrical and electronics engineering technologists and technicians,1105,57486,63595,
        2242 Electronic service technicians (household and business equipment),1115,44941,47019,
        2243 Industrial instrument technicians and mechanics,140,80604,82542,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",75,73078,70556,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",995,47401,48155,
        2251 Architectural technologists and technicians,220,47013,47330,
        2252 Industrial designers,155,51079,52738,
        2253 Drafting technologists and technicians,510,47386,47408,
        2254 Land survey technologists and technicians,35,34201,42245,
        2255 Technical occupations in geomatics and meteorology,75,57152,49189,
      226 Other technical inspectors and regulatory officers,1380,69128,64510,
        2261 Non-destructive testers and inspection technicians,195,67585,67254,
