"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Ottawa - Gatineau (Ontario part / partie de l'Ontario),,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        2262 Engineering inspectors and regulatory officers,260,88257,81692,
        2263 Inspectors in public and environmental health and occupational health and safety,965,74617,69318,
        2264 Construction inspectors,355,53876,63267,
      227 Transportation officers and controllers,570,109048,109504,
"        2271 Air pilots, flight engineers and flying instructors",380,116717,110086,
        2272 Air traffic controllers and related occupations,110,114844,123235,
"        2273 Deck officers, water transport",40,76447,83187,
"        2274 Engineer officers, water transport",30,109096,109415,
        2275 Railway traffic controllers and marine traffic regulators,10,0,0,
      228 Technical occupations in computer and information systems,6870,65180,65283,
        2281 Computer network technicians,3280,67290,65823,
        2282 User support technicians,2400,64305,65182,
        2283 Information systems testing technicians,1185,63037,63993,
  3 Health occupations,34950,51905,62061,
    30 Professional occupations in nursing,8670,66430,63720,
      301 Professional occupations in nursing,8670,66430,63720,
        3011 Nursing co-ordinators and supervisors,415,73653,65902,
        3012 Registered nurses and registered psychiatric nurses,8255,66039,63610,
    31 Professional occupations in health (except nursing),9195,77201,98184,
"      311 Physicians, dentists and veterinarians",4905,94687,123826,
        3111 Specialist physicians,1820,104327,139543,
        3112 General practitioners and family physicians,2170,82024,113597,
        3113 Dentists,600,106110,128155,
        3114 Veterinarians,315,93074,95219,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",880,74442,75079,
        3121 Optometrists,155,90906,102438,
        3122 Chiropractors,225,60038,72156,
        3124 Allied primary health practitioners,375,84478,73411,
        3125 Other professional occupations in health diagnosing and treating,130,56704,53290,
"      313 Pharmacists, dietitians and nutritionists",1335,87018,81455,
        3131 Pharmacists,1005,97891,87567,
        3132 Dietitians and nutritionists,330,69822,62867,
      314 Therapy and assessment professionals,2065,58148,58055,
        3141 Audiologists and speech-language pathologists,420,60485,65840,
        3142 Physiotherapists,990,62458,59980,
        3143 Occupational therapists,430,60996,58360,
        3144 Other professional occupations in therapy and assessment,230,25846,35059,
    32 Technical occupations in health,9390,45250,47975,
      321 Medical technologists and technicians (except dental health),4320,46113,48460,
        3211 Medical laboratory technologists,685,71574,64485,
        3212 Medical laboratory technicians and pathologists' assistants,795,39449,41078,
        3213 Animal health technologists and veterinary technicians,485,31903,33121,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",305,72362,66891,
        3215 Medical radiation technologists,560,70670,64620,
        3216 Medical sonographers,175,79193,75115,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",75,53319,45274,
        3219 Other medical technologists and technicians (except dental health),1230,31447,34776,
      322 Technical occupations in dental health care,1170,48891,50638,
        3221 Denturists,30,0,0,
        3222 Dental hygienists and dental therapists,920,49631,50392,
"        3223 Dental technologists, technicians and laboratory assistants",220,47925,55359,
      323 Other technical occupations in health care,3900,42215,46639,
        3231 Opticians,285,55801,54763,
        3232 Practitioners of natural healing,130,20530,30830,
        3233 Licensed practical nurses,1305,48515,44817,
        3234 Paramedical occupations,805,86610,81288,
        3236 Massage therapists,945,26771,28772,
        3237 Other technical occupations in therapy and assessment,435,21983,26444,
    34 Assisting occupations in support of health services,7695,34196,34236,
      341 Assisting occupations in support of health services,7695,34196,34236,
        3411 Dental assistants,920,37634,36902,
"        3413 Nurse aides, orderlies and patient service associates",5825,33348,33626,
        3414 Other assisting occupations in support of health services,950,33619,35404,
"  4 Occupations in education, law and social, community and government services",87755,58161,63093,
    40 Professional occupations in education services,25755,54898,56917,
      401 University professors and post-secondary assistants,7270,17930,49655,
        4011 University professors and lecturers,3100,102601,92099,
        4012 Post-secondary teaching and research assistants,4170,10781,18051,
      402 College and other vocational instructors,2830,41518,49353,
        4021 College and other vocational instructors,2830,41518,49353,
      403 Secondary and elementary school teachers and educational counsellors,15650,67444,61659,
        4031 Secondary school teachers,5140,79765,68078,
        4032 Elementary school and kindergarten teachers,9715,62627,58761,
        4033 Educational counsellors,795,53646,55633,
"    41 Professional occupations in law and social, community and government services",34380,76185,83284,
"      411 Judges, lawyers and Quebec notaries",4725,109012,148465,
        4111 Judges,150,307783,266257,
        4112 Lawyers and Quebec notaries,4575,107467,144638,
      415 Social and community service professionals,4665,54097,55789,
        4151 Psychologists,1005,66167,68480,
        4152 Social workers,1620,58475,56875,
"        4153 Family, marriage and other related counsellors",775,44505,40768,
        4154 Professional occupations in religion,705,51989,52626,
        4155 Probation and parole officers and related occupations,155,75946,74582,
        4156 Employment counsellors,400,47410,46969,
"      416 Policy and program researchers, consultants and officers",24990,77449,76103,
"        4161 Natural and applied science policy researchers, consultants and program officers",3265,89187,84032,
        4162 Economists and economic policy researchers and analysts,3440,83199,84853,
        4163 Business development officers and marketing researchers and consultants,2845,60631,70870,
"        4164 Social policy researchers, consultants and program officers",5885,74324,72876,
"        4165 Health policy researchers, consultants and program officers",3175,76253,75817,
"        4166 Education policy researchers, consultants and program officers",1125,65037,62436,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",535,48279,51468,
        4168 Program officers unique to government,4185,82352,79310,
"        4169 Other professional occupations in social science, n.e.c.",540,70400,64885,
"    42 Paraprofessional occupations in legal, social, community and education services",11835,31309,33584,
"      421 Paraprofessional occupations in legal, social, community and education services",11835,31309,33584,
        4211 Paralegal and related occupations,1300,54381,55550,
        4212 Social and community service workers,3525,44098,42589,
        4214 Early childhood educators and assistants,5540,23932,25195,
        4215 Instructors of persons with disabilities,330,40042,37769,
        4216 Other instructors,955,11636,19046,
        4217 Other religious occupations,190,16204,26289,
    43 Occupations in front-line public protection services,6845,89856,86396,
      431 Occupations in front-line public protection services,6845,89856,86396,
        4311 Police officers (except commissioned),3075,103955,100626,
        4312 Firefighters,795,104033,98613,
        4313 Non-commissioned ranks of the Canadian Armed Forces,2970,70467,68396,
"    44 Care providers and educational, legal and public protection support occupations",8945,18981,24496,
      441 Home care providers and educational support occupations,8295,17373,21270,
        4411 Home child care providers,3550,13279,15768,
"        4412 Home support workers, housekeepers and related occupations",2010,21949,25455,
        4413 Elementary and secondary school teacher assistants,2740,25362,25319,
      442 Legal and public protection support occupations,645,71172,65930,
        4421 Sheriffs and bailiffs,15,0,0,
        4422 Correctional service officers,285,79471,74728,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",345,67395,59203,
"  5 Occupations in art, culture, recreation and sport",20155,20428,35019,
    51 Professional occupations in art and culture,8130,34887,44682,
"      511 Librarians, archivists, conservators and curators",890,69735,67399,
        5111 Librarians,575,72683,72725,
        5112 Conservators and curators,165,61438,60563,
        5113 Archivists,140,62205,53989,
"      512 Writing, translating and related communications professionals",4360,49369,49532,
        5121 Authors and writers,1695,47535,47366,
        5122 Editors,940,50281,48620,
        5123 Journalists,500,56342,61064,
"        5125 Translators, terminologists and interpreters",1225,49912,48520,
      513 Creative and performing artists,2885,12671,30354,
"        5131 Producers, directors, choreographers and related occupations",525,52970,84671,
"        5132 Conductors, composers and arrangers",115,15002,28136,
        5133 Musicians and singers,1250,11237,19240,
        5134 Dancers,310,9895,18314,
        5135 Actors and comedians,215,9296,19492,
"        5136 Painters, sculptors and other visual artists",475,3833,12620,
"    52 Technical occupations in art, culture, recreation and sport",12020,15478,28482,
"      521 Technical occupations in libraries, public archives, museums and art galleries",855,38939,36615,
        5211 Library and public archive technicians,495,42634,41519,
        5212 Technical occupations related to museums and art galleries,365,25936,30014,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",1570,28158,37556,
        5221 Photographers,445,14019,23417,
        5222 Film and video camera operators,220,25873,38734,
        5223 Graphic arts technicians,100,39286,44246,
        5224 Broadcast technicians,40,77607,84599,
        5225 Audio and video recording technicians,285,24859,32678,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",330,50442,59674,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",155,14191,22311,
"      523 Announcers and other performers, n.e.c.",320,26175,41116,
        5231 Announcers and other broadcasters,170,46689,59423,
"        5232 Other performers, n.e.c.",150,7894,20139,
      524 Creative designers and craftspersons,3385,35234,39411,
        5241 Graphic designers and illustrators,2035,41160,43258,
        5242 Interior designers and interior decorators,750,32772,35432,
"        5243 Theatre, fashion, exhibit and other creative designers",275,20204,32893,
        5244 Artisans and craftspersons,305,16814,29876,
"        5245 Patternmakers - textile, leather and fur products",15,0,0,
"      525 Athletes, coaches, referees and related occupations",5885,7396,17897,
        5251 Athletes,80,0,0,
        5252 Coaches,315,33697,35238,
        5253 Sports officials and referees,170,3282,15456,
"        5254 Program leaders and instructors in recreation, sport and fitness",5315,7019,13886,
  6 Sales and service occupations,113975,17098,26264,
    62 Retail sales supervisors and specialized sales occupations,10955,44372,61218,
      621 Retail sales supervisors,1910,24903,30055,
        6211 Retail sales supervisors,1910,24903,30055,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,3685,66791,85967,
        6221 Technical sales specialists - wholesale trade,2710,78738,96840,
        6222 Retail and wholesale buyers,980,30930,55852,
"      623 Insurance, real estate and financial sales occupations",5360,44944,55286,
        6231 Insurance agents and brokers,1475,51521,63419,
        6232 Real estate agents and salespersons,2430,34532,52230,
        6235 Financial sales representatives,1460,44726,52174,
    63 Service supervisors and specialized service occupations,14820,21508,25742,
      631 Service supervisors,2640,28817,36153,
        6311 Food service supervisors,1265,22673,24939,
        6312 Executive housekeepers,105,42867,44222,
"        6313 Accommodation, travel, tourism and related services supervisors",60,42571,40964,
        6314 Customer and information services supervisors,325,56655,57954,
        6315 Cleaning supervisors,305,35493,39971,
        6316 Other services supervisors,580,38984,44458,
      632 Chefs and cooks,7795,20202,23123,
        6321 Chefs,2145,28397,31155,
        6322 Cooks,5645,17601,20066,
      633 Butchers and bakers,1470,19041,21689,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",355,23553,25009,
        6332 Bakers,1115,17779,20634,
      634 Specialized occupations in personal and customer services,2910,20997,25365,
        6341 Hairstylists and barbers,2370,19867,23543,
"        6342 Tailors, dressmakers, furriers and milliners",290,22531,23886,
        6343 Shoe repairers and shoemakers,35,30793,36252,
"        6344 Jewellers, jewellery and watch repairers and related occupations",90,27976,27943,
        6345 Upholsterers,25,0,0,
        6346 Funeral directors and embalmers,105,62854,67155,
    64 Sales representatives and salespersons - wholesale and retail trade,21555,14899,25505,
      641 Sales and account representatives - wholesale trade (non-technical),2090,51461,63047,
        6411 Sales and account representatives - wholesale trade (non-technical),2090,51461,63047,
      642 Retail salespersons,19465,13433,21476,
        6421 Retail salespersons,19465,13433,21476,
    65 Service representatives and other customer and personal services occupations,25620,18696,25438,
      651 Occupations in food and beverage service,8615,11234,13390,
        6511 Maîtres d'hôtel and hosts/hostesses,1120,6399,7460,
        6512 Bartenders,1290,15035,16444,
        6513 Food and beverage servers,6210,11709,13821,
      652 Occupations in travel and accommodation,1790,32834,33997,
        6521 Travel counsellors,785,36548,36693,
        6522 Pursers and flight attendants,210,45481,41813,
        6523 Airline ticket and service agents,265,35831,40400,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",80,11702,21777,
        6525 Hotel front desk clerks,450,21564,24094,
      653 Tourism and amusement services occupations,250,12153,22144,
        6531 Tour and travel guides,130,8579,12221,
        6532 Outdoor sport and recreational guides,40,10275,14756,
        6533 Casino occupations,75,39271,42308,
      654 Security guards and related security service occupations,4620,31252,36152,
        6541 Security guards and related security service occupations,4620,31252,36152,
      655 Customer and information services representatives,8150,27085,31855,
        6551 Customer services representatives - financial institutions,1970,26127,28157,
        6552 Other customer and information services representatives,6180,28219,33032,
      656 Other occupations in personal service,2195,15627,19767,
"        6561 Image, social and other personal consultants",95,43172,43984,
"        6562 Estheticians, electrologists and related occupations",1400,17624,20312,
        6563 Pet groomers and animal care workers,675,11825,15801,
        6564 Other personal service occupations,35,0,0,
    66 Sales support occupations,15645,9295,13399,
      661 Cashiers,9755,8043,11155,
        6611 Cashiers,9760,8043,11155,
      662 Other sales support and related occupations,5885,13066,17123,
        6621 Service station attendants,310,15488,17699,
"        6622 Store shelf stockers, clerks and order fillers",4615,13201,16225,
        6623 Other sales related occupations,960,10555,21248,
"    67 Service support and other service occupations, n.e.c.",25385,15304,20889,
"      671 Food counter attendants, kitchen helpers and related support occupations",10580,9407,13082,
"        6711 Food counter attendants, kitchen helpers and related support occupations",10575,9407,13082,
"      672 Support occupations in accommodation, travel and amusement services",1220,5663,11612,
"        6721 Support occupations in accommodation, travel and facilities set-up services",175,7768,16207,
"        6722 Operators and attendants in amusement, recreation and sport",1045,5503,10861,
      673 Cleaners,12270,24385,28177,
        6731 Light duty cleaners,6380,20308,22436,
        6732 Specialized cleaners,880,19036,23668,
"        6733 Janitors, caretakers and building superintendents",5010,34602,36275,
"      674 Other service support and related occupations, n.e.c.",1315,18895,24293,
"        6741 Dry cleaning, laundry and related occupations",425,25449,27077,
"        6742 Other service support occupations, n.e.c.",890,14237,22964,
"  7 Trades, transport and equipment operators and related occupations",41430,37624,42630,
"    72 Industrial, electrical and construction trades",13455,41483,46088,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",1915,50068,55425,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",95,70688,71278,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",315,73829,81262,
"        7203 Contractors and supervisors, pipefitting trades",95,72067,72523,
"        7204 Contractors and supervisors, carpentry trades",455,37801,44167,
"        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",945,46151,48888,
