"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Sherbrooke,,,,
Global non-response rate (GNR) =   4.2 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        2283 Information systems testing technicians,35,42552,42887,
  3 Health occupations,10055,42821,55197,
    30 Professional occupations in nursing,2440,54927,54655,
      301 Professional occupations in nursing,2440,54927,54655,
        3011 Nursing co-ordinators and supervisors,180,74397,70928,
        3012 Registered nurses and registered psychiatric nurses,2260,53556,53348,
    31 Professional occupations in health (except nursing),2400,66279,101963,
"      311 Physicians, dentists and veterinarians",1270,89227,135640,
        3111 Specialist physicians,560,114713,175892,
        3112 General practitioners and family physicians,560,69744,97475,
        3113 Dentists,105,113965,162652,
        3114 Veterinarians,40,64146,50543,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",145,40104,52556,
        3121 Optometrists,35,62836,87166,
        3122 Chiropractors,20,0,0,
        3124 Allied primary health practitioners,15,0,0,
        3125 Other professional occupations in health diagnosing and treating,70,22591,29841,
"      313 Pharmacists, dietitians and nutritionists",355,96411,108344,
        3131 Pharmacists,275,106524,123872,
        3132 Dietitians and nutritionists,75,58218,49902,
      314 Therapy and assessment professionals,635,41542,42319,
        3141 Audiologists and speech-language pathologists,85,54782,50395,
        3142 Physiotherapists,245,54525,51032,
        3143 Occupational therapists,155,50956,45481,
        3144 Other professional occupations in therapy and assessment,145,14156,19617,
    32 Technical occupations in health,2935,40424,38388,
      321 Medical technologists and technicians (except dental health),1530,41555,39330,
        3211 Medical laboratory technologists,175,51778,47233,
        3212 Medical laboratory technicians and pathologists' assistants,205,49268,42729,
        3213 Animal health technologists and veterinary technicians,165,27819,35014,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",200,54986,53483,
        3215 Medical radiation technologists,245,53340,52866,
        3216 Medical sonographers,10,0,0,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",35,46633,46057,
        3219 Other medical technologists and technicians (except dental health),500,24006,23903,
      322 Technical occupations in dental health care,170,43749,49676,
        3221 Denturists,15,0,0,
        3222 Dental hygienists and dental therapists,135,43206,43508,
"        3223 Dental technologists, technicians and laboratory assistants",20,0,0,
      323 Other technical occupations in health care,1235,37686,35677,
        3231 Opticians,60,40668,33457,
        3232 Practitioners of natural healing,30,0,0,
        3233 Licensed practical nurses,710,42806,39431,
        3234 Paramedical occupations,135,59847,59059,
        3236 Massage therapists,225,11173,11845,
        3237 Other technical occupations in therapy and assessment,75,37121,39049,
    34 Assisting occupations in support of health services,2280,28216,28204,
      341 Assisting occupations in support of health services,2280,28216,28204,
        3411 Dental assistants,125,28630,26282,
"        3413 Nurse aides, orderlies and patient service associates",1950,28212,28182,
        3414 Other assisting occupations in support of health services,210,27963,29552,
"  4 Occupations in education, law and social, community and government services",15335,41134,46464,
    40 Professional occupations in education services,6385,57007,55862,
      401 University professors and post-secondary assistants,1975,46768,61470,
        4011 University professors and lecturers,1015,102420,96894,
        4012 Post-secondary teaching and research assistants,960,9713,23933,
      402 College and other vocational instructors,920,58978,55354,
        4021 College and other vocational instructors,920,58978,55354,
      403 Secondary and elementary school teachers and educational counsellors,3490,58936,52820,
        4031 Secondary school teachers,1440,62881,56615,
        4032 Elementary school and kindergarten teachers,1745,55093,49486,
        4033 Educational counsellors,305,58023,53978,
"    41 Professional occupations in law and social, community and government services",2810,52573,55206,
"      411 Judges, lawyers and Quebec notaries",560,61131,79499,
        4111 Judges,45,241513,198738,
