"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Kitchener - Cambridge - Waterloo,,,,
Global non-response rate (GNR) =   4.4 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        2147 Computer engineers (except software engineers and designers),430,91239,103390,
"        2148 Other professional engineers, n.e.c.",65,73380,64656,
"      215 Architects, urban planners and land surveyors",520,61018,65280,
        2151 Architects,150,55721,64236,
        2152 Landscape architects,30,51662,50437,
        2153 Urban and land use planners,270,68487,70980,
        2154 Land surveyors,65,54586,51455,
"      216 Mathematicians, statisticians and actuaries",520,75626,110533,
"        2161 Mathematicians, statisticians and actuaries",520,75626,110533,
      217 Computer and information systems professionals,8985,76305,80265,
        2171 Information systems analysts and consultants,2765,76408,76735,
        2172 Database analysts and data administrators,470,60042,66143,
        2173 Software engineers and designers,1910,86260,104581,
        2174 Computer programmers and interactive media developers,3335,77159,76891,
        2175 Web designers and developers,510,42997,43279,
    22 Technical occupations related to natural and applied sciences,9340,56012,58498,
      221 Technical occupations in physical sciences,545,41138,42217,
        2211 Chemical technologists and technicians,485,41052,42506,
        2212 Geological and mineral technologists and technicians,60,50258,39823,
      222 Technical occupations in life sciences,495,37567,41492,
        2221 Biological technologists and technicians,155,30367,37748,
        2222 Agricultural and fish products inspectors,75,60785,63542,
        2223 Forestry technologists and technicians,15,0,0,
        2224 Conservation and fishery officers,10,0,0,
        2225 Landscape and horticulture technicians and specialists,240,30587,34840,
"      223 Technical occupations in civil, mechanical and industrial engineering",2070,59162,61114,
        2231 Civil engineering technologists and technicians,365,57475,54994,
        2232 Mechanical engineering technologists and technicians,675,61541,64016,
        2233 Industrial engineering and manufacturing technologists and technicians,695,55604,58375,
        2234 Construction estimators,335,63763,67651,
      224 Technical occupations in electronics and electrical engineering,1860,51879,53707,
        2241 Electrical and electronics engineering technologists and technicians,815,54589,56331,
        2242 Electronic service technicians (household and business equipment),885,50054,50805,
        2243 Industrial instrument technicians and mechanics,60,50424,49134,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",90,65362,61315,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",910,53037,54400,
        2251 Architectural technologists and technicians,160,45366,48850,
        2252 Industrial designers,190,65131,65672,
        2253 Drafting technologists and technicians,435,54437,54540,
        2254 Land survey technologists and technicians,10,0,0,
        2255 Technical occupations in geomatics and meteorology,110,55839,45582,
      226 Other technical inspectors and regulatory officers,865,62623,64080,
        2261 Non-destructive testers and inspection technicians,125,71802,74785,
        2262 Engineering inspectors and regulatory officers,95,58321,66467,
        2263 Inspectors in public and environmental health and occupational health and safety,430,63418,61511,
        2264 Construction inspectors,215,54704,61916,
      227 Transportation officers and controllers,285,81755,97472,
"        2271 Air pilots, flight engineers and flying instructors",225,72483,91637,
        2272 Air traffic controllers and related occupations,45,128293,134132,
"        2273 Deck officers, water transport",15,0,0,
"        2274 Engineer officers, water transport",0,0,0,
        2275 Railway traffic controllers and marine traffic regulators,0,0,0,
      228 Technical occupations in computer and information systems,2320,61628,62179,
        2281 Computer network technicians,1065,67146,65649,
        2282 User support technicians,855,51455,55598,
        2283 Information systems testing technicians,400,68489,67068,
  3 Health occupations,15820,42682,53553,
    30 Professional occupations in nursing,3720,66273,63457,
      301 Professional occupations in nursing,3715,66273,63457,
