"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Peterborough,,,,
Global non-response rate (GNR) =   4.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        2273 Deck officers, water transport",0,0,0,
"        2274 Engineer officers, water transport",0,0,0,
        2275 Railway traffic controllers and marine traffic regulators,0,0,0,
      228 Technical occupations in computer and information systems,500,34884,45194,
        2281 Computer network technicians,260,51768,52153,
        2282 User support technicians,230,29742,35691,
        2283 Information systems testing technicians,20,0,0,
  3 Health occupations,4995,46205,56931,
    30 Professional occupations in nursing,1370,68362,63522,
      301 Professional occupations in nursing,1370,68362,63522,
        3011 Nursing co-ordinators and supervisors,105,75969,67148,
        3012 Registered nurses and registered psychiatric nurses,1265,66857,63225,
    31 Professional occupations in health (except nursing),830,94372,105972,
"      311 Physicians, dentists and veterinarians",375,135361,146400,
        3111 Specialist physicians,155,141103,160937,
        3112 General practitioners and family physicians,130,139681,154562,
        3113 Dentists,50,119844,138634,
        3114 Veterinarians,40,74753,69577,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",115,91000,89012,
        3121 Optometrists,15,0,0,
        3122 Chiropractors,50,79391,73451,
        3124 Allied primary health practitioners,30,100906,93690,
        3125 Other professional occupations in health diagnosing and treating,10,0,0,
"      313 Pharmacists, dietitians and nutritionists",135,80889,80595,
        3131 Pharmacists,105,102272,88571,
        3132 Dietitians and nutritionists,25,60709,51547,
      314 Therapy and assessment professionals,210,52234,58134,
        3141 Audiologists and speech-language pathologists,50,65152,71352,
        3142 Physiotherapists,110,50912,56098,
        3143 Occupational therapists,35,52217,58250,
        3144 Other professional occupations in therapy and assessment,20,0,0,
    32 Technical occupations in health,1525,45345,46764,
      321 Medical technologists and technicians (except dental health),585,44232,48122,
        3211 Medical laboratory technologists,90,67499,62034,
        3212 Medical laboratory technicians and pathologists' assistants,65,44105,41518,
        3213 Animal health technologists and veterinary technicians,100,31376,32436,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",30,0,75030,
        3215 Medical radiation technologists,60,70121,69618,
        3216 Medical sonographers,20,0,0,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",10,0,0,
        3219 Other medical technologists and technicians (except dental health),210,36673,38705,
      322 Technical occupations in dental health care,120,54082,52736,
        3221 Denturists,10,0,0,
        3222 Dental hygienists and dental therapists,110,54252,53495,
