"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Regina,,,,
Global non-response rate (GNR) =   5.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        2223 Forestry technologists and technicians,15,0,0,
        2224 Conservation and fishery officers,45,60272,60130,
        2225 Landscape and horticulture technicians and specialists,70,38523,35313,
"      223 Technical occupations in civil, mechanical and industrial engineering",570,66492,70348,
        2231 Civil engineering technologists and technicians,270,65156,64147,
        2232 Mechanical engineering technologists and technicians,90,69453,89951,
        2233 Industrial engineering and manufacturing technologists and technicians,50,55162,69259,
        2234 Construction estimators,170,69183,69902,
      224 Technical occupations in electronics and electrical engineering,995,65355,70203,
        2241 Electrical and electronics engineering technologists and technicians,365,77567,77286,
        2242 Electronic service technicians (household and business equipment),505,55236,54317,
        2243 Industrial instrument technicians and mechanics,115,117823,118093,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",10,0,0,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",580,66015,70893,
        2251 Architectural technologists and technicians,90,58928,76275,
        2252 Industrial designers,40,66397,73383,
        2253 Drafting technologists and technicians,290,64681,69166,
        2254 Land survey technologists and technicians,30,49132,59123,
        2255 Technical occupations in geomatics and meteorology,130,78004,72898,
      226 Other technical inspectors and regulatory officers,700,79847,82298,
        2261 Non-destructive testers and inspection technicians,130,92263,97166,
        2262 Engineering inspectors and regulatory officers,65,80793,82768,
        2263 Inspectors in public and environmental health and occupational health and safety,335,78444,75506,
        2264 Construction inspectors,170,64075,84059,
      227 Transportation officers and controllers,60,95005,90940,
"        2271 Air pilots, flight engineers and flying instructors",45,55158,86965,
        2272 Air traffic controllers and related occupations,15,0,0,
"        2273 Deck officers, water transport",0,0,0,
"        2274 Engineer officers, water transport",0,0,0,
        2275 Railway traffic controllers and marine traffic regulators,0,0,0,
      228 Technical occupations in computer and information systems,1110,68567,64401,
        2281 Computer network technicians,675,72259,66975,
        2282 User support technicians,370,60679,60460,
        2283 Information systems testing technicians,60,60139,59779,
  3 Health occupations,9645,58610,68965,
    30 Professional occupations in nursing,3015,83988,78154,
      301 Professional occupations in nursing,3010,83988,78154,
        3011 Nursing co-ordinators and supervisors,100,97704,97522,
        3012 Registered nurses and registered psychiatric nurses,2915,83029,77488,
    31 Professional occupations in health (except nursing),1770,82366,110164,
"      311 Physicians, dentists and veterinarians",745,120274,162380,
        3111 Specialist physicians,305,142141,201537,
        3112 General practitioners and family physicians,290,85170,146121,
        3113 Dentists,95,124138,131629,
        3114 Veterinarians,60,96675,89614,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",140,69261,75491,
        3121 Optometrists,55,79890,78029,
        3122 Chiropractors,55,46987,60788,
        3124 Allied primary health practitioners,30,112683,100401,
        3125 Other professional occupations in health diagnosing and treating,0,0,0,
"      313 Pharmacists, dietitians and nutritionists",435,91413,81737,
        3131 Pharmacists,330,104678,90306,
        3132 Dietitians and nutritionists,100,48059,54557,
      314 Therapy and assessment professionals,455,69240,62320,
        3141 Audiologists and speech-language pathologists,125,61140,58383,
        3142 Physiotherapists,170,72816,70466,
        3143 Occupational therapists,90,77860,67864,
        3144 Other professional occupations in therapy and assessment,65,46399,41912,
    32 Technical occupations in health,2575,58261,57731,
      321 Medical technologists and technicians (except dental health),1230,59351,59971,
        3211 Medical laboratory technologists,250,73630,67919,
        3212 Medical laboratory technicians and pathologists' assistants,215,44995,44500,
        3213 Animal health technologists and veterinary technicians,65,33415,27505,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",90,81802,85155,
        3215 Medical radiation technologists,240,80599,82551,
        3216 Medical sonographers,65,100526,92224,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",40,67228,61245,
        3219 Other medical technologists and technicians (except dental health),270,36147,36409,
      322 Technical occupations in dental health care,200,61784,63048,
        3221 Denturists,10,0,0,
        3222 Dental hygienists and dental therapists,165,63628,65692,
"        3223 Dental technologists, technicians and laboratory assistants",30,0,53257,
      323 Other technical occupations in health care,1145,54817,54395,
        3231 Opticians,85,53506,47549,
        3232 Practitioners of natural healing,40,22119,22209,
        3233 Licensed practical nurses,575,75362,65540,
        3234 Paramedical occupations,140,78525,67785,
        3236 Massage therapists,235,31654,29925,
        3237 Other technical occupations in therapy and assessment,70,48654,44297,
    34 Assisting occupations in support of health services,2280,39397,37557,
      341 Assisting occupations in support of health services,2280,39397,37557,
        3411 Dental assistants,265,41897,37770,
"        3413 Nurse aides, orderlies and patient service associates",1785,39053,37328,
        3414 Other assisting occupations in support of health services,240,42210,39034,
"  4 Occupations in education, law and social, community and government services",15630,53648,59146,
    40 Professional occupations in education services,4740,70074,66763,
      401 University professors and post-secondary assistants,1035,71676,73728,
        4011 University professors and lecturers,725,97491,97131,
        4012 Post-secondary teaching and research assistants,310,12366,19238,
      402 College and other vocational instructors,525,65984,63562,
        4021 College and other vocational instructors,525,65984,63562,
      403 Secondary and elementary school teachers and educational counsellors,3180,70213,65029,
        4031 Secondary school teachers,1045,76605,68235,
        4032 Elementary school and kindergarten teachers,1990,67739,63586,
        4033 Educational counsellors,145,62694,61704,
"    41 Professional occupations in law and social, community and government services",4095,70136,77732,
"      411 Judges, lawyers and Quebec notaries",630,122991,142148,
        4111 Judges,45,305467,228735,
        4112 Lawyers and Quebec notaries,590,121465,135623,
      415 Social and community service professionals,1435,58789,57447,
        4151 Psychologists,140,80947,76811,
        4152 Social workers,635,62677,60511,
"        4153 Family, marriage and other related counsellors",180,58378,54634,
        4154 Professional occupations in religion,290,45940,45540,
        4155 Probation and parole officers and related occupations,75,63796,59423,
        4156 Employment counsellors,110,47858,49814,
"      416 Policy and program researchers, consultants and officers",2030,73244,72071,
"        4161 Natural and applied science policy researchers, consultants and program officers",160,78264,74746,
        4162 Economists and economic policy researchers and analysts,190,88096,89103,
        4163 Business development officers and marketing researchers and consultants,335,70048,71989,
"        4164 Social policy researchers, consultants and program officers",440,75227,72312,
"        4165 Health policy researchers, consultants and program officers",300,76328,71770,
"        4166 Education policy researchers, consultants and program officers",215,79333,75961,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",120,48832,48306,
        4168 Program officers unique to government,220,65535,64669,
"        4169 Other professional occupations in social science, n.e.c.",60,67662,71269,
"    42 Paraprofessional occupations in legal, social, community and education services",2835,29808,32279,
"      421 Paraprofessional occupations in legal, social, community and education services",2840,29808,32279,
        4211 Paralegal and related occupations,110,40686,43250,
        4212 Social and community service workers,1285,35411,37883,
        4214 Early childhood educators and assistants,1125,23104,23647,
        4215 Instructors of persons with disabilities,65,29855,29366,
        4216 Other instructors,195,37666,40784,
        4217 Other religious occupations,60,27359,29830,
    43 Occupations in front-line public protection services,1240,101838,92880,
      431 Occupations in front-line public protection services,1245,101838,92880,
        4311 Police officers (except commissioned),825,103043,96985,
        4312 Firefighters,280,105165,104173,
        4313 Non-commissioned ranks of the Canadian Armed Forces,130,29003,41783,
"    44 Care providers and educational, legal and public protection support occupations",2720,25506,30492,
      441 Home care providers and educational support occupations,2255,20183,22989,
        4411 Home child care providers,910,13200,16101,
"        4412 Home support workers, housekeepers and related occupations",500,28569,31764,
        4413 Elementary and secondary school teacher assistants,850,27362,25239,
      442 Legal and public protection support occupations,465,68447,67065,
        4421 Sheriffs and bailiffs,55,54518,53898,
        4422 Correctional service officers,360,70928,71043,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",45,52078,51718,
"  5 Occupations in art, culture, recreation and sport",3295,22096,32090,
    51 Professional occupations in art and culture,1240,22943,32995,
"      511 Librarians, archivists, conservators and curators",130,66343,68296,
        5111 Librarians,70,71113,75437,
        5112 Conservators and curators,15,0,0,
        5113 Archivists,40,53668,51798,
"      512 Writing, translating and related communications professionals",420,33497,36085,
        5121 Authors and writers,165,15708,26749,
        5122 Editors,55,25540,39085,
        5123 Journalists,125,50781,47608,
"        5125 Translators, terminologists and interpreters",70,26472,34406,
      513 Creative and performing artists,690,10197,24429,
"        5131 Producers, directors, choreographers and related occupations",155,45380,50372,
"        5132 Conductors, composers and arrangers",30,0,0,
        5133 Musicians and singers,235,6690,14751,
        5134 Dancers,105,10003,19875,
        5135 Actors and comedians,50,0,0,
"        5136 Painters, sculptors and other visual artists",120,9122,21483,
"    52 Technical occupations in art, culture, recreation and sport",2060,22067,31545,
