"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Greater Sudbury / Grand Sudbury,,,,
Global non-response rate (GNR) =   5.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        2221 Biological technologists and technicians,30,0,53970,
        2222 Agricultural and fish products inspectors,10,0,0,
        2223 Forestry technologists and technicians,20,0,0,
        2224 Conservation and fishery officers,25,0,0,
        2225 Landscape and horticulture technicians and specialists,55,38179,37568,
"      223 Technical occupations in civil, mechanical and industrial engineering",410,57867,64170,
        2231 Civil engineering technologists and technicians,105,44923,50136,
        2232 Mechanical engineering technologists and technicians,85,99636,83810,
        2233 Industrial engineering and manufacturing technologists and technicians,60,45549,60349,
        2234 Construction estimators,160,57049,64510,
      224 Technical occupations in electronics and electrical engineering,615,58261,58520,
        2241 Electrical and electronics engineering technologists and technicians,195,64242,63114,
        2242 Electronic service technicians (household and business equipment),265,44063,42515,
        2243 Industrial instrument technicians and mechanics,135,88235,81612,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",15,0,0,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",255,49703,52802,
        2251 Architectural technologists and technicians,15,0,0,
        2252 Industrial designers,35,60973,64631,
        2253 Drafting technologists and technicians,150,49521,50951,
        2254 Land survey technologists and technicians,20,0,0,
        2255 Technical occupations in geomatics and meteorology,35,62082,57975,
      226 Other technical inspectors and regulatory officers,425,62350,63018,
        2261 Non-destructive testers and inspection technicians,30,0,0,
        2262 Engineering inspectors and regulatory officers,10,0,0,
        2263 Inspectors in public and environmental health and occupational health and safety,280,64101,64751,
        2264 Construction inspectors,100,62305,61659,
      227 Transportation officers and controllers,55,83154,79337,
"        2271 Air pilots, flight engineers and flying instructors",15,0,0,
        2272 Air traffic controllers and related occupations,10,0,0,
"        2273 Deck officers, water transport",0,0,0,
"        2274 Engineer officers, water transport",0,0,0,
        2275 Railway traffic controllers and marine traffic regulators,25,0,87408,
      228 Technical occupations in computer and information systems,380,60658,58945,
        2281 Computer network technicians,245,63110,60580,
        2282 User support technicians,120,57428,56505,
        2283 Information systems testing technicians,0,0,0,
  3 Health occupations,7345,49356,59369,
    30 Professional occupations in nursing,2055,71131,66556,
      301 Professional occupations in nursing,2050,71131,66556,
        3011 Nursing co-ordinators and supervisors,145,72925,69256,
        3012 Registered nurses and registered psychiatric nurses,1910,70881,66353,
    31 Professional occupations in health (except nursing),1190,82910,109402,
"      311 Physicians, dentists and veterinarians",530,117161,143060,
        3111 Specialist physicians,250,138594,177786,
        3112 General practitioners and family physicians,190,65848,112595,
        3113 Dentists,55,140111,151658,
        3114 Veterinarians,40,75487,64340,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",130,82892,80120,
        3121 Optometrists,25,88915,105917,
        3122 Chiropractors,20,0,0,
        3124 Allied primary health practitioners,65,81645,74460,
        3125 Other professional occupations in health diagnosing and treating,15,0,0,
"      313 Pharmacists, dietitians and nutritionists",270,114260,99428,
        3131 Pharmacists,200,124141,113354,
        3132 Dietitians and nutritionists,65,68111,56378,
      314 Therapy and assessment professionals,265,70730,65640,
        3141 Audiologists and speech-language pathologists,40,88078,91775,
        3142 Physiotherapists,100,68648,67891,
        3143 Occupational therapists,75,71012,62573,
        3144 Other professional occupations in therapy and assessment,50,41470,44511,
    32 Technical occupations in health,2070,46379,49322,
      321 Medical technologists and technicians (except dental health),960,46371,50761,
        3211 Medical laboratory technologists,110,78366,66121,
        3212 Medical laboratory technicians and pathologists' assistants,150,44475,41083,
        3213 Animal health technologists and veterinary technicians,40,32636,37490,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",75,83155,81226,
        3215 Medical radiation technologists,135,73407,64696,
        3216 Medical sonographers,70,62316,59824,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",0,0,0,
        3219 Other medical technologists and technicians (except dental health),375,37189,38798,
      322 Technical occupations in dental health care,180,44067,46900,
        3221 Denturists,15,0,0,
        3222 Dental hygienists and dental therapists,155,44267,46546,
"        3223 Dental technologists, technicians and laboratory assistants",10,0,0,
      323 Other technical occupations in health care,930,46997,48298,
        3231 Opticians,25,0,0,
        3232 Practitioners of natural healing,35,18456,20308,
        3233 Licensed practical nurses,445,41821,41575,
        3234 Paramedical occupations,235,84743,79722,
        3236 Massage therapists,125,37226,35249,
        3237 Other technical occupations in therapy and assessment,70,19161,23934,
    34 Assisting occupations in support of health services,2035,32714,33084,
      341 Assisting occupations in support of health services,2030,32714,33084,
        3411 Dental assistants,140,33518,34648,
"        3413 Nurse aides, orderlies and patient service associates",1700,32274,32499,
        3414 Other assisting occupations in support of health services,185,35072,37245,
"  4 Occupations in education, law and social, community and government services",10170,46514,55374,
    40 Professional occupations in education services,3880,70149,64645,
      401 University professors and post-secondary assistants,745,34458,62239,
        4011 University professors and lecturers,440,103024,93022,
        4012 Post-secondary teaching and research assistants,305,8765,18121,
      402 College and other vocational instructors,550,74565,69317,
        4021 College and other vocational instructors,550,74565,69317,
      403 Secondary and elementary school teachers and educational counsellors,2585,74814,64344,
        4031 Secondary school teachers,930,81396,69804,
        4032 Elementary school and kindergarten teachers,1515,71372,62204,
        4033 Educational counsellors,135,44912,50932,
"    41 Professional occupations in law and social, community and government services",1995,63560,71809,
"      411 Judges, lawyers and Quebec notaries",205,129802,176302,
        4111 Judges,0,0,0,
        4112 Lawyers and Quebec notaries,200,127271,171695,
      415 Social and community service professionals,870,54209,55631,
        4151 Psychologists,80,67762,69565,
        4152 Social workers,430,60717,59043,
"        4153 Family, marriage and other related counsellors",85,48496,45941,
        4154 Professional occupations in religion,115,44707,44090,
        4155 Probation and parole officers and related occupations,20,0,0,
        4156 Employment counsellors,130,49008,48707,
"      416 Policy and program researchers, consultants and officers",920,64958,63719,
"        4161 Natural and applied science policy researchers, consultants and program officers",150,82077,81029,
        4162 Economists and economic policy researchers and analysts,45,67435,72721,
        4163 Business development officers and marketing researchers and consultants,170,53998,63565,
"        4164 Social policy researchers, consultants and program officers",105,68427,72656,
"        4165 Health policy researchers, consultants and program officers",145,57624,55138,
"        4166 Education policy researchers, consultants and program officers",150,72826,65516,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",50,57189,54417,
        4168 Program officers unique to government,90,32205,36935,
"        4169 Other professional occupations in social science, n.e.c.",20,0,0,
"    42 Paraprofessional occupations in legal, social, community and education services",2150,33109,34827,
"      421 Paraprofessional occupations in legal, social, community and education services",2145,33109,34827,
        4211 Paralegal and related occupations,80,37360,37424,
        4212 Social and community service workers,1125,41590,40863,
