"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Ontario [1],,,,
Global non-response rate (GNR) =   4.6 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
      151 Mail and message distribution occupations,34425,39673,38657,
"        1511 Mail, postal and related workers",13425,38733,38584,
        1512 Letter carriers,10960,55405,49000,
"        1513 Couriers, messengers and door-to-door distributors",10045,19918,27468,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",96645,39277,41985,
        1521 Shippers and receivers,43905,35726,37204,
        1522 Storekeepers and partspersons,11085,38942,40251,
        1523 Production logistics co-ordinators,10345,52615,57253,
        1524 Purchasing and inventory control workers,13295,38435,39031,
        1525 Dispatchers,15315,45153,47687,
        1526 Transportation route and crew schedulers,2700,47874,50531,
  2 Natural and applied sciences and related occupations,513360,67845,72328,
    21 Professional occupations in natural and applied sciences,316165,76418,80474,
      211 Physical science professionals,11020,71032,87136,
        2111 Physicists and astronomers,1305,95272,97382,
        2112 Chemists,6455,66105,69382,
        2113 Geoscientists and oceanographers,2330,79407,135297,
        2114 Meteorologists and climatologists,290,84939,77775,
        2115 Other professional occupations in physical sciences,630,74352,74054,
      212 Life science professionals,9020,62416,68841,
        2121 Biologists and related scientists,7250,64613,72013,
        2122 Forestry professionals,575,72538,72058,
"        2123 Agricultural representatives, consultants and specialists",1190,43341,47952,
"      213 Civil, mechanical, electrical and chemical engineers",69025,82707,89118,
        2131 Civil engineers,20775,77976,86603,
        2132 Mechanical engineers,23500,79938,86026,
        2133 Electrical and electronics engineers,20435,89471,94210,
        2134 Chemical engineers,4315,84479,93941,
      214 Other engineers,26255,85329,89793,
        2141 Industrial and manufacturing engineers,7690,76263,79468,
        2142 Metallurgical and materials engineers,925,92273,94412,
        2143 Mining engineers,1120,100927,114506,
        2144 Geological engineers,680,84189,94665,
        2145 Petroleum engineers,335,86255,99050,
        2146 Aerospace engineers,2525,87334,88744,
        2147 Computer engineers (except software engineers and designers),11315,91991,96362,
"        2148 Other professional engineers, n.e.c.",1670,69759,71369,
"      215 Architects, urban planners and land surveyors",14965,65008,75417,
        2151 Architects,6450,62539,77329,
        2152 Landscape architects,920,56245,62936,
        2153 Urban and land use planners,5550,70511,72031,
        2154 Land surveyors,2050,59583,84151,
"      216 Mathematicians, statisticians and actuaries",6635,81511,103070,
"        2161 Mathematicians, statisticians and actuaries",6640,81511,103070,
      217 Computer and information systems professionals,179240,74973,75542,
        2171 Information systems analysts and consultants,83700,76407,76892,
        2172 Database analysts and data administrators,10530,75435,76574,
        2173 Software engineers and designers,26005,86931,90338,
        2174 Computer programmers and interactive media developers,47440,74028,72470,
        2175 Web designers and developers,11570,40427,44160,
    22 Technical occupations related to natural and applied sciences,197200,55385,59268,
      221 Technical occupations in physical sciences,11725,50671,55319,
        2211 Chemical technologists and technicians,9695,49531,53703,
        2212 Geological and mineral technologists and technicians,2025,56128,63055,
      222 Technical occupations in life sciences,13390,35703,40714,
        2221 Biological technologists and technicians,3145,38974,41727,
        2222 Agricultural and fish products inspectors,1205,63441,58857,
        2223 Forestry technologists and technicians,1205,47576,46224,
        2224 Conservation and fishery officers,1015,46200,49051,
        2225 Landscape and horticulture technicians and specialists,6815,29743,34815,
"      223 Technical occupations in civil, mechanical and industrial engineering",32185,59154,62900,
        2231 Civil engineering technologists and technicians,6905,54527,57020,
        2232 Mechanical engineering technologists and technicians,9185,63756,65539,
        2233 Industrial engineering and manufacturing technologists and technicians,8355,56548,57508,
        2234 Construction estimators,7735,61405,70840,
      224 Technical occupations in electronics and electrical engineering,42070,49359,53663,
        2241 Electrical and electronics engineering technologists and technicians,16465,57174,61023,
        2242 Electronic service technicians (household and business equipment),21875,42732,44758,
        2243 Industrial instrument technicians and mechanics,1700,80400,80930,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",2030,69195,67086,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",19045,50342,52087,
        2251 Architectural technologists and technicians,4115,49064,50908,
        2252 Industrial designers,3490,53011,57804,
        2253 Drafting technologists and technicians,8025,47903,49926,
        2254 Land survey technologists and technicians,840,35961,41076,
        2255 Technical occupations in geomatics and meteorology,2575,60546,56537,
      226 Other technical inspectors and regulatory officers,19695,67886,66618,
        2261 Non-destructive testers and inspection technicians,1695,67166,71438,
        2262 Engineering inspectors and regulatory officers,1815,69528,71119,
        2263 Inspectors in public and environmental health and occupational health and safety,10890,71132,68436,
        2264 Construction inspectors,5295,60672,59797,
      227 Transportation officers and controllers,8515,90272,104787,
"        2271 Air pilots, flight engineers and flying instructors",5595,97445,111807,
        2272 Air traffic controllers and related occupations,1230,102797,113146,
"        2273 Deck officers, water transport",840,65301,73458,
"        2274 Engineer officers, water transport",310,85354,85116,
        2275 Railway traffic controllers and marine traffic regulators,540,78394,73138,
      228 Technical occupations in computer and information systems,50575,58443,59625,
        2281 Computer network technicians,26680,62051,61996,
        2282 User support technicians,18865,53522,56694,
        2283 Information systems testing technicians,5030,59433,58043,
  3 Health occupations,447265,47925,58613,
    30 Professional occupations in nursing,112255,69478,66769,
      301 Professional occupations in nursing,112255,69478,66769,
        3011 Nursing co-ordinators and supervisors,6455,72929,66789,
        3012 Registered nurses and registered psychiatric nurses,105800,69339,66768,
    31 Professional occupations in health (except nursing),99345,73288,93496,
"      311 Physicians, dentists and veterinarians",48225,90037,123398,
        3111 Specialist physicians,16155,110718,146496,
        3112 General practitioners and family physicians,20475,86165,117677,
