"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Belleville,,,,
Global non-response rate (GNR) =   4.8 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        1511 Mail, postal and related workers",80,42643,42846,
        1512 Letter carriers,95,50649,47381,
"        1513 Couriers, messengers and door-to-door distributors",120,20671,27859,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",710,42218,40848,
        1521 Shippers and receivers,325,37132,36410,
        1522 Storekeepers and partspersons,90,46726,44349,
        1523 Production logistics co-ordinators,70,56250,54463,
        1524 Purchasing and inventory control workers,105,43353,37329,
        1525 Dispatchers,105,43352,41814,
        1526 Transportation route and crew schedulers,15,0,0,
  2 Natural and applied sciences and related occupations,2505,57751,59125,
    21 Professional occupations in natural and applied sciences,850,61500,68761,
      211 Physical science professionals,15,0,0,
        2111 Physicists and astronomers,0,0,0,
        2112 Chemists,10,0,0,
        2113 Geoscientists and oceanographers,10,0,0,
        2114 Meteorologists and climatologists,0,0,0,
        2115 Other professional occupations in physical sciences,0,0,0,
      212 Life science professionals,50,60060,70735,
        2121 Biologists and related scientists,30,0,88581,
        2122 Forestry professionals,10,0,0,
"        2123 Agricultural representatives, consultants and specialists",10,0,0,
"      213 Civil, mechanical, electrical and chemical engineers",270,75786,84155,
        2131 Civil engineers,140,78595,95624,
        2132 Mechanical engineers,65,75255,74478,
        2133 Electrical and electronics engineers,50,59022,57496,
        2134 Chemical engineers,20,0,0,
      214 Other engineers,100,74167,73576,
        2141 Industrial and manufacturing engineers,40,80937,73903,
        2142 Metallurgical and materials engineers,0,0,0,
        2143 Mining engineers,0,0,0,
        2144 Geological engineers,0,0,0,
        2145 Petroleum engineers,0,0,0,
        2146 Aerospace engineers,25,0,0,
        2147 Computer engineers (except software engineers and designers),20,0,0,
"        2148 Other professional engineers, n.e.c.",10,0,0,
"      215 Architects, urban planners and land surveyors",15,0,0,
        2151 Architects,0,0,0,
        2152 Landscape architects,0,0,0,
        2153 Urban and land use planners,10,0,0,
        2154 Land surveyors,0,0,0,
"      216 Mathematicians, statisticians and actuaries",0,0,0,
"        2161 Mathematicians, statisticians and actuaries",10,0,0,
      217 Computer and information systems professionals,385,54611,57479,
        2171 Information systems analysts and consultants,155,54016,53120,
        2172 Database analysts and data administrators,25,0,0,
        2173 Software engineers and designers,60,105939,97488,
        2174 Computer programmers and interactive media developers,95,58245,55317,
        2175 Web designers and developers,55,34653,34953,
    22 Technical occupations related to natural and applied sciences,1655,53641,54173,
      221 Technical occupations in physical sciences,65,49323,53264,
        2211 Chemical technologists and technicians,60,49195,52685,
        2212 Geological and mineral technologists and technicians,10,0,0,
      222 Technical occupations in life sciences,130,28252,31976,
        2221 Biological technologists and technicians,30,0,57796,
        2222 Agricultural and fish products inspectors,10,0,0,
        2223 Forestry technologists and technicians,0,0,0,
