"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Moncton,,,,
Global non-response rate (GNR) =   4.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        2171 Information systems analysts and consultants,685,64076,67622,
        2172 Database analysts and data administrators,65,67468,73786,
        2173 Software engineers and designers,135,80036,78215,
        2174 Computer programmers and interactive media developers,420,61050,61064,
        2175 Web designers and developers,60,50983,50076,
    22 Technical occupations related to natural and applied sciences,2505,50448,57928,
      221 Technical occupations in physical sciences,55,45981,50423,
        2211 Chemical technologists and technicians,45,57614,51149,
        2212 Geological and mineral technologists and technicians,10,0,0,
      222 Technical occupations in life sciences,175,55435,50532,
        2221 Biological technologists and technicians,50,57010,51760,
        2222 Agricultural and fish products inspectors,40,71158,79731,
        2223 Forestry technologists and technicians,20,0,0,
        2224 Conservation and fishery officers,25,0,0,
        2225 Landscape and horticulture technicians and specialists,35,23506,25331,
"      223 Technical occupations in civil, mechanical and industrial engineering",400,57526,55090,
        2231 Civil engineering technologists and technicians,190,53394,54395,
        2232 Mechanical engineering technologists and technicians,50,66997,70865,
        2233 Industrial engineering and manufacturing technologists and technicians,40,57496,44520,
        2234 Construction estimators,115,57576,53238,
      224 Technical occupations in electronics and electrical engineering,470,49885,53861,
        2241 Electrical and electronics engineering technologists and technicians,105,73811,67924,
        2242 Electronic service technicians (household and business equipment),345,47020,47790,
        2243 Industrial instrument technicians and mechanics,10,0,0,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",15,0,0,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",180,46061,48635,
        2251 Architectural technologists and technicians,10,0,0,
        2252 Industrial designers,10,0,0,
        2253 Drafting technologists and technicians,100,43648,48142,
        2254 Land survey technologists and technicians,20,0,0,
        2255 Technical occupations in geomatics and meteorology,45,43755,46328,
      226 Other technical inspectors and regulatory officers,240,58660,57395,
        2261 Non-destructive testers and inspection technicians,25,0,0,
        2262 Engineering inspectors and regulatory officers,70,71870,70112,
        2263 Inspectors in public and environmental health and occupational health and safety,105,69195,65398,
        2264 Construction inspectors,40,27935,33578,
      227 Transportation officers and controllers,250,132599,123253,
"        2271 Air pilots, flight engineers and flying instructors",90,69971,95559,
        2272 Air traffic controllers and related occupations,145,178548,145820,
"        2273 Deck officers, water transport",0,0,0,
"        2274 Engineer officers, water transport",0,0,0,
        2275 Railway traffic controllers and marine traffic regulators,15,0,0,
      228 Technical occupations in computer and information systems,735,45266,44742,
        2281 Computer network technicians,280,49085,51209,
        2282 User support technicians,340,41123,38989,
        2283 Information systems testing technicians,110,49450,45779,
  3 Health occupations,6460,46666,54770,
    30 Professional occupations in nursing,1825,75594,67253,
      301 Professional occupations in nursing,1820,75594,67253,
        3011 Nursing co-ordinators and supervisors,60,67538,61407,
        3012 Registered nurses and registered psychiatric nurses,1760,75739,67451,
    31 Professional occupations in health (except nursing),1185,80422,94680,
"      311 Physicians, dentists and veterinarians",545,119867,126712,
        3111 Specialist physicians,225,130496,144638,
        3112 General practitioners and family physicians,205,108619,118331,
        3113 Dentists,60,61147,113790,
        3114 Veterinarians,55,100117,97710,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",90,60933,66928,
        3121 Optometrists,30,0,77854,
        3122 Chiropractors,15,0,0,
        3124 Allied primary health practitioners,25,0,0,
        3125 Other professional occupations in health diagnosing and treating,25,0,0,
"      313 Pharmacists, dietitians and nutritionists",270,88437,79932,
        3131 Pharmacists,185,92130,90091,
        3132 Dietitians and nutritionists,80,67010,56023,
      314 Therapy and assessment professionals,285,57157,56385,
        3141 Audiologists and speech-language pathologists,70,80464,69993,
        3142 Physiotherapists,100,69668,54961,
        3143 Occupational therapists,85,49369,52639,
        3144 Other professional occupations in therapy and assessment,35,43507,42974,
    32 Technical occupations in health,1865,43872,42348,
      321 Medical technologists and technicians (except dental health),870,43684,42265,
        3211 Medical laboratory technologists,130,61529,56821,
        3212 Medical laboratory technicians and pathologists' assistants,90,30881,31948,
        3213 Animal health technologists and veterinary technicians,50,21254,18976,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",90,61843,53913,
        3215 Medical radiation technologists,180,60466,58697,
        3216 Medical sonographers,30,0,61173,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",20,0,0,
        3219 Other medical technologists and technicians (except dental health),285,28453,25707,
      322 Technical occupations in dental health care,120,40033,45956,
        3221 Denturists,0,0,0,
        3222 Dental hygienists and dental therapists,90,46482,44844,
"        3223 Dental technologists, technicians and laboratory assistants",30,0,37548,
      323 Other technical occupations in health care,870,44783,41932,
        3231 Opticians,50,37703,41216,
        3232 Practitioners of natural healing,30,16782,20663,
        3233 Licensed practical nurses,410,45383,39517,
        3234 Paramedical occupations,210,60774,62043,
        3236 Massage therapists,130,31119,28385,
        3237 Other technical occupations in therapy and assessment,40,21321,21564,
    34 Assisting occupations in support of health services,1590,25462,25166,
      341 Assisting occupations in support of health services,1585,25462,25166,
        3411 Dental assistants,75,33190,29204,
"        3413 Nurse aides, orderlies and patient service associates",1350,25159,24547,
        3414 Other assisting occupations in support of health services,160,34327,28367,
"  4 Occupations in education, law and social, community and government services",9250,40720,48244,
    40 Professional occupations in education services,3155,63947,58053,
      401 University professors and post-secondary assistants,720,50271,59790,
        4011 University professors and lecturers,445,93175,84456,
        4012 Post-secondary teaching and research assistants,275,7321,19734,
      402 College and other vocational instructors,460,57975,52342,
        4021 College and other vocational instructors,455,57975,52342,
      403 Secondary and elementary school teachers and educational counsellors,1980,68097,58740,
        4031 Secondary school teachers,590,70262,61541,
        4032 Elementary school and kindergarten teachers,1285,68908,58356,
        4033 Educational counsellors,105,47060,47701,
"    41 Professional occupations in law and social, community and government services",2120,56463,59496,
"      411 Judges, lawyers and Quebec notaries",380,86943,92607,
        4111 Judges,25,0,241082,
        4112 Lawyers and Quebec notaries,350,79164,81638,
      415 Social and community service professionals,895,51333,50182,
        4151 Psychologists,185,65273,71476,
        4152 Social workers,290,61238,52082,
"        4153 Family, marriage and other related counsellors",110,31912,33888,
        4154 Professional occupations in religion,205,33133,35075,
        4155 Probation and parole officers and related occupations,50,73094,68350,
        4156 Employment counsellors,60,52050,41654,
"      416 Policy and program researchers, consultants and officers",845,52307,54505,
"        4161 Natural and applied science policy researchers, consultants and program officers",75,52153,55704,
        4162 Economists and economic policy researchers and analysts,80,59529,65820,
        4163 Business development officers and marketing researchers and consultants,225,53585,58247,
"        4164 Social policy researchers, consultants and program officers",100,60880,60498,
"        4165 Health policy researchers, consultants and program officers",125,47725,51164,
"        4166 Education policy researchers, consultants and program officers",95,45041,55245,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",25,0,0,
        4168 Program officers unique to government,110,36963,41271,
"        4169 Other professional occupations in social science, n.e.c.",20,0,0,
"    42 Paraprofessional occupations in legal, social, community and education services",1535,24193,25761,
"      421 Paraprofessional occupations in legal, social, community and education services",1540,24193,25761,
        4211 Paralegal and related occupations,80,35292,39914,
        4212 Social and community service workers,490,27270,27525,
        4214 Early childhood educators and assistants,785,22331,22007,
        4215 Instructors of persons with disabilities,75,31737,42498,
        4216 Other instructors,80,6789,22076,
        4217 Other religious occupations,35,27814,28313,
    43 Occupations in front-line public protection services,605,79301,74341,
      431 Occupations in front-line public protection services,605,79301,74341,
        4311 Police officers (except commissioned),270,94813,85632,
        4312 Firefighters,160,90034,88043,
        4313 Non-commissioned ranks of the Canadian Armed Forces,180,55989,45039,
"    44 Care providers and educational, legal and public protection support occupations",1840,21566,28639,
      441 Home care providers and educational support occupations,1480,19834,18735,
        4411 Home child care providers,355,12198,14144,
"        4412 Home support workers, housekeepers and related occupations",525,18070,18418,
        4413 Elementary and secondary school teacher assistants,595,21554,21743,
      442 Legal and public protection support occupations,355,78616,69902,
        4421 Sheriffs and bailiffs,25,44637,48863,
        4422 Correctional service officers,280,80879,75522,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",45,34047,47953,
"  5 Occupations in art, culture, recreation and sport",1890,19283,27694,
    51 Professional occupations in art and culture,695,31561,36966,
"      511 Librarians, archivists, conservators and curators",40,63705,61031,
        5111 Librarians,35,64973,67133,
        5112 Conservators and curators,10,0,0,
        5113 Archivists,10,0,0,
"      512 Writing, translating and related communications professionals",335,43741,45281,
        5121 Authors and writers,60,14308,29033,
        5122 Editors,40,56167,53055,
        5123 Journalists,70,60306,56371,
"        5125 Translators, terminologists and interpreters",160,39003,44980,
      513 Creative and performing artists,315,15968,24809,
"        5131 Producers, directors, choreographers and related occupations",85,46259,52113,
"        5132 Conductors, composers and arrangers",10,0,0,
        5133 Musicians and singers,90,11063,16959,
        5134 Dancers,70,10256,15521,
        5135 Actors and comedians,25,0,0,
"        5136 Painters, sculptors and other visual artists",40,7177,10602,
"    52 Technical occupations in art, culture, recreation and sport",1200,15078,22310,
"      521 Technical occupations in libraries, public archives, museums and art galleries",70,15804,20139,
        5211 Library and public archive technicians,30,0,0,
        5212 Technical occupations related to museums and art galleries,45,11036,13987,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",225,31111,32278,
        5221 Photographers,85,23313,22588,
        5222 Film and video camera operators,35,39806,40067,
