"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = St. John's,,,,
Global non-response rate (GNR) =   5.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        2113 Geoscientists and oceanographers,285,119848,144330,
        2114 Meteorologists and climatologists,20,0,0,
        2115 Other professional occupations in physical sciences,0,0,0,
      212 Life science professionals,265,75330,74462,
        2121 Biologists and related scientists,235,77576,75476,
        2122 Forestry professionals,10,0,0,
"        2123 Agricultural representatives, consultants and specialists",20,0,0,
"      213 Civil, mechanical, electrical and chemical engineers",1680,101253,124899,
        2131 Civil engineers,670,98341,135540,
        2132 Mechanical engineers,535,105172,123372,
        2133 Electrical and electronics engineers,405,104766,110782,
        2134 Chemical engineers,70,106367,117319,
      214 Other engineers,870,101430,124589,
        2141 Industrial and manufacturing engineers,50,82029,100395,
        2142 Metallurgical and materials engineers,15,0,0,
        2143 Mining engineers,30,0,75863,
        2144 Geological engineers,60,76945,84560,
        2145 Petroleum engineers,375,138144,168586,
        2146 Aerospace engineers,10,0,0,
        2147 Computer engineers (except software engineers and designers),125,69058,74226,
"        2148 Other professional engineers, n.e.c.",210,79532,95918,
"      215 Architects, urban planners and land surveyors",245,72494,77805,
        2151 Architects,55,59458,75102,
        2152 Landscape architects,10,0,0,
        2153 Urban and land use planners,50,72171,85885,
        2154 Land surveyors,130,75843,77083,
"      216 Mathematicians, statisticians and actuaries",90,62154,54731,
"        2161 Mathematicians, statisticians and actuaries",95,62154,54731,
      217 Computer and information systems professionals,1640,72775,76333,
        2171 Information systems analysts and consultants,785,81123,85661,
        2172 Database analysts and data administrators,120,70305,69523,
        2173 Software engineers and designers,180,70876,98009,
        2174 Computer programmers and interactive media developers,485,64117,59298,
        2175 Web designers and developers,65,46766,43108,
    22 Technical occupations related to natural and applied sciences,5430,68805,77861,
      221 Technical occupations in physical sciences,385,66568,78976,
        2211 Chemical technologists and technicians,105,61548,71050,
        2212 Geological and mineral technologists and technicians,280,67615,81951,
      222 Technical occupations in life sciences,330,55812,54364,
        2221 Biological technologists and technicians,130,65106,55278,
        2222 Agricultural and fish products inspectors,30,76897,63242,
        2223 Forestry technologists and technicians,0,0,0,
        2224 Conservation and fishery officers,100,64714,61115,
        2225 Landscape and horticulture technicians and specialists,65,38917,39114,
"      223 Technical occupations in civil, mechanical and industrial engineering",735,69621,74789,
        2231 Civil engineering technologists and technicians,265,70514,76477,
        2232 Mechanical engineering technologists and technicians,200,61919,67162,
        2233 Industrial engineering and manufacturing technologists and technicians,120,58081,66136,
        2234 Construction estimators,150,83071,88509,
      224 Technical occupations in electronics and electrical engineering,925,64177,73400,
        2241 Electrical and electronics engineering technologists and technicians,495,68379,75143,
        2242 Electronic service technicians (household and business equipment),285,49729,55893,
        2243 Industrial instrument technicians and mechanics,105,99744,103519,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",45,105154,96080,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",440,52937,60237,
        2251 Architectural technologists and technicians,75,50127,54344,
        2252 Industrial designers,20,0,0,
        2253 Drafting technologists and technicians,205,48787,55168,
        2254 Land survey technologists and technicians,25,0,0,
        2255 Technical occupations in geomatics and meteorology,110,58513,58758,
      226 Other technical inspectors and regulatory officers,940,72392,84195,
        2261 Non-destructive testers and inspection technicians,75,70610,82081,
        2262 Engineering inspectors and regulatory officers,80,69833,79397,
        2263 Inspectors in public and environmental health and occupational health and safety,545,75575,89391,
        2264 Construction inspectors,240,69170,74639,
