"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Saguenay,,,,
Global non-response rate (GNR) =   4.6 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        2134 Chemical engineers,50,91896,109457,
      214 Other engineers,280,87800,94796,
        2141 Industrial and manufacturing engineers,80,101402,99611,
        2142 Metallurgical and materials engineers,75,110394,109021,
        2143 Mining engineers,15,0,0,
        2144 Geological engineers,30,0,0,
        2145 Petroleum engineers,0,0,0,
        2146 Aerospace engineers,10,0,0,
        2147 Computer engineers (except software engineers and designers),55,79036,83061,
"        2148 Other professional engineers, n.e.c.",15,0,0,
"      215 Architects, urban planners and land surveyors",130,58976,64402,
        2151 Architects,45,77824,65846,
        2152 Landscape architects,0,0,0,
        2153 Urban and land use planners,15,0,0,
        2154 Land surveyors,65,49237,53714,
"      216 Mathematicians, statisticians and actuaries",0,0,0,
"        2161 Mathematicians, statisticians and actuaries",10,0,0,
      217 Computer and information systems professionals,665,46958,48890,
        2171 Information systems analysts and consultants,250,49240,56419,
        2172 Database analysts and data administrators,50,49071,52049,
        2173 Software engineers and designers,25,0,65354,
        2174 Computer programmers and interactive media developers,285,44599,46204,
        2175 Web designers and developers,60,12157,20056,
    22 Technical occupations related to natural and applied sciences,3595,46823,51591,
      221 Technical occupations in physical sciences,230,49624,57882,
        2211 Chemical technologists and technicians,130,40223,48692,
        2212 Geological and mineral technologists and technicians,100,81481,70008,
      222 Technical occupations in life sciences,265,22591,30697,
        2221 Biological technologists and technicians,35,15743,35740,
        2222 Agricultural and fish products inspectors,0,0,0,
        2223 Forestry technologists and technicians,90,42310,40714,
        2224 Conservation and fishery officers,25,0,0,
        2225 Landscape and horticulture technicians and specialists,110,15022,18032,
"      223 Technical occupations in civil, mechanical and industrial engineering",820,47376,51103,
        2231 Civil engineering technologists and technicians,345,46304,49375,
        2232 Mechanical engineering technologists and technicians,270,55122,60131,
        2233 Industrial engineering and manufacturing technologists and technicians,60,41820,40625,
        2234 Construction estimators,145,39546,42488,
      224 Technical occupations in electronics and electrical engineering,825,56571,58814,
        2241 Electrical and electronics engineering technologists and technicians,460,62179,65156,
        2242 Electronic service technicians (household and business equipment),195,31342,34946,
        2243 Industrial instrument technicians and mechanics,95,82170,75289,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",70,64828,61476,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",380,38284,40407,
        2251 Architectural technologists and technicians,75,33695,37123,
        2252 Industrial designers,50,53082,52729,
        2253 Drafting technologists and technicians,180,36744,37129,
        2254 Land survey technologists and technicians,50,34433,43538,
        2255 Technical occupations in geomatics and meteorology,30,0,43554,
      226 Other technical inspectors and regulatory officers,385,51912,62747,
        2261 Non-destructive testers and inspection technicians,35,50282,50917,
        2262 Engineering inspectors and regulatory officers,20,0,0,
        2263 Inspectors in public and environmental health and occupational health and safety,230,54408,66839,
        2264 Construction inspectors,100,57312,60672,
      227 Transportation officers and controllers,135,49140,61520,
"        2271 Air pilots, flight engineers and flying instructors",65,47445,47186,
        2272 Air traffic controllers and related occupations,55,48935,64347,
"        2273 Deck officers, water transport",0,0,0,
"        2274 Engineer officers, water transport",0,0,0,
        2275 Railway traffic controllers and marine traffic regulators,0,0,0,
      228 Technical occupations in computer and information systems,550,42217,46430,
        2281 Computer network technicians,335,50338,51596,
        2282 User support technicians,200,36332,40049,
        2283 Information systems testing technicians,20,0,0,
  3 Health occupations,6400,40246,53221,
    30 Professional occupations in nursing,1650,57815,55384,
      301 Professional occupations in nursing,1645,57815,55384,
        3011 Nursing co-ordinators and supervisors,70,73536,67743,
        3012 Registered nurses and registered psychiatric nurses,1575,57072,54838,
    31 Professional occupations in health (except nursing),1215,75191,112393,
"      311 Physicians, dentists and veterinarians",490,141125,178828,
        3111 Specialist physicians,185,154867,237891,
        3112 General practitioners and family physicians,210,158908,161090,
        3113 Dentists,80,68052,110560,
        3114 Veterinarians,20,0,0,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",110,77897,77119,
        3121 Optometrists,40,106461,106165,
        3122 Chiropractors,45,78206,77532,
        3124 Allied primary health practitioners,10,0,0,
        3125 Other professional occupations in health diagnosing and treating,20,0,0,
"      313 Pharmacists, dietitians and nutritionists",295,77287,77482,
        3131 Pharmacists,215,89938,89269,
        3132 Dietitians and nutritionists,80,50604,46005,
      314 Therapy and assessment professionals,315,54554,53888,
        3141 Audiologists and speech-language pathologists,40,59797,57011,
        3142 Physiotherapists,120,59457,59890,
        3143 Occupational therapists,85,64762,59734,
        3144 Other professional occupations in therapy and assessment,75,36039,36407,
    32 Technical occupations in health,2110,34325,35722,
      321 Medical technologists and technicians (except dental health),1030,33041,35771,
        3211 Medical laboratory technologists,80,48676,46775,
        3212 Medical laboratory technicians and pathologists' assistants,110,38001,35787,
        3213 Animal health technologists and veterinary technicians,35,28220,27520,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",125,47928,47464,
        3215 Medical radiation technologists,135,53005,51165,
        3216 Medical sonographers,0,0,0,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",10,0,0,
        3219 Other medical technologists and technicians (except dental health),530,25350,27684,
      322 Technical occupations in dental health care,220,33451,33386,
        3221 Denturists,20,0,0,
        3222 Dental hygienists and dental therapists,160,34220,33061,
"        3223 Dental technologists, technicians and laboratory assistants",40,30155,33174,
      323 Other technical occupations in health care,865,38085,36254,
        3231 Opticians,40,44048,40783,
        3232 Practitioners of natural healing,20,0,0,
        3233 Licensed practical nurses,440,44053,40535,
        3234 Paramedical occupations,115,55161,55486,
        3236 Massage therapists,160,13105,12790,
        3237 Other technical occupations in therapy and assessment,90,29673,32084,
    34 Assisting occupations in support of health services,1425,25352,26148,
      341 Assisting occupations in support of health services,1430,25352,26148,
        3411 Dental assistants,55,23465,24647,
"        3413 Nurse aides, orderlies and patient service associates",1195,25387,25901,
        3414 Other assisting occupations in support of health services,175,25991,28243,
"  4 Occupations in education, law and social, community and government services",10140,43612,47884,
    40 Professional occupations in education services,3605,65286,58803,
      401 University professors and post-secondary assistants,630,56487,67345,
        4011 University professors and lecturers,355,101042,98265,
        4012 Post-secondary teaching and research assistants,275,12554,27109,
      402 College and other vocational instructors,905,65436,60182,
        4021 College and other vocational instructors,905,65436,60182,
      403 Secondary and elementary school teachers and educational counsellors,2075,65503,55613,
        4031 Secondary school teachers,1010,67786,56051,
        4032 Elementary school and kindergarten teachers,965,62749,55039,
        4033 Educational counsellors,100,66881,56720,
"    41 Professional occupations in law and social, community and government services",1585,58405,58001,
"      411 Judges, lawyers and Quebec notaries",225,70425,92705,
        4111 Judges,15,0,0,
        4112 Lawyers and Quebec notaries,210,69949,81956,
      415 Social and community service professionals,730,54849,50041,
        4151 Psychologists,180,67187,55913,
        4152 Social workers,415,57935,50832,
"        4153 Family, marriage and other related counsellors",70,48530,50130,
        4154 Professional occupations in religion,10,0,0,
        4155 Probation and parole officers and related occupations,15,0,0,
        4156 Employment counsellors,45,21085,23254,
"      416 Policy and program researchers, consultants and officers",630,58234,54932,
"        4161 Natural and applied science policy researchers, consultants and program officers",130,58721,66040,
        4162 Economists and economic policy researchers and analysts,20,0,0,
        4163 Business development officers and marketing researchers and consultants,95,56216,52080,
"        4164 Social policy researchers, consultants and program officers",65,58154,54944,
"        4165 Health policy researchers, consultants and program officers",65,75519,66665,
"        4166 Education policy researchers, consultants and program officers",115,73170,65224,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",35,37249,39699,
        4168 Program officers unique to government,95,21561,30256,
"        4169 Other professional occupations in social science, n.e.c.",25,0,0,
"    42 Paraprofessional occupations in legal, social, community and education services",2900,26273,27723,
"      421 Paraprofessional occupations in legal, social, community and education services",2895,26273,27723,
        4211 Paralegal and related occupations,55,46081,39419,
        4212 Social and community service workers,580,29608,30760,
        4214 Early childhood educators and assistants,1680,22924,23669,
        4215 Instructors of persons with disabilities,460,36231,37950,
        4216 Other instructors,65,19238,21875,
        4217 Other religious occupations,55,26309,29337,
    43 Occupations in front-line public protection services,1280,66777,66061,
      431 Occupations in front-line public protection services,1280,66777,66061,
        4311 Police officers (except commissioned),375,92744,85082,
        4312 Firefighters,170,64114,64150,
        4313 Non-commissioned ranks of the Canadian Armed Forces,725,62476,56690,
"    44 Care providers and educational, legal and public protection support occupations",770,19301,21506,
      441 Home care providers and educational support occupations,740,18561,20470,
        4411 Home child care providers,200,18570,17842,
"        4412 Home support workers, housekeepers and related occupations",260,15859,17360,
        4413 Elementary and secondary school teacher assistants,280,24246,25157,
      442 Legal and public protection support occupations,30,47073,46422,
        4421 Sheriffs and bailiffs,0,0,0,
        4422 Correctional service officers,15,0,0,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",15,0,0,
"  5 Occupations in art, culture, recreation and sport",1875,12925,21311,
    51 Professional occupations in art and culture,510,17445,28019,
"      511 Librarians, archivists, conservators and curators",20,0,0,
        5111 Librarians,10,0,0,
        5112 Conservators and curators,0,0,0,
        5113 Archivists,10,0,0,
"      512 Writing, translating and related communications professionals",195,39160,40208,
        5121 Authors and writers,35,0,0,
        5122 Editors,45,28373,41843,
        5123 Journalists,85,65485,56310,
"        5125 Translators, terminologists and interpreters",35,0,0,
      513 Creative and performing artists,295,11149,18595,
"        5131 Producers, directors, choreographers and related occupations",70,38260,37639,
"        5132 Conductors, composers and arrangers",0,0,0,
        5133 Musicians and singers,85,14135,19286,
        5134 Dancers,75,3777,5913,
        5135 Actors and comedians,10,0,0,
"        5136 Painters, sculptors and other visual artists",50,7286,12177,
"    52 Technical occupations in art, culture, recreation and sport",1365,11569,18799,
"      521 Technical occupations in libraries, public archives, museums and art galleries",90,14510,20650,
        5211 Library and public archive technicians,45,25420,32254,
        5212 Technical occupations related to museums and art galleries,40,0,0,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",230,29296,29406,
        5221 Photographers,20,0,0,
        5222 Film and video camera operators,30,41022,48223,
        5223 Graphic arts technicians,65,26560,26927,
        5224 Broadcast technicians,10,0,0,
        5225 Audio and video recording technicians,40,35946,44622,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",40,0,0,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",25,0,0,
"      523 Announcers and other performers, n.e.c.",95,32901,30368,
        5231 Announcers and other broadcasters,60,37075,38497,
"        5232 Other performers, n.e.c.",35,0,0,
      524 Creative designers and craftspersons,285,19454,23408,
        5241 Graphic designers and illustrators,110,24939,23560,
        5242 Interior designers and interior decorators,95,18323,21957,
"        5243 Theatre, fashion, exhibit and other creative designers",30,0,0,
        5244 Artisans and craftspersons,45,0,0,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",665,5432,11261,
        5251 Athletes,10,0,0,
        5252 Coaches,45,16474,24771,
        5253 Sports officials and referees,20,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",595,5427,9956,
  6 Sales and service occupations,19975,16276,21370,
    62 Retail sales supervisors and specialized sales occupations,940,38621,46069,
      621 Retail sales supervisors,240,32880,33751,
        6211 Retail sales supervisors,240,32880,33751,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,305,46131,56148,
        6221 Technical sales specialists - wholesale trade,205,62068,72111,
        6222 Retail and wholesale buyers,95,14287,23339,
"      623 Insurance, real estate and financial sales occupations",405,40310,45788,
        6231 Insurance agents and brokers,210,42806,47250,
        6232 Real estate agents and salespersons,130,32196,39397,
        6235 Financial sales representatives,65,47279,53615,
    63 Service supervisors and specialized service occupations,3045,17456,20651,
      631 Service supervisors,265,20380,25271,
        6311 Food service supervisors,105,17841,20016,
        6312 Executive housekeepers,10,0,0,
"        6313 Accommodation, travel, tourism and related services supervisors",10,0,0,
        6314 Customer and information services supervisors,40,35671,38674,
        6315 Cleaning supervisors,35,39863,41385,
        6316 Other services supervisors,60,3965,9488,
      632 Chefs and cooks,1560,17465,20218,
        6321 Chefs,60,28423,30240,
        6322 Cooks,1505,17429,19825,
      633 Butchers and bakers,420,27511,26595,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",265,30088,28506,
        6332 Bakers,155,21344,23334,
      634 Specialized occupations in personal and customer services,795,13796,16813,
        6341 Hairstylists and barbers,605,12912,13822,
"        6342 Tailors, dressmakers, furriers and milliners",115,16946,19632,
        6343 Shoe repairers and shoemakers,10,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",20,0,0,
        6345 Upholsterers,15,0,0,
        6346 Funeral directors and embalmers,40,45940,55306,
    64 Sales representatives and salespersons - wholesale and retail trade,3565,17134,23555,
      641 Sales and account representatives - wholesale trade (non-technical),410,41026,45042,
        6411 Sales and account representatives - wholesale trade (non-technical),405,41026,45042,
      642 Retail salespersons,3160,15715,20783,
        6421 Retail salespersons,3160,15715,20783,
    65 Service representatives and other customer and personal services occupations,3805,19448,22324,
      651 Occupations in food and beverage service,1350,15870,16814,
        6511 Maîtres d'hôtel and hosts/hostesses,100,8465,13040,
        6512 Bartenders,205,14682,15532,
        6513 Food and beverage servers,1045,16782,17427,
      652 Occupations in travel and accommodation,170,19966,21708,
        6521 Travel counsellors,35,23770,27137,
        6522 Pursers and flight attendants,20,0,0,
        6523 Airline ticket and service agents,10,0,0,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",15,0,0,
        6525 Hotel front desk clerks,95,14767,15545,
      653 Tourism and amusement services occupations,60,13582,13379,
        6531 Tour and travel guides,35,0,0,
        6532 Outdoor sport and recreational guides,30,0,18246,
        6533 Casino occupations,10,0,0,
      654 Security guards and related security service occupations,535,21897,25941,
        6541 Security guards and related security service occupations,535,21897,25941,
      655 Customer and information services representatives,1300,25001,26865,
        6551 Customer services representatives - financial institutions,325,29514,29729,
        6552 Other customer and information services representatives,975,23306,25910,
      656 Other occupations in personal service,385,19272,23014,
"        6561 Image, social and other personal consultants",25,0,0,
"        6562 Estheticians, electrologists and related occupations",280,20763,25072,
        6563 Pet groomers and animal care workers,65,12034,17122,
        6564 Other personal service occupations,10,0,0,
    66 Sales support occupations,3615,12045,14949,
      661 Cashiers,2205,11207,12420,
        6611 Cashiers,2200,11207,12420,
      662 Other sales support and related occupations,1410,14515,18896,
        6621 Service station attendants,100,12016,11738,
"        6622 Store shelf stockers, clerks and order fillers",915,14316,16870,
        6623 Other sales related occupations,400,16410,25409,
"    67 Service support and other service occupations, n.e.c.",5005,14920,19529,
"      671 Food counter attendants, kitchen helpers and related support occupations",1615,10206,13158,
"        6711 Food counter attendants, kitchen helpers and related support occupations",1615,10206,13158,
"      672 Support occupations in accommodation, travel and amusement services",185,10985,17651,
"        6721 Support occupations in accommodation, travel and facilities set-up services",25,0,0,
"        6722 Operators and attendants in amusement, recreation and sport",165,8511,18106,
      673 Cleaners,2985,19968,23285,
        6731 Light duty cleaners,1400,16200,19752,
        6732 Specialized cleaners,255,17589,21070,
"        6733 Janitors, caretakers and building superintendents",1335,25895,27419,
"      674 Other service support and related occupations, n.e.c.",210,12036,16872,
"        6741 Dry cleaning, laundry and related occupations",85,22897,24036,
"        6742 Other service support occupations, n.e.c.",120,5967,11665,
"  7 Trades, transport and equipment operators and related occupations",13895,39198,43858,
"    72 Industrial, electrical and construction trades",5030,42004,45807,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",425,54397,60862,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",100,54390,52338,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",140,68871,73571,
"        7203 Contractors and supervisors, pipefitting trades",45,60253,62395,
"        7204 Contractors and supervisors, carpentry trades",60,45271,53752,
"        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",80,43535,53892,
"      723 Machining, metal forming, shaping and erecting trades",1555,40585,41255,
        7231 Machinists and machining and tooling inspectors,160,44628,39750,
        7232 Tool and die makers,0,0,0,
        7233 Sheet metal workers,195,43354,43413,
        7234 Boilermakers,40,56911,66764,
        7235 Structural metal and platework fabricators and fitters,20,0,0,
        7236 Ironworkers,135,48727,48986,
        7237 Welders and related machine operators,1000,39690,39420,
      724 Electrical trades and electrical power line and telecommunications workers,880,57762,61616,
        7241 Electricians (except industrial and power system),355,44374,47986,
        7242 Industrial electricians,145,86183,76388,
        7243 Power system electricians,75,91002,89477,
        7244 Electrical power line and cable workers,115,81417,78158,
        7245 Telecommunications line and cable workers,10,0,0,
        7246 Telecommunications installation and repair workers,155,46802,52431,
        7247 Cable television service and maintenance technicians,15,0,0,
"      725 Plumbers, pipefitters and gas fitters",310,49319,49511,
        7251 Plumbers,165,46238,48075,
"        7252 Steamfitters, pipefitters and sprinkler system installers",140,49301,47492,
        7253 Gas fitters,10,0,0,
      727 Carpenters and cabinetmakers,1185,32284,37181,
        7271 Carpenters,970,36414,39811,
        7272 Cabinetmakers,210,25150,25154,
      728 Masonry and plastering trades,320,35914,39423,
        7281 Bricklayers,105,33241,43391,
        7282 Concrete finishers,40,41631,47611,
        7283 Tilesetters,45,39048,34253,
"        7284 Plasterers, drywall installers and finishers and lathers",125,32451,35059,
      729 Other construction trades,360,35172,39943,
        7291 Roofers and shinglers,60,41743,39202,
        7292 Glaziers,45,39130,36208,
        7293 Insulators,55,62304,59845,
