"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Canada [1],,,,
Global non-response rate (GNR) =   5.1 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
        2275 Railway traffic controllers and marine traffic regulators,1555,88568,83410,
      228 Technical occupations in computer and information systems,121360,55564,57977,
        2281 Computer network technicians,67620,59364,61327,
        2282 User support technicians,43820,50763,54204,
        2283 Information systems testing technicians,9925,51064,51809,
  3 Health occupations,1256185,46669,57549,
    30 Professional occupations in nursing,317905,67716,65220,
      301 Professional occupations in nursing,317905,67716,65220,
        3011 Nursing co-ordinators and supervisors,16840,75935,70516,
        3012 Registered nurses and registered psychiatric nurses,301070,67297,64924,
    31 Professional occupations in health (except nursing),259140,73766,97118,
"      311 Physicians, dentists and veterinarians",122635,96333,131370,
        3111 Specialist physicians,42035,122002,162521,
        3112 General practitioners and family physicians,51945,89733,120914,
        3113 Dentists,18945,98582,119223,
        3114 Veterinarians,9705,71519,76135,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",25415,60118,67007,
        3121 Optometrists,5230,75461,83223,
        3122 Chiropractors,7380,51729,61179,
        3124 Allied primary health practitioners,7245,88008,79398,
        3125 Other professional occupations in health diagnosing and treating,5555,33335,43334,
"      313 Pharmacists, dietitians and nutritionists",49295,79276,79876,
        3131 Pharmacists,37415,92449,88903,
        3132 Dietitians and nutritionists,11880,52204,51448,
      314 Therapy and assessment professionals,61795,56506,55281,
        3141 Audiologists and speech-language pathologists,10880,64294,62507,
        3142 Physiotherapists,24195,59446,58595,
        3143 Occupational therapists,15535,62921,59085,
        3144 Other professional occupations in therapy and assessment,11185,32822,35802,
    32 Technical occupations in health,349725,42357,44662,
      321 Medical technologists and technicians (except dental health),151935,42177,45582,
        3211 Medical laboratory technologists,20890,63316,61792,
        3212 Medical laboratory technicians and pathologists' assistants,23365,42646,42050,
        3213 Animal health technologists and veterinary technicians,15995,29347,29917,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",11475,65122,65594,
        3215 Medical radiation technologists,20210,62501,62884,
        3216 Medical sonographers,5290,68747,65656,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",3005,51125,49185,
        3219 Other medical technologists and technicians (except dental health),51710,30179,32005,
      322 Technical occupations in dental health care,34755,48034,49705,
        3221 Denturists,2315,46722,57734,
        3222 Dental hygienists and dental therapists,26720,49305,49721,
"        3223 Dental technologists, technicians and laboratory assistants",5725,42113,46385,
      323 Other technical occupations in health care,163030,41140,42730,
        3231 Opticians,8780,43402,44172,
        3232 Practitioners of natural healing,8965,14418,21777,
        3233 Licensed practical nurses,72765,45869,44265,
        3234 Paramedical occupations,28205,69752,68917,
        3236 Massage therapists,32800,20095,24683,
        3237 Other technical occupations in therapy and assessment,11520,32342,35493,
    34 Assisting occupations in support of health services,329415,32786,32699,
      341 Assisting occupations in support of health services,329420,32786,32699,
        3411 Dental assistants,34180,34420,34541,
"        3413 Nurse aides, orderlies and patient service associates",259000,32530,32305,
        3414 Other assisting occupations in support of health services,36240,32465,33775,
"  4 Occupations in education, law and social, community and government services",2177865,44145,54099,
    40 Professional occupations in education services,733160,61823,59505,
      401 University professors and post-secondary assistants,149985,30030,55963,
        4011 University professors and lecturers,72395,94228,93374,
        4012 Post-secondary teaching and research assistants,77590,10779,21055,
      402 College and other vocational instructors,95525,58797,57831,
        4021 College and other vocational instructors,95525,58797,57831,
      403 Secondary and elementary school teachers and educational counsellors,487650,66298,60923,
        4031 Secondary school teachers,168075,71795,64534,
        4032 Elementary school and kindergarten teachers,296085,63983,59337,
        4033 Educational counsellors,23500,55909,55078,
"    41 Professional occupations in law and social, community and government services",493265,60171,75897,
"      411 Judges, lawyers and Quebec notaries",92535,100104,144052,
        4111 Judges,3310,259603,228412,
        4112 Lawyers and Quebec notaries,89230,97589,140926,
      415 Social and community service professionals,160105,52491,53061,
        4151 Psychologists,23485,55926,59461,
        4152 Social workers,60355,59342,57328,
"        4153 Family, marriage and other related counsellors",26455,47050,47119,
        4154 Professional occupations in religion,29485,44463,45609,
        4155 Probation and parole officers and related occupations,5985,73099,68004,
        4156 Employment counsellors,14340,43634,44671,
"      416 Policy and program researchers, consultants and officers",240620,59538,64880,
