"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Prince Edward Island / Œle-du-Prince-…douard,,,,
Global non-response rate (GNR) =   5.6 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        2241 Electrical and electronics engineering technologists and technicians,100,46183,58489,
        2242 Electronic service technicians (household and business equipment),160,43548,44588,
        2243 Industrial instrument technicians and mechanics,10,0,0,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",25,0,0,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",155,43424,51101,
        2251 Architectural technologists and technicians,10,0,0,
        2252 Industrial designers,15,0,0,
        2253 Drafting technologists and technicians,75,32219,39702,
        2254 Land survey technologists and technicians,30,43991,56756,
        2255 Technical occupations in geomatics and meteorology,30,0,0,
      226 Other technical inspectors and regulatory officers,235,52775,50626,
        2261 Non-destructive testers and inspection technicians,15,0,0,
        2262 Engineering inspectors and regulatory officers,25,0,0,
        2263 Inspectors in public and environmental health and occupational health and safety,145,47754,50496,
        2264 Construction inspectors,55,46879,43513,
      227 Transportation officers and controllers,105,70047,82212,
"        2271 Air pilots, flight engineers and flying instructors",20,0,0,
        2272 Air traffic controllers and related occupations,0,0,0,
"        2273 Deck officers, water transport",55,69648,86135,
"        2274 Engineer officers, water transport",25,0,81560,
        2275 Railway traffic controllers and marine traffic regulators,0,0,0,
      228 Technical occupations in computer and information systems,520,47469,44072,
        2281 Computer network technicians,260,52756,49511,
        2282 User support technicians,250,29859,37891,
        2283 Information systems testing technicians,10,0,0,
  3 Health occupations,5900,41988,49861,
    30 Professional occupations in nursing,1645,58313,56245,
      301 Professional occupations in nursing,1650,58313,56245,
        3011 Nursing co-ordinators and supervisors,135,62147,65847,
        3012 Registered nurses and registered psychiatric nurses,1515,57925,55388,
    31 Professional occupations in health (except nursing),865,72319,94756,
"      311 Physicians, dentists and veterinarians",380,121740,136709,
        3111 Specialist physicians,110,186718,176945,
        3112 General practitioners and family physicians,125,147051,152074,
        3113 Dentists,75,100191,124420,
        3114 Veterinarians,70,56736,59427,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",60,84267,75411,
        3121 Optometrists,20,0,0,
        3122 Chiropractors,0,0,0,
        3124 Allied primary health practitioners,15,0,0,
        3125 Other professional occupations in health diagnosing and treating,20,0,0,
