"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = St. Catharines - Niagara,,,,
Global non-response rate (GNR) =   5.1 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"      145 Library, correspondence and other clerks",685,15021,21110,
        1451 Library assistants and clerks,160,5517,13063,
"        1452 Correspondence, publication and regulatory clerks",280,32940,32743,
        1454 Survey interviewers and statistical clerks,240,1032,13185,
"    15 Distribution, tracking and scheduling co-ordination occupations",3560,35887,40012,
      151 Mail and message distribution occupations,1010,36131,35580,
"        1511 Mail, postal and related workers",230,29704,34370,
        1512 Letter carriers,395,57169,47765,
"        1513 Couriers, messengers and door-to-door distributors",390,14830,23989,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",2545,35873,41772,
        1521 Shippers and receivers,1240,34589,38462,
        1522 Storekeepers and partspersons,345,36354,37870,
        1523 Production logistics co-ordinators,230,49431,59239,
        1524 Purchasing and inventory control workers,240,32865,37516,
        1525 Dispatchers,445,39909,47891,
        1526 Transportation route and crew schedulers,50,32480,37116,
  2 Natural and applied sciences and related occupations,9160,57888,63415,
    21 Professional occupations in natural and applied sciences,3895,70223,73483,
      211 Physical science professionals,150,56138,67803,
        2111 Physicists and astronomers,15,0,0,
        2112 Chemists,70,25267,43894,
        2113 Geoscientists and oceanographers,55,76765,91066,
        2114 Meteorologists and climatologists,0,0,0,
        2115 Other professional occupations in physical sciences,10,0,0,
      212 Life science professionals,150,49657,59631,
        2121 Biologists and related scientists,120,53257,57162,
        2122 Forestry professionals,10,0,0,
"        2123 Agricultural representatives, consultants and specialists",20,0,0,
"      213 Civil, mechanical, electrical and chemical engineers",1215,81463,84779,
        2131 Civil engineers,450,74861,81989,
        2132 Mechanical engineers,420,80587,80056,
        2133 Electrical and electronics engineers,235,90431,87935,
        2134 Chemical engineers,105,103724,109232,
      214 Other engineers,385,89915,87713,
        2141 Industrial and manufacturing engineers,150,100920,96584,
        2142 Metallurgical and materials engineers,20,0,0,
        2143 Mining engineers,10,0,0,
        2144 Geological engineers,30,0,100944,
        2145 Petroleum engineers,10,0,0,
        2146 Aerospace engineers,25,0,0,
        2147 Computer engineers (except software engineers and designers),70,75980,73102,
"        2148 Other professional engineers, n.e.c.",65,49994,56456,
"      215 Architects, urban planners and land surveyors",265,63417,64854,
        2151 Architects,55,73860,89322,
        2152 Landscape architects,25,0,0,
        2153 Urban and land use planners,120,69943,60877,
        2154 Land surveyors,60,53252,55223,
"      216 Mathematicians, statisticians and actuaries",15,0,0,
"        2161 Mathematicians, statisticians and actuaries",15,0,0,
      217 Computer and information systems professionals,1720,61315,65609,
        2171 Information systems analysts and consultants,750,73602,75126,
        2172 Database analysts and data administrators,130,75313,81013,
        2173 Software engineers and designers,115,64649,85067,
        2174 Computer programmers and interactive media developers,525,51689,53860,
        2175 Web designers and developers,200,38283,39517,
    22 Technical occupations related to natural and applied sciences,5260,51642,55958,
      221 Technical occupations in physical sciences,270,60330,62756,
        2211 Chemical technologists and technicians,235,60170,60670,
        2212 Geological and mineral technologists and technicians,35,76643,76973,
      222 Technical occupations in life sciences,535,31817,36739,
        2221 Biological technologists and technicians,85,16810,28521,
        2222 Agricultural and fish products inspectors,40,56348,44664,
        2223 Forestry technologists and technicians,20,0,0,
        2224 Conservation and fishery officers,25,0,0,
        2225 Landscape and horticulture technicians and specialists,370,33025,37131,
"      223 Technical occupations in civil, mechanical and industrial engineering",785,57838,57757,
        2231 Civil engineering technologists and technicians,200,62429,59768,
        2232 Mechanical engineering technologists and technicians,215,62781,61783,
        2233 Industrial engineering and manufacturing technologists and technicians,165,51530,53160,
        2234 Construction estimators,205,58114,55076,
      224 Technical occupations in electronics and electrical engineering,1215,48271,52235,
        2241 Electrical and electronics engineering technologists and technicians,470,57697,62070,
        2242 Electronic service technicians (household and business equipment),650,41795,42414,
        2243 Industrial instrument technicians and mechanics,60,83066,77011,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",30,0,62026,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",565,51776,54384,
        2251 Architectural technologists and technicians,45,55418,80683,
        2252 Industrial designers,85,52570,58071,
        2253 Drafting technologists and technicians,305,47931,49204,
        2254 Land survey technologists and technicians,35,30615,34662,
        2255 Technical occupations in geomatics and meteorology,105,67786,62215,
      226 Other technical inspectors and regulatory officers,650,62701,63697,
        2261 Non-destructive testers and inspection technicians,115,68073,66969,
        2262 Engineering inspectors and regulatory officers,55,89108,81125,
        2263 Inspectors in public and environmental health and occupational health and safety,310,67777,63512,
        2264 Construction inspectors,165,57058,55722,
      227 Transportation officers and controllers,320,94802,107658,
"        2271 Air pilots, flight engineers and flying instructors",155,95832,125655,
        2272 Air traffic controllers and related occupations,30,0,0,
"        2273 Deck officers, water transport",65,84990,84041,
"        2274 Engineer officers, water transport",55,88006,92885,
        2275 Railway traffic controllers and marine traffic regulators,15,0,0,
      228 Technical occupations in computer and information systems,925,45669,46134,
        2281 Computer network technicians,505,49631,48484,
        2282 User support technicians,405,31327,42082,
        2283 Information systems testing technicians,15,0,0,
  3 Health occupations,14320,43378,51600,
    30 Professional occupations in nursing,3420,65769,65578,
      301 Professional occupations in nursing,3420,65769,65578,
        3011 Nursing co-ordinators and supervisors,220,72672,68151,
        3012 Registered nurses and registered psychiatric nurses,3200,65473,65404,
    31 Professional occupations in health (except nursing),2110,65223,83414,
"      311 Physicians, dentists and veterinarians",845,104092,116161,
        3111 Specialist physicians,230,100103,126512,
        3112 General practitioners and family physicians,335,123977,121954,
        3113 Dentists,160,120239,125212,
        3114 Veterinarians,115,55014,65935,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",340,52177,58716,
        3121 Optometrists,50,56249,68643,
        3122 Chiropractors,135,40059,45882,
        3124 Allied primary health practitioners,105,82889,77149,
        3125 Other professional occupations in health diagnosing and treating,50,27045,45645,
"      313 Pharmacists, dietitians and nutritionists",340,71530,76148,
        3131 Pharmacists,240,86880,84925,
        3132 Dietitians and nutritionists,100,53612,55212,
      314 Therapy and assessment professionals,585,52110,54731,
        3141 Audiologists and speech-language pathologists,120,75510,67934,
        3142 Physiotherapists,160,64733,63159,
        3143 Occupational therapists,130,57324,59688,
        3144 Other professional occupations in therapy and assessment,170,36462,33748,
    32 Technical occupations in health,4220,43415,45652,
      321 Medical technologists and technicians (except dental health),1705,42528,45564,
        3211 Medical laboratory technologists,175,70715,64774,
        3212 Medical laboratory technicians and pathologists' assistants,315,43147,43113,
        3213 Animal health technologists and veterinary technicians,195,28355,28865,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",75,64124,68042,
        3215 Medical radiation technologists,150,73095,71937,
        3216 Medical sonographers,110,70054,61992,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",45,43158,45673,
        3219 Other medical technologists and technicians (except dental health),645,32974,34997,
      322 Technical occupations in dental health care,550,46885,45579,
        3221 Denturists,30,0,0,
        3222 Dental hygienists and dental therapists,470,49285,47787,
"        3223 Dental technologists, technicians and laboratory assistants",50,46480,43706,
      323 Other technical occupations in health care,1960,43313,45749,
        3231 Opticians,60,44072,46964,
        3232 Practitioners of natural healing,60,25645,26301,
        3233 Licensed practical nurses,975,47657,43762,
        3234 Paramedical occupations,350,85671,77807,
        3236 Massage therapists,330,27414,29208,
        3237 Other technical occupations in therapy and assessment,195,32661,31349,
    34 Assisting occupations in support of health services,4565,32850,31905,
      341 Assisting occupations in support of health services,4565,32850,31905,
        3411 Dental assistants,410,30741,30782,
"        3413 Nurse aides, orderlies and patient service associates",3670,33196,31999,
        3414 Other assisting occupations in support of health services,485,31104,32148,
"  4 Occupations in education, law and social, community and government services",21695,46539,54498,
    40 Professional occupations in education services,8200,70929,65312,
      401 University professors and post-secondary assistants,1385,30477,59678,
        4011 University professors and lecturers,705,115737,99017,
        4012 Post-secondary teaching and research assistants,680,11253,19160,
      402 College and other vocational instructors,815,55651,58780,
        4021 College and other vocational instructors,815,55651,58780,
      403 Secondary and elementary school teachers and educational counsellors,6000,78686,67501,
        4031 Secondary school teachers,1930,87691,73970,
        4032 Elementary school and kindergarten teachers,3825,75781,65159,
        4033 Educational counsellors,245,52082,53188,
"    41 Professional occupations in law and social, community and government services",3960,51177,56970,
"      411 Judges, lawyers and Quebec notaries",445,101798,116531,
        4111 Judges,20,0,0,
        4112 Lawyers and Quebec notaries,430,101242,113509,
      415 Social and community service professionals,1920,50170,48821,
        4151 Psychologists,150,28941,44335,
        4152 Social workers,695,54282,53146,
"        4153 Family, marriage and other related counsellors",285,47729,43597,
        4154 Professional occupations in religion,510,49140,47482,
        4155 Probation and parole officers and related occupations,60,75882,68910,
        4156 Employment counsellors,215,41339,42300,
"      416 Policy and program researchers, consultants and officers",1595,47163,50254,
"        4161 Natural and applied science policy researchers, consultants and program officers",185,54757,59104,
        4162 Economists and economic policy researchers and analysts,55,74437,67807,
        4163 Business development officers and marketing researchers and consultants,470,45045,51488,
"        4164 Social policy researchers, consultants and program officers",120,40628,46682,
"        4165 Health policy researchers, consultants and program officers",235,51339,53788,
"        4166 Education policy researchers, consultants and program officers",215,52162,55353,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",115,39766,39165,
        4168 Program officers unique to government,180,6800,33364,
"        4169 Other professional occupations in social science, n.e.c.",20,0,0,
"    42 Paraprofessional occupations in legal, social, community and education services",4010,34037,33788,
"      421 Paraprofessional occupations in legal, social, community and education services",4010,34037,33788,
        4211 Paralegal and related occupations,375,42834,44004,
        4212 Social and community service workers,1655,41547,39596,
        4214 Early childhood educators and assistants,1500,28538,27668,
        4215 Instructors of persons with disabilities,110,35592,34610,
        4216 Other instructors,305,11911,21838,
        4217 Other religious occupations,65,17152,23268,
    43 Occupations in front-line public protection services,2010,101955,94592,
      431 Occupations in front-line public protection services,2010,101955,94592,
        4311 Police officers (except commissioned),1310,106295,101847,
        4312 Firefighters,560,99877,94239,
        4313 Non-commissioned ranks of the Canadian Armed Forces,140,16741,28018,
"    44 Care providers and educational, legal and public protection support occupations",3515,25212,27192,
      441 Home care providers and educational support occupations,3200,23430,23661,
        4411 Home child care providers,565,11661,14627,
"        4412 Home support workers, housekeepers and related occupations",1375,24094,24049,
        4413 Elementary and secondary school teacher assistants,1255,31480,27315,
      442 Legal and public protection support occupations,315,69856,62908,
        4421 Sheriffs and bailiffs,20,0,0,
        4422 Correctional service officers,165,73288,71351,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",130,64630,54671,
"  5 Occupations in art, culture, recreation and sport",5065,12525,21823,
    51 Professional occupations in art and culture,1355,10593,23321,
"      511 Librarians, archivists, conservators and curators",100,60270,71147,
        5111 Librarians,90,64252,75726,
        5112 Conservators and curators,10,0,0,
        5113 Archivists,0,0,0,
"      512 Writing, translating and related communications professionals",315,17848,27243,
        5121 Authors and writers,165,8628,18772,
        5122 Editors,45,55139,42687,
        5123 Journalists,60,40834,36669,
"        5125 Translators, terminologists and interpreters",45,0,0,
      513 Creative and performing artists,940,8805,16815,
"        5131 Producers, directors, choreographers and related occupations",110,35529,39273,
"        5132 Conductors, composers and arrangers",50,27940,23401,
        5133 Musicians and singers,400,7122,13254,
        5134 Dancers,70,5203,12099,
        5135 Actors and comedians,115,7222,16756,
"        5136 Painters, sculptors and other visual artists",195,8792,11708,
"    52 Technical occupations in art, culture, recreation and sport",3715,13348,21276,
"      521 Technical occupations in libraries, public archives, museums and art galleries",275,31414,28078,
        5211 Library and public archive technicians,155,37431,39501,
        5212 Technical occupations related to museums and art galleries,120,10450,13121,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",605,16673,25270,
        5221 Photographers,225,7518,11066,
        5222 Film and video camera operators,35,0,0,
        5223 Graphic arts technicians,20,0,0,
        5224 Broadcast technicians,10,0,0,
        5225 Audio and video recording technicians,95,31546,36748,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",145,40705,39454,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",80,31258,26623,
"      523 Announcers and other performers, n.e.c.",170,10834,25307,
        5231 Announcers and other broadcasters,50,43343,60751,
"        5232 Other performers, n.e.c.",120,6268,10492,
      524 Creative designers and craftspersons,1030,24052,27254,
        5241 Graphic designers and illustrators,490,27871,28457,
        5242 Interior designers and interior decorators,155,28273,30062,
"        5243 Theatre, fashion, exhibit and other creative designers",150,26592,36674,
        5244 Artisans and craftspersons,245,20082,17478,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",1630,8434,14425,
        5251 Athletes,30,0,0,
        5252 Coaches,110,14600,25070,
        5253 Sports officials and referees,75,4798,7454,
"        5254 Program leaders and instructors in recreation, sport and fitness",1410,8176,13600,
  6 Sales and service occupations,61740,16967,23086,
    62 Retail sales supervisors and specialized sales occupations,4195,36460,46975,
      621 Retail sales supervisors,905,24648,28905,
        6211 Retail sales supervisors,905,24648,28905,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,1060,50486,58675,
        6221 Technical sales specialists - wholesale trade,720,62535,71548,
        6222 Retail and wholesale buyers,340,26427,31359,
"      623 Insurance, real estate and financial sales occupations",2230,40428,48756,
        6231 Insurance agents and brokers,660,45535,51338,
        6232 Real estate agents and salespersons,960,31877,47252,
