"","noc_code","noc10"
"132","1422","  1 Business, finance and administration occupations"
"133","1423","  1 Business, finance and administration occupations"
"135","1431","  1 Business, finance and administration occupations"
"136","1432","  1 Business, finance and administration occupations"
"137","1434","  1 Business, finance and administration occupations"
"138","1435","  1 Business, finance and administration occupations"
"140","1451","  1 Business, finance and administration occupations"
"141","1452","  1 Business, finance and administration occupations"
"142","1454","  1 Business, finance and administration occupations"
"145","1511","  1 Business, finance and administration occupations"
"146","1512","  1 Business, finance and administration occupations"
"147","1513","  1 Business, finance and administration occupations"
"149","1521","  1 Business, finance and administration occupations"
"150","1522","  1 Business, finance and administration occupations"
"151","1523","  1 Business, finance and administration occupations"
"152","1524","  1 Business, finance and administration occupations"
"153","1525","  1 Business, finance and administration occupations"
"154","1526","  1 Business, finance and administration occupations"
"158","2111","  2 Natural and applied sciences and related occupations"
"159","2112","  2 Natural and applied sciences and related occupations"
"160","2113","  2 Natural and applied sciences and related occupations"
"161","2114","  2 Natural and applied sciences and related occupations"
"162","2115","  2 Natural and applied sciences and related occupations"
"164","2121","  2 Natural and applied sciences and related occupations"
"165","2122","  2 Natural and applied sciences and related occupations"
"166","2123","  2 Natural and applied sciences and related occupations"
"168","2131","  2 Natural and applied sciences and related occupations"
"169","2132","  2 Natural and applied sciences and related occupations"
"170","2133","  2 Natural and applied sciences and related occupations"
"171","2134","  2 Natural and applied sciences and related occupations"
"173","2141","  2 Natural and applied sciences and related occupations"
"174","2142","  2 Natural and applied sciences and related occupations"
"175","2143","  2 Natural and applied sciences and related occupations"
"176","2144","  2 Natural and applied sciences and related occupations"
"177","2145","  2 Natural and applied sciences and related occupations"
"178","2146","  2 Natural and applied sciences and related occupations"
"179","2147","  2 Natural and applied sciences and related occupations"
"180","2148","  2 Natural and applied sciences and related occupations"
"182","2151","  2 Natural and applied sciences and related occupations"
"183","2152","  2 Natural and applied sciences and related occupations"
"184","2153","  2 Natural and applied sciences and related occupations"
"185","2154","  2 Natural and applied sciences and related occupations"
"187","2161","  2 Natural and applied sciences and related occupations"
"189","2171","  2 Natural and applied sciences and related occupations"
"190","2172","  2 Natural and applied sciences and related occupations"
"191","2173","  2 Natural and applied sciences and related occupations"
"192","2174","  2 Natural and applied sciences and related occupations"
"193","2175","  2 Natural and applied sciences and related occupations"
"196","2211","  2 Natural and applied sciences and related occupations"
"197","2212","  2 Natural and applied sciences and related occupations"
"199","2221","  2 Natural and applied sciences and related occupations"
"200","2222","  2 Natural and applied sciences and related occupations"
"201","2223","  2 Natural and applied sciences and related occupations"
"202","2224","  2 Natural and applied sciences and related occupations"
"203","2225","  2 Natural and applied sciences and related occupations"
"205","2231","  2 Natural and applied sciences and related occupations"
"206","2232","  2 Natural and applied sciences and related occupations"
"207","2233","  2 Natural and applied sciences and related occupations"
"208","2234","  2 Natural and applied sciences and related occupations"
"210","2241","  2 Natural and applied sciences and related occupations"
"211","2242","  2 Natural and applied sciences and related occupations"
"212","2243","  2 Natural and applied sciences and related occupations"
"213","2244","  2 Natural and applied sciences and related occupations"
"215","2251","  2 Natural and applied sciences and related occupations"
"216","2252","  2 Natural and applied sciences and related occupations"
"217","2253","  2 Natural and applied sciences and related occupations"
"218","2254","  2 Natural and applied sciences and related occupations"
"219","2255","  2 Natural and applied sciences and related occupations"
"221","2261","  2 Natural and applied sciences and related occupations"
"222","2262","  2 Natural and applied sciences and related occupations"
"223","2263","  2 Natural and applied sciences and related occupations"
"224","2264","  2 Natural and applied sciences and related occupations"
"226","2271","  2 Natural and applied sciences and related occupations"
"227","2272","  2 Natural and applied sciences and related occupations"
"228","2273","  2 Natural and applied sciences and related occupations"
"229","2274","  2 Natural and applied sciences and related occupations"
"230","2275","  2 Natural and applied sciences and related occupations"
"232","2281","  2 Natural and applied sciences and related occupations"
"233","2282","  2 Natural and applied sciences and related occupations"
"234","2283","  2 Natural and applied sciences and related occupations"
"238","3011","  3 Health occupations"
"239","3012","  3 Health occupations"
"242","3111","  3 Health occupations"
"243","3112","  3 Health occupations"
"244","3113","  3 Health occupations"
"245","3114","  3 Health occupations"
"247","3121","  3 Health occupations"
"248","3122","  3 Health occupations"
"249","3124","  3 Health occupations"
"250","3125","  3 Health occupations"
"252","3131","  3 Health occupations"
"253","3132","  3 Health occupations"
"255","3141","  3 Health occupations"
"256","3142","  3 Health occupations"
"257","3143","  3 Health occupations"
"258","3144","  3 Health occupations"
"261","3211","  3 Health occupations"
"262","3212","  3 Health occupations"
"263","3213","  3 Health occupations"
"264","3214","  3 Health occupations"
"265","3215","  3 Health occupations"
"266","3216","  3 Health occupations"
"267","3217","  3 Health occupations"
"268","3219","  3 Health occupations"
"270","3221","  3 Health occupations"
"271","3222","  3 Health occupations"
"272","3223","  3 Health occupations"
"274","3231","  3 Health occupations"
"275","3232","  3 Health occupations"
"276","3233","  3 Health occupations"
"277","3234","  3 Health occupations"
"278","3236","  3 Health occupations"
"279","3237","  3 Health occupations"
"282","3411","  3 Health occupations"
"283","3413","  3 Health occupations"
"284","3414","  3 Health occupations"
"288","4011","  4 Occupations in education, law and social, community and government services"
"289","4012","  4 Occupations in education, law and social, community and government services"
"291","4021","  4 Occupations in education, law and social, community and government services"
"293","4031","  4 Occupations in education, law and social, community and government services"
"294","4032","  4 Occupations in education, law and social, community and government services"
"295","4033","  4 Occupations in education, law and social, community and government services"
"298","4111","  4 Occupations in education, law and social, community and government services"
"299","4112","  4 Occupations in education, law and social, community and government services"
"301","4151","  4 Occupations in education, law and social, community and government services"
"302","4152","  4 Occupations in education, law and social, community and government services"
"303","4153","  4 Occupations in education, law and social, community and government services"
"304","4154","  4 Occupations in education, law and social, community and government services"
"305","4155","  4 Occupations in education, law and social, community and government services"
"306","4156","  4 Occupations in education, law and social, community and government services"
"308","4161","  4 Occupations in education, law and social, community and government services"
"309","4162","  4 Occupations in education, law and social, community and government services"
"310","4163","  4 Occupations in education, law and social, community and government services"
"311","4164","  4 Occupations in education, law and social, community and government services"
"312","4165","  4 Occupations in education, law and social, community and government services"
"313","4166","  4 Occupations in education, law and social, community and government services"
"314","4167","  4 Occupations in education, law and social, community and government services"
"315","4168","  4 Occupations in education, law and social, community and government services"
"316","4169","  4 Occupations in education, law and social, community and government services"
"319","4211","  4 Occupations in education, law and social, community and government services"
"320","4212","  4 Occupations in education, law and social, community and government services"
"321","4214","  4 Occupations in education, law and social, community and government services"
"322","4215","  4 Occupations in education, law and social, community and government services"
"323","4216","  4 Occupations in education, law and social, community and government services"
"324","4217","  4 Occupations in education, law and social, community and government services"
"327","4311","  4 Occupations in education, law and social, community and government services"
"328","4312","  4 Occupations in education, law and social, community and government services"
"329","4313","  4 Occupations in education, law and social, community and government services"
"332","4411","  4 Occupations in education, law and social, community and government services"
"333","4412","  4 Occupations in education, law and social, community and government services"
"334","4413","  4 Occupations in education, law and social, community and government services"
"336","4421","  4 Occupations in education, law and social, community and government services"
"337","4422","  4 Occupations in education, law and social, community and government services"
"338","4423","  4 Occupations in education, law and social, community and government services"
"342","5111","  5 Occupations in art, culture, recreation and sport"
"343","5112","  5 Occupations in art, culture, recreation and sport"
"344","5113","  5 Occupations in art, culture, recreation and sport"
"346","5121","  5 Occupations in art, culture, recreation and sport"
"347","5122","  5 Occupations in art, culture, recreation and sport"
"348","5123","  5 Occupations in art, culture, recreation and sport"
"349","5125","  5 Occupations in art, culture, recreation and sport"
"351","5131","  5 Occupations in art, culture, recreation and sport"
"352","5132","  5 Occupations in art, culture, recreation and sport"
"353","5133","  5 Occupations in art, culture, recreation and sport"
"354","5134","  5 Occupations in art, culture, recreation and sport"
"355","5135","  5 Occupations in art, culture, recreation and sport"
"356","5136","  5 Occupations in art, culture, recreation and sport"
"359","5211","  5 Occupations in art, culture, recreation and sport"
"360","5212","  5 Occupations in art, culture, recreation and sport"
"362","5221","  5 Occupations in art, culture, recreation and sport"
"363","5222","  5 Occupations in art, culture, recreation and sport"
"364","5223","  5 Occupations in art, culture, recreation and sport"
"365","5224","  5 Occupations in art, culture, recreation and sport"
"366","5225","  5 Occupations in art, culture, recreation and sport"
"367","5226","  5 Occupations in art, culture, recreation and sport"
"368","5227","  5 Occupations in art, culture, recreation and sport"
"370","5231","  5 Occupations in art, culture, recreation and sport"
"371","5232","  5 Occupations in art, culture, recreation and sport"
"373","5241","  5 Occupations in art, culture, recreation and sport"
"374","5242","  5 Occupations in art, culture, recreation and sport"
"375","5243","  5 Occupations in art, culture, recreation and sport"
"376","5244","  5 Occupations in art, culture, recreation and sport"
"377","5245","  5 Occupations in art, culture, recreation and sport"
"379","5251","  5 Occupations in art, culture, recreation and sport"
"380","5252","  5 Occupations in art, culture, recreation and sport"
"381","5253","  5 Occupations in art, culture, recreation and sport"
"382","5254","  5 Occupations in art, culture, recreation and sport"
"386","6211","  6 Sales and service occupations"
"388","6221","  6 Sales and service occupations"
"389","6222","  6 Sales and service occupations"
"391","6231","  6 Sales and service occupations"
"392","6232","  6 Sales and service occupations"
"393","6235","  6 Sales and service occupations"
"396","6311","  6 Sales and service occupations"
"397","6312","  6 Sales and service occupations"
"398","6313","  6 Sales and service occupations"
"399","6314","  6 Sales and service occupations"
"400","6315","  6 Sales and service occupations"
"401","6316","  6 Sales and service occupations"
"403","6321","  6 Sales and service occupations"
"404","6322","  6 Sales and service occupations"
"406","6331","  6 Sales and service occupations"
"407","6332","  6 Sales and service occupations"
"409","6341","  6 Sales and service occupations"
"410","6342","  6 Sales and service occupations"
"411","6343","  6 Sales and service occupations"
"412","6344","  6 Sales and service occupations"
"413","6345","  6 Sales and service occupations"
"414","6346","  6 Sales and service occupations"
"417","6411","  6 Sales and service occupations"
"419","6421","  6 Sales and service occupations"
"422","6511","  6 Sales and service occupations"
"423","6512","  6 Sales and service occupations"
"424","6513","  6 Sales and service occupations"
"426","6521","  6 Sales and service occupations"
"427","6522","  6 Sales and service occupations"
"428","6523","  6 Sales and service occupations"
"429","6524","  6 Sales and service occupations"
"430","6525","  6 Sales and service occupations"
"432","6531","  6 Sales and service occupations"
"433","6532","  6 Sales and service occupations"
"434","6533","  6 Sales and service occupations"
"436","6541","  6 Sales and service occupations"
"438","6551","  6 Sales and service occupations"
"439","6552","  6 Sales and service occupations"
"441","6561","  6 Sales and service occupations"
"442","6562","  6 Sales and service occupations"
"443","6563","  6 Sales and service occupations"
"444","6564","  6 Sales and service occupations"
"447","6611","  6 Sales and service occupations"
"449","6621","  6 Sales and service occupations"
"450","6622","  6 Sales and service occupations"
"451","6623","  6 Sales and service occupations"
"454","6711","  6 Sales and service occupations"
"456","6721","  6 Sales and service occupations"
"457","6722","  6 Sales and service occupations"
"459","6731","  6 Sales and service occupations"
"460","6732","  6 Sales and service occupations"
"461","6733","  6 Sales and service occupations"
"463","6741","  6 Sales and service occupations"
"464","6742","  6 Sales and service occupations"
"468","7201","  7 Trades, transport and equipment operators and related occupations"
"469","7202","  7 Trades, transport and equipment operators and related occupations"
"470","7203","  7 Trades, transport and equipment operators and related occupations"
"471","7204","  7 Trades, transport and equipment operators and related occupations"
"472","7205","  7 Trades, transport and equipment operators and related occupations"
"474","7231","  7 Trades, transport and equipment operators and related occupations"
"475","7232","  7 Trades, transport and equipment operators and related occupations"
"476","7233","  7 Trades, transport and equipment operators and related occupations"
"477","7234","  7 Trades, transport and equipment operators and related occupations"
"478","7235","  7 Trades, transport and equipment operators and related occupations"
"479","7236","  7 Trades, transport and equipment operators and related occupations"
"480","7237","  7 Trades, transport and equipment operators and related occupations"
"482","7241","  7 Trades, transport and equipment operators and related occupations"
"483","7242","  7 Trades, transport and equipment operators and related occupations"
"484","7243","  7 Trades, transport and equipment operators and related occupations"
"485","7244","  7 Trades, transport and equipment operators and related occupations"
"486","7245","  7 Trades, transport and equipment operators and related occupations"
"487","7246","  7 Trades, transport and equipment operators and related occupations"
"488","7247","  7 Trades, transport and equipment operators and related occupations"
"490","7251","  7 Trades, transport and equipment operators and related occupations"
"491","7252","  7 Trades, transport and equipment operators and related occupations"
"492","7253","  7 Trades, transport and equipment operators and related occupations"
"494","7271","  7 Trades, transport and equipment operators and related occupations"
"495","7272","  7 Trades, transport and equipment operators and related occupations"
"497","7281","  7 Trades, transport and equipment operators and related occupations"
"498","7282","  7 Trades, transport and equipment operators and related occupations"
"499","7283","  7 Trades, transport and equipment operators and related occupations"
"500","7284","  7 Trades, transport and equipment operators and related occupations"
"502","7291","  7 Trades, transport and equipment operators and related occupations"
"503","7292","  7 Trades, transport and equipment operators and related occupations"
"504","7293","  7 Trades, transport and equipment operators and related occupations"
"505","7294","  7 Trades, transport and equipment operators and related occupations"
"506","7295","  7 Trades, transport and equipment operators and related occupations"
"509","7301","  7 Trades, transport and equipment operators and related occupations"
"510","7302","  7 Trades, transport and equipment operators and related occupations"
"511","7303","  7 Trades, transport and equipment operators and related occupations"
"512","7304","  7 Trades, transport and equipment operators and related occupations"
"513","7305","  7 Trades, transport and equipment operators and related occupations"
"515","7311","  7 Trades, transport and equipment operators and related occupations"
"516","7312","  7 Trades, transport and equipment operators and related occupations"
"517","7313","  7 Trades, transport and equipment operators and related occupations"
"518","7314","  7 Trades, transport and equipment operators and related occupations"
"519","7315","  7 Trades, transport and equipment operators and related occupations"
"520","7316","  7 Trades, transport and equipment operators and related occupations"
"521","7318","  7 Trades, transport and equipment operators and related occupations"
"523","7321","  7 Trades, transport and equipment operators and related occupations"
"524","7322","  7 Trades, transport and equipment operators and related occupations"
"526","7331","  7 Trades, transport and equipment operators and related occupations"
"527","7332","  7 Trades, transport and equipment operators and related occupations"
"528","7333","  7 Trades, transport and equipment operators and related occupations"
"529","7334","  7 Trades, transport and equipment operators and related occupations"
"530","7335","  7 Trades, transport and equipment operators and related occupations"
"532","7361","  7 Trades, transport and equipment operators and related occupations"
"533","7362","  7 Trades, transport and equipment operators and related occupations"
"535","7371","  7 Trades, transport and equipment operators and related occupations"
"536","7372","  7 Trades, transport and equipment operators and related occupations"
"537","7373","  7 Trades, transport and equipment operators and related occupations"
"539","7381","  7 Trades, transport and equipment operators and related occupations"
"540","7384","  7 Trades, transport and equipment operators and related occupations"
"543","7441","  7 Trades, transport and equipment operators and related occupations"
"544","7442","  7 Trades, transport and equipment operators and related occupations"
"545","7444","  7 Trades, transport and equipment operators and related occupations"
"546","7445","  7 Trades, transport and equipment operators and related occupations"
"548","7451","  7 Trades, transport and equipment operators and related occupations"
"549","7452","  7 Trades, transport and equipment operators and related occupations"
"552","7511","  7 Trades, transport and equipment operators and related occupations"
"553","7512","  7 Trades, transport and equipment operators and related occupations"
"554","7513","  7 Trades, transport and equipment operators and related occupations"
"555","7514","  7 Trades, transport and equipment operators and related occupations"
"557","7521","  7 Trades, transport and equipment operators and related occupations"
"558","7522","  7 Trades, transport and equipment operators and related occupations"
"560","7531","  7 Trades, transport and equipment operators and related occupations"
"561","7532","  7 Trades, transport and equipment operators and related occupations"
"562","7533","  7 Trades, transport and equipment operators and related occupations"
"563","7534","  7 Trades, transport and equipment operators and related occupations"
"564","7535","  7 Trades, transport and equipment operators and related occupations"
"567","7611","  7 Trades, transport and equipment operators and related occupations"
"568","7612","  7 Trades, transport and equipment operators and related occupations"
"570","7621","  7 Trades, transport and equipment operators and related occupations"
"571","7622","  7 Trades, transport and equipment operators and related occupations"
"575","8211","  8 Natural resources, agriculture and related production occupations"
"577","8221","  8 Natural resources, agriculture and related production occupations"
"578","8222","  8 Natural resources, agriculture and related production occupations"
"580","8231","  8 Natural resources, agriculture and related production occupations"
"581","8232","  8 Natural resources, agriculture and related production occupations"
"583","8241","  8 Natural resources, agriculture and related production occupations"
"585","8252","  8 Natural resources, agriculture and related production occupations"
"586","8255","  8 Natural resources, agriculture and related production occupations"
"588","8261","  8 Natural resources, agriculture and related production occupations"
"589","8262","  8 Natural resources, agriculture and related production occupations"
"592","8411","  8 Natural resources, agriculture and related production occupations"
"593","8412","  8 Natural resources, agriculture and related production occupations"
"595","8421","  8 Natural resources, agriculture and related production occupations"
"596","8422","  8 Natural resources, agriculture and related production occupations"
"598","8431","  8 Natural resources, agriculture and related production occupations"
"599","8432","  8 Natural resources, agriculture and related production occupations"
"601","8441","  8 Natural resources, agriculture and related production occupations"
"602","8442","  8 Natural resources, agriculture and related production occupations"
"605","8611","  8 Natural resources, agriculture and related production occupations"
"606","8612","  8 Natural resources, agriculture and related production occupations"
"607","8613","  8 Natural resources, agriculture and related production occupations"
"608","8614","  8 Natural resources, agriculture and related production occupations"
"609","8615","  8 Natural resources, agriculture and related production occupations"
"610","8616","  8 Natural resources, agriculture and related production occupations"
"614","9211","  9 Occupations in manufacturing and utilities"
"615","9212","  9 Occupations in manufacturing and utilities"
"616","9213","  9 Occupations in manufacturing and utilities"
"617","9214","  9 Occupations in manufacturing and utilities"
"618","9215","  9 Occupations in manufacturing and utilities"
"619","9217","  9 Occupations in manufacturing and utilities"
"621","9221","  9 Occupations in manufacturing and utilities"
"622","9222","  9 Occupations in manufacturing and utilities"
"623","9223","  9 Occupations in manufacturing and utilities"
"624","9224","  9 Occupations in manufacturing and utilities"
"625","9226","  9 Occupations in manufacturing and utilities"
"626","9227","  9 Occupations in manufacturing and utilities"
"628","9231","  9 Occupations in manufacturing and utilities"
"629","9232","  9 Occupations in manufacturing and utilities"
"630","9235","  9 Occupations in manufacturing and utilities"
"632","9241","  9 Occupations in manufacturing and utilities"
"633","9243","  9 Occupations in manufacturing and utilities"
"636","9411","  9 Occupations in manufacturing and utilities"
"637","9412","  9 Occupations in manufacturing and utilities"
"638","9413","  9 Occupations in manufacturing and utilities"
"639","9414","  9 Occupations in manufacturing and utilities"
"640","9415","  9 Occupations in manufacturing and utilities"
"641","9416","  9 Occupations in manufacturing and utilities"
"642","9417","  9 Occupations in manufacturing and utilities"
"643","9418","  9 Occupations in manufacturing and utilities"
"645","9421","  9 Occupations in manufacturing and utilities"
"646","9422","  9 Occupations in manufacturing and utilities"
"647","9423","  9 Occupations in manufacturing and utilities"
"649","9431","  9 Occupations in manufacturing and utilities"
"650","9432","  9 Occupations in manufacturing and utilities"
"651","9433","  9 Occupations in manufacturing and utilities"
"652","9434","  9 Occupations in manufacturing and utilities"
"653","9435","  9 Occupations in manufacturing and utilities"
"654","9436","  9 Occupations in manufacturing and utilities"
"655","9437","  9 Occupations in manufacturing and utilities"
"657","9441","  9 Occupations in manufacturing and utilities"
"658","9442","  9 Occupations in manufacturing and utilities"
"659","9445","  9 Occupations in manufacturing and utilities"
"660","9446","  9 Occupations in manufacturing and utilities"
"661","9447","  9 Occupations in manufacturing and utilities"
"663","9461","  9 Occupations in manufacturing and utilities"
"664","9462","  9 Occupations in manufacturing and utilities"
"665","9463","  9 Occupations in manufacturing and utilities"
"666","9465","  9 Occupations in manufacturing and utilities"
"668","9471","  9 Occupations in manufacturing and utilities"
"669","9472","  9 Occupations in manufacturing and utilities"
"670","9473","  9 Occupations in manufacturing and utilities"
"671","9474","  9 Occupations in manufacturing and utilities"
"674","9521","  9 Occupations in manufacturing and utilities"
"675","9522","  9 Occupations in manufacturing and utilities"
"676","9523","  9 Occupations in manufacturing and utilities"
"677","9524","  9 Occupations in manufacturing and utilities"
"678","9525","  9 Occupations in manufacturing and utilities"
"679","9526","  9 Occupations in manufacturing and utilities"
"680","9527","  9 Occupations in manufacturing and utilities"
"682","9531","  9 Occupations in manufacturing and utilities"
"683","9532","  9 Occupations in manufacturing and utilities"
"684","9533","  9 Occupations in manufacturing and utilities"
"685","9534","  9 Occupations in manufacturing and utilities"
"686","9535","  9 Occupations in manufacturing and utilities"
"687","9536","  9 Occupations in manufacturing and utilities"
"688","9537","  9 Occupations in manufacturing and utilities"
"691","9611","  9 Occupations in manufacturing and utilities"
"692","9612","  9 Occupations in manufacturing and utilities"
"693","9613","  9 Occupations in manufacturing and utilities"
"694","9614","  9 Occupations in manufacturing and utilities"
"695","9615","  9 Occupations in manufacturing and utilities"
"696","9616","  9 Occupations in manufacturing and utilities"
"697","9617","  9 Occupations in manufacturing and utilities"
"698","9618","  9 Occupations in manufacturing and utilities"
"699","9619","  9 Occupations in manufacturing and utilities"
