"","occupation","employment","median.income","mean.income","geography"
"157","      211 Physical science professionals","25","0","0","Abbotsford - Mission"
"158","        2111 Physicists and astronomers","0","0","0","Abbotsford - Mission"
"159","        2112 Chemists","0","0","0","Abbotsford - Mission"
"160","        2113 Geoscientists and oceanographers","25","0","0","Abbotsford - Mission"
"161","        2114 Meteorologists and climatologists","0","0","0","Abbotsford - Mission"
"162","        2115 Other professional occupations in physical sciences","0","0","0","Abbotsford - Mission"
"163","      212 Life science professionals","90","63861","60779","Abbotsford - Mission"
"164","        2121 Biologists and related scientists","45","75904","73597","Abbotsford - Mission"
"165","        2122 Forestry professionals","0","0","0","Abbotsford - Mission"
"166","        2123 Agricultural representatives, consultants and specialists","35","37206","49471","Abbotsford - Mission"
"167","      213 Civil, mechanical, electrical and chemical engineers","315","68717","69281","Abbotsford - Mission"
"168","        2131 Civil engineers","130","68972","67216","Abbotsford - Mission"
"169","        2132 Mechanical engineers","110","68988","73300","Abbotsford - Mission"
"170","        2133 Electrical and electronics engineers","65","62865","70940","Abbotsford - Mission"
"171","        2134 Chemical engineers","10","0","0","Abbotsford - Mission"
"172","      214 Other engineers","105","80841","83776","Abbotsford - Mission"
"173","        2141 Industrial and manufacturing engineers","35","89617","68163","Abbotsford - Mission"
"174","        2142 Metallurgical and materials engineers","10","0","0","Abbotsford - Mission"
"175","        2143 Mining engineers","0","0","0","Abbotsford - Mission"
"176","        2144 Geological engineers","0","0","0","Abbotsford - Mission"
"177","        2145 Petroleum engineers","0","0","0","Abbotsford - Mission"
"178","        2146 Aerospace engineers","25","89071","88112","Abbotsford - Mission"
"179","        2147 Computer engineers (except software engineers and designers)","15","0","0","Abbotsford - Mission"
"180","        2148 Other professional engineers, n.e.c.","15","0","0","Abbotsford - Mission"
"181","      215 Architects, urban planners and land surveyors","65","88081","93802","Abbotsford - Mission"
"182","        2151 Architects","10","0","0","Abbotsford - Mission"
"183","        2152 Landscape architects","0","0","0","Abbotsford - Mission"
"184","        2153 Urban and land use planners","30","0","124903","Abbotsford - Mission"
"185","        2154 Land surveyors","25","0","85800","Abbotsford - Mission"
"186","      216 Mathematicians, statisticians and actuaries","10","0","0","Abbotsford - Mission"
"187","        2161 Mathematicians, statisticians and actuaries","10","0","0","Abbotsford - Mission"
"188","      217 Computer and information systems professionals","620","56291","55740","Abbotsford - Mission"
"189","        2171 Information systems analysts and consultants","280","60696","61397","Abbotsford - Mission"
"190","        2172 Database analysts and data administrators","35","0","0","Abbotsford - Mission"
"191","        2173 Software engineers and designers","40","79347","85687","Abbotsford - Mission"
"192","        2174 Computer programmers and interactive media developers","155","54566","49760","Abbotsford - Mission"
"193","        2175 Web designers and developers","105","38753","41225","Abbotsford - Mission"
"194","    22 Technical occupations related to natural and applied sciences","2160","55910","56541","Abbotsford - Mission"
"195","      221 Technical occupations in physical sciences","120","22914","33147","Abbotsford - Mission"
"196","        2211 Chemical technologists and technicians","90","16350","30692","Abbotsford - Mission"
"197","        2212 Geological and mineral technologists and technicians","30","0","0","Abbotsford - Mission"
"198","      222 Technical occupations in life sciences","260","45071","43761","Abbotsford - Mission"
"199","        2221 Biological technologists and technicians","70","36429","41541","Abbotsford - Mission"
"200","        2222 Agricultural and fish products inspectors","40","46896","46296","Abbotsford - Mission"
"201","        2223 Forestry technologists and technicians","30","0","0","Abbotsford - Mission"
"202","        2224 Conservation and fishery officers","20","0","0","Abbotsford - Mission"
"203","        2225 Landscape and horticulture technicians and specialists","110","52381","43270","Abbotsford - Mission"
"204","      223 Technical occupations in civil, mechanical and industrial engineering","320","60192","62674","Abbotsford - Mission"
"205","        2231 Civil engineering technologists and technicians","75","47664","51127","Abbotsford - Mission"
"206","        2232 Mechanical engineering technologists and technicians","80","53426","53017","Abbotsford - Mission"
"207","        2233 Industrial engineering and manufacturing technologists and technicians","45","61427","59101","Abbotsford - Mission"
"208","        2234 Construction estimators","130","69599","76428","Abbotsford - Mission"
"209","      224 Technical occupations in electronics and electrical engineering","485","54878","55383","Abbotsford - Mission"
"210","        2241 Electrical and electronics engineering technologists and technicians","145","60509","59252","Abbotsford - Mission"
"211","        2242 Electronic service technicians (household and business equipment)","265","43222","46329","Abbotsford - Mission"
"212","        2243 Industrial instrument technicians and mechanics","25","0","0","Abbotsford - Mission"
"213","        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","50","75404","65976","Abbotsford - Mission"
"214","      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","250","48780","49344","Abbotsford - Mission"
"215","        2251 Architectural technologists and technicians","20","0","0","Abbotsford - Mission"
"216","        2252 Industrial designers","20","0","0","Abbotsford - Mission"
"217","        2253 Drafting technologists and technicians","165","40651","45919","Abbotsford - Mission"
"218","        2254 Land survey technologists and technicians","10","0","0","Abbotsford - Mission"
"219","        2255 Technical occupations in geomatics and meteorology","25","0","0","Abbotsford - Mission"
"220","      226 Other technical inspectors and regulatory officers","265","64501","57655","Abbotsford - Mission"
"221","        2261 Non-destructive testers and inspection technicians","40","69925","68851","Abbotsford - Mission"
"222","        2262 Engineering inspectors and regulatory officers","20","0","0","Abbotsford - Mission"
"223","        2263 Inspectors in public and environmental health and occupational health and safety","135","66152","57768","Abbotsford - Mission"
"224","        2264 Construction inspectors","70","54823","47095","Abbotsford - Mission"
"225","      227 Transportation officers and controllers","190","98401","99121","Abbotsford - Mission"
"226","        2271 Air pilots, flight engineers and flying instructors","115","64913","87977","Abbotsford - Mission"
"227","        2272 Air traffic controllers and related occupations","25","0","0","Abbotsford - Mission"
"228","        2273 Deck officers, water transport","35","110075","135497","Abbotsford - Mission"
"229","        2274 Engineer officers, water transport","10","0","0","Abbotsford - Mission"
"230","        2275 Railway traffic controllers and marine traffic regulators","0","0","0","Abbotsford - Mission"
"231","      228 Technical occupations in computer and information systems","270","50133","49902","Abbotsford - Mission"
"232","        2281 Computer network technicians","135","57200","49805","Abbotsford - Mission"
"233","        2282 User support technicians","110","50146","52228","Abbotsford - Mission"
"234","        2283 Information systems testing technicians","20","0","0","Abbotsford - Mission"
"235","  3 Health occupations","5845","44268","53549","Abbotsford - Mission"
"236","    30 Professional occupations in nursing","1500","65632","63299","Abbotsford - Mission"
"237","      301 Professional occupations in nursing","1500","65632","63299","Abbotsford - Mission"
"238","        3011 Nursing co-ordinators and supervisors","100","71507","66417","Abbotsford - Mission"
"239","        3012 Registered nurses and registered psychiatric nurses","1395","64746","63067","Abbotsford - Mission"
"240","    31 Professional occupations in health (except nursing)","955","81841","99473","Abbotsford - Mission"
"241","      311 Physicians, dentists and veterinarians","495","105262","132412","Abbotsford - Mission"
"242","        3111 Specialist physicians","170","155144","209505","Abbotsford - Mission"
"243","        3112 General practitioners and family physicians","175","69749","78821","Abbotsford - Mission"
"244","        3113 Dentists","80","103343","115637","Abbotsford - Mission"
"245","        3114 Veterinarians","80","119882","101651","Abbotsford - Mission"
"246","      312 Optometrists, chiropractors and other health diagnosing and treating professionals","65","69368","70765","Abbotsford - Mission"
"247","        3121 Optometrists","15","0","0","Abbotsford - Mission"
"248","        3122 Chiropractors","35","44259","52776","Abbotsford - Mission"
"249","        3124 Allied primary health practitioners","15","0","0","Abbotsford - Mission"
"250","        3125 Other professional occupations in health diagnosing and treating","0","0","0","Abbotsford - Mission"
"251","      313 Pharmacists, dietitians and nutritionists","160","86927","80403","Abbotsford - Mission"
"252","        3131 Pharmacists","110","100052","97502","Abbotsford - Mission"
"253","        3132 Dietitians and nutritionists","45","36529","36674","Abbotsford - Mission"
"254","      314 Therapy and assessment professionals","240","46908","51794","Abbotsford - Mission"
"255","        3141 Audiologists and speech-language pathologists","20","0","0","Abbotsford - Mission"
"256","        3142 Physiotherapists","100","47059","54084","Abbotsford - Mission"
"257","        3143 Occupational therapists","50","69039","61789","Abbotsford - Mission"
"258","        3144 Other professional occupations in therapy and assessment","65","25668","34071","Abbotsford - Mission"
"259","    32 Technical occupations in health","1580","39644","41213","Abbotsford - Mission"
"260","      321 Medical technologists and technicians (except dental health)","785","38441","39370","Abbotsford - Mission"
"261","        3211 Medical laboratory technologists","75","60052","50343","Abbotsford - Mission"
"262","        3212 Medical laboratory technicians and pathologists' assistants","135","38235","36790","Abbotsford - Mission"
"263","        3213 Animal health technologists and veterinary technicians","145","22079","23586","Abbotsford - Mission"
"264","        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","40","76659","72070","Abbotsford - Mission"
"265","        3215 Medical radiation technologists","50","71337","56557","Abbotsford - Mission"
"266","        3216 Medical sonographers","25","0","0","Abbotsford - Mission"
"267","        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.","10","0","0","Abbotsford - Mission"
"268","        3219 Other medical technologists and technicians (except dental health)","305","37011","36398","Abbotsford - Mission"
"269","      322 Technical occupations in dental health care","140","54669","52176","Abbotsford - Mission"
"270","        3221 Denturists","10","0","0","Abbotsford - Mission"
"271","        3222 Dental hygienists and dental therapists","115","60471","54446","Abbotsford - Mission"
"272","        3223 Dental technologists, technicians and laboratory assistants","20","0","0","Abbotsford - Mission"
"273","      323 Other technical occupations in health care","655","40539","41004","Abbotsford - Mission"
"274","        3231 Opticians","50","36223","35336","Abbotsford - Mission"
"275","        3232 Practitioners of natural healing","40","0","0","Abbotsford - Mission"
"276","        3233 Licensed practical nurses","300","45770","43253","Abbotsford - Mission"
"277","        3234 Paramedical occupations","120","69186","58236","Abbotsford - Mission"
"278","        3236 Massage therapists","105","13587","29020","Abbotsford - Mission"
"279","        3237 Other technical occupations in therapy and assessment","40","32053","32807","Abbotsford - Mission"
"280","    34 Assisting occupations in support of health services","1810","31987","31890","Abbotsford - Mission"
"281","      341 Assisting occupations in support of health services","1810","31987","31890","Abbotsford - Mission"
"282","        3411 Dental assistants","255","34457","32966","Abbotsford - Mission"
"283","        3413 Nurse aides, orderlies and patient service associates","1365","31795","32171","Abbotsford - Mission"
"284","        3414 Other assisting occupations in support of health services","190","25835","28462","Abbotsford - Mission"
"285","  4 Occupations in education, law and social, community and government services","9580","39562","46581","Abbotsford - Mission"
"286","    40 Professional occupations in education services","2740","59914","56444","Abbotsford - Mission"
"287","      401 University professors and post-secondary assistants","325","53543","53552","Abbotsford - Mission"
"288","        4011 University professors and lecturers","195","80848","71166","Abbotsford - Mission"
"289","        4012 Post-secondary teaching and research assistants","135","13658","27786","Abbotsford - Mission"
"290","      402 College and other vocational instructors","255","36899","51152","Abbotsford - Mission"
"291","        4021 College and other vocational instructors","255","36899","51152","Abbotsford - Mission"
"292","      403 Secondary and elementary school teachers and educational counsellors","2160","61969","57504","Abbotsford - Mission"
"293","        4031 Secondary school teachers","690","67898","62829","Abbotsford - Mission"
"294","        4032 Elementary school and kindergarten teachers","1335","57711","55011","Abbotsford - Mission"
"295","        4033 Educational counsellors","135","54821","54974","Abbotsford - Mission"
"296","    41 Professional occupations in law and social, community and government services","1770","47117","51397","Abbotsford - Mission"
"297","      411 Judges, lawyers and Quebec notaries","210","59315","69991","Abbotsford - Mission"
"298","        4111 Judges","10","0","0","Abbotsford - Mission"
