"","occupation","employment","median.income","mean.income","geography"
"69524","        9615 Labourers in rubber and plastic products manufacturing","395","44082","40933","Nova Scotia / Nouvelle-…cosse"
"69624","        9616 Labourers in textile processing","110","23077","24203","Nova Scotia / Nouvelle-…cosse"
"69724","        9617 Labourers in food and beverage processing","1245","20505","23713","Nova Scotia / Nouvelle-…cosse"
"69824","        9618 Labourers in fish and seafood processing","2170","13699","17336","Nova Scotia / Nouvelle-…cosse"
"69924","        9619 Other labourers in processing, manufacturing and utilities","1300","22506","25527","Nova Scotia / Nouvelle-…cosse"
"70024","Note","","","","Nova Scotia / Nouvelle-…cosse"
"70128","[1] For more information on the Visible minority variable, including information on its classification, the questions from which it is derived, data quality and its comparability with other sources of data, please refer to the Visible Minority and Population Group Reference Guide, Census of Population, 2016.","","","","Nova Scotia / Nouvelle-…cosse"
"70226","[1] Users are advised to consult data quality comments for 'Highest certificate, diploma or degree,' available in the Education Reference Guide, Census of Population, 2016, Catalogue no. 98-500-X2016013.","","","","Nova Scotia / Nouvelle-…cosse"
"70324","[1] Refers to the number of weeks in which a person aged 15 years and over worked for pay or in self-employment in 2015 at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week). Full year is 49 weeks or over. Part year is less than 49 weeks.","","","","Nova Scotia / Nouvelle-…cosse"
"70424","[2] Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period. For the 2016 Census, the reference period is the calendar year 2015 for all income variables.","","","","Nova Scotia / Nouvelle-…cosse"
"70524","[3] Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves, i.e., the incomes of half of the units in that group are below the median, while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative).","","","","Nova Scotia / Nouvelle-…cosse"
"70624","[4] Average income - Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes of individuals are calculated for those with income (positive or negative).","","","","Nova Scotia / Nouvelle-…cosse"
"70724","[5] Refers to the kind of work performed by persons aged 15 years and over as determined by their kind of work and the description of the main activities in their job. The occupation data are produced according to the NOC 2016.","","","","Nova Scotia / Nouvelle-…cosse"
"70824","Source: Statistics Canada - 2016 Census. Catalogue Number 98-400-X2016356.","","","","Nova Scotia / Nouvelle-…cosse"
"9109","Total - Occupation - National Occupational Classification (NOC) 2016 [8]","15675","42368","58607","Nunavut [1]"
"10109","  0 Management occupations","1375","117504","112040","Nunavut [1]"
"11109","    00 Senior management occupations","240","131584","138174","Nunavut [1]"
"12109","      001 Legislators and senior management","240","131584","138174","Nunavut [1]"
"13109","        0011 Legislators","60","86656","92676","Nunavut [1]"
"14109","        0012 Senior government managers and officials","90","145408","152400","Nunavut [1]"
"15109","        0013 Senior managers - financial, communications and other business services","30","157184","174856","Nunavut [1]"
"16109","        0014 Senior managers - health, education, social and community services and membership organizations","35","136704","149250","Nunavut [1]"
"17109","        0015 Senior managers - trade, broadcasting and other services, n.e.c.","15","122496","156855","Nunavut [1]"
"18109","        0016 Senior managers - construction, transportation, production and utilities","20","125696","132291","Nunavut [1]"
"19109","    01-05 Specialized middle management occupations","630","132096","128805","Nunavut [1]"
"20109","      011 Administrative services managers","205","130560","133434","Nunavut [1]"
"21109","        0111 Financial managers","100","133376","132963","Nunavut [1]"
"22109","        0112 Human resources managers","45","133888","130980","Nunavut [1]"
"23109","        0113 Purchasing managers","10","103168","102085","Nunavut [1]"
"24109","        0114 Other administrative services managers","50","127232","143876","Nunavut [1]"
"25109","      012 Managers in financial and business services","55","123221","120733","Nunavut [1]"
"26109","        0121 Insurance, real estate and financial brokerage managers","10","0","0","Nunavut [1]"
"27109","        0122 Banking, credit and other investment managers","20","133376","136862","Nunavut [1]"
"28109","        0124 Advertising, marketing and public relations managers","20","113152","111542","Nunavut [1]"
"29109","        0125 Other business services managers","10","0","0","Nunavut [1]"
"30109","      013 Managers in communication (except broadcasting)","0","0","0","Nunavut [1]"
"31109","        0131 Telecommunication carriers managers","10","0","0","Nunavut [1]"
"32109","        0132 Postal and courier services managers","0","0","0","Nunavut [1]"
"33109","      021 Managers in engineering, architecture, science and information systems","25","140544","151367","Nunavut [1]"
"34109","        0211 Engineering managers","0","0","0","Nunavut [1]"
"35109","        0212 Architecture and science managers","10","0","0","Nunavut [1]"
"36109","        0213 Computer and information systems managers","0","0","0","Nunavut [1]"
"37109","      031 Managers in health care","25","132608","126369","Nunavut [1]"
"38109","        0311 Managers in health care","25","132608","126369","Nunavut [1]"
"39109","      041 Managers in public administration","120","133888","139233","Nunavut [1]"
"40109","        0411 Government managers - health and social policy development and program administration","50","143872","142338","Nunavut [1]"
"41109","        0412 Government managers - economic analysis, policy development and program administration","30","152064","142525","Nunavut [1]"
"42109","        0413 Government managers - education policy development and program administration","10","143360","140112","Nunavut [1]"
"43109","        0414 Other managers in public administration","35","128768","131322","Nunavut [1]"
"44109","      042 Managers in education and social and community services","160","133530","122573","Nunavut [1]"
"45109","        0421 Administrators - post-secondary education and vocational training","20","125696","128592","Nunavut [1]"
"46109","        0422 School principals and administrators of elementary and secondary education","65","146773","145557","Nunavut [1]"
"47109","        0423 Managers in social, community and correctional services","75","104704","101187","Nunavut [1]"
"48109","      043 Managers in public protection services","10","0","0","Nunavut [1]"
"49109","        0431 Commissioned police officers","0","0","0","Nunavut [1]"
"50109","        0432 Fire chiefs and senior firefighting officers","0","0","0","Nunavut [1]"
"51109","        0433 Commissioned officers of the Canadian Armed Forces","0","0","0","Nunavut [1]"
"52109","      051 Managers in art, culture, recreation and sport","25","60928","65495","Nunavut [1]"
"53109","        0511 Library, archive, museum and art gallery managers","0","0","0","Nunavut [1]"
"54109","        0512 Managers - publishing, motion pictures, broadcasting and performing arts","10","0","0","Nunavut [1]"
"55109","        0513 Recreation, sports and fitness program and service directors","10","77824","70451","Nunavut [1]"
"56109","    06 Middle management occupations in retail and wholesale trade and customer services","265","61312","68128","Nunavut [1]"
"57109","      060 Corporate sales managers","0","0","0","Nunavut [1]"
"58109","        0601 Corporate sales managers","10","0","0","Nunavut [1]"
"59109","      062 Retail and wholesale trade managers","185","58539","65672","Nunavut [1]"
"60109","        0621 Retail and wholesale trade managers","185","58539","65672","Nunavut [1]"
"61109","      063 Managers in food service and accommodation","70","64768","67197","Nunavut [1]"
"62109","        0631 Restaurant and food service managers","25","46208","56879","Nunavut [1]"
"63109","        0632 Accommodation service managers","40","72960","73676","Nunavut [1]"
"64109","      065 Managers in customer and personal services, n.e.c.","10","80640","81334","Nunavut [1]"
"65109","        0651 Managers in customer and personal services, n.e.c.","10","80640","81334","Nunavut [1]"
"66109","    07-09 Middle management occupations in trades, transportation, production and utilities","240","86784","90430","Nunavut [1]"
"67109","      071 Managers in construction and facility operation and maintenance","170","82176","85907","Nunavut [1]"
"68109","        0711 Construction managers","40","86784","99611","Nunavut [1]"
"69109","        0712 Home building and renovation managers","35","23904","36586","Nunavut [1]"
"70104","        0714 Facility operation and maintenance managers","90","105899","99635","Nunavut [1]"
"7125","      073 Managers in transportation","30","73856","85196","Nunavut [1]"
"7225","        0731 Managers in transportation","30","73856","85196","Nunavut [1]"
"7325","      081 Managers in natural resources production and fishing","15","108544","110066","Nunavut [1]"
"7425","        0811 Managers in natural resources production and fishing","15","108544","110066","Nunavut [1]"
"7525","      082 Managers in agriculture, horticulture and aquaculture","0","0","0","Nunavut [1]"
"7625","        0821 Managers in agriculture","0","0","0","Nunavut [1]"
"7725","        0822 Managers in horticulture","0","0","0","Nunavut [1]"
"7825","        0823 Managers in aquaculture","0","0","0","Nunavut [1]"
"7925","      091 Managers in manufacturing and utilities","20","118528","119319","Nunavut [1]"
"8025","        0911 Manufacturing managers","0","0","0","Nunavut [1]"
"8125","        0912 Utilities managers","15","101888","115267","Nunavut [1]"
"8225","  1 Business, finance and administration occupations","2325","76928","72776","Nunavut [1]"
"8325","    11 Professional occupations in business and finance","250","101120","96563","Nunavut [1]"
"8425","      111 Auditors, accountants and investment professionals","100","113152","104672","Nunavut [1]"
"8525","        1111 Financial auditors and accountants","40","121344","110624","Nunavut [1]"
"8625","        1112 Financial and investment analysts","20","114048","102240","Nunavut [1]"
"8725","        1113 Securities agents, investment dealers and brokers","0","0","0","Nunavut [1]"
"8825","        1114 Other financial officers","30","97536","98029","Nunavut [1]"
"8925","      112 Human resources and business service professionals","150","98355","91299","Nunavut [1]"
"9025","        1121 Human resources professionals","85","99968","91952","Nunavut [1]"
"9129","        1122 Professional occupations in business management consulting","15","93696","86918","Nunavut [1]"
"9227","        1123 Professional occupations in advertising, marketing and public relations","55","94720","91618","Nunavut [1]"
"9325","    12 Administrative and financial supervisors and administrative occupations","940","84261","80119","Nunavut [1]"
"9425","      121 Administrative services supervisors","55","52864","67286","Nunavut [1]"
"9525","        1211 Supervisors, general office and administrative support workers","10","85760","91761","Nunavut [1]"
"9625","        1212 Supervisors, finance and insurance office workers","10","134656","115459","Nunavut [1]"
"9725","        1213 Supervisors, library, correspondence and related information workers","0","0","0","Nunavut [1]"
"9825","        1214 Supervisors, mail and message distribution occupations","20","13504","25800","Nunavut [1]"
"9925","        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations","20","62080","59979","Nunavut [1]"
"10025","      122 Administrative and regulatory occupations","590","92331","87394","Nunavut [1]"
"10129","        1221 Administrative officers","295","81664","81527","Nunavut [1]"
"10227","        1222 Executive assistants","55","101120","99327","Nunavut [1]"
"10325","        1223 Human resources and recruitment officers","50","102912","91975","Nunavut [1]"
"10425","        1224 Property administrators","75","97536","89568","Nunavut [1]"
"10525","        1225 Purchasing agents and officers","70","95232","93023","Nunavut [1]"
"10625","        1226 Conference and event planners","10","0","0","Nunavut [1]"
"10725","        1227 Court officers and justices of the peace","15","110336","96910","Nunavut [1]"
"10825","        1228 Employment insurance, immigration, border services and revenue officers","20","98816","99401","Nunavut [1]"
"10925","      124 Office administrative assistants - general, legal and medical","270","73472","67728","Nunavut [1]"
"11025","        1241 Administrative assistants","230","74240","67364","Nunavut [1]"
"11129","        1242 Legal administrative assistants","15","62848","62974","Nunavut [1]"
"11227","        1243 Medical administrative assistants","20","79104","74675","Nunavut [1]"
"11325","      125 Court reporters, transcriptionists, records management technicians and statistical officers","20","81664","71441","Nunavut [1]"
"11425","        1251 Court reporters, medical transcriptionists and related occupations","0","0","0","Nunavut [1]"
"11525","        1252 Health information management occupations","10","0","0","Nunavut [1]"
"11625","        1253 Records management technicians","10","100864","91523","Nunavut [1]"
"11725","        1254 Statistical officers and related research support occupations","0","0","0","Nunavut [1]"
"11825","    13 Finance, insurance and related business administrative occupations","170","99328","92073","Nunavut [1]"
"11925","      131 Finance, insurance and related business administrative occupations","170","99328","92073","Nunavut [1]"
"12025","        1311 Accounting technicians and bookkeepers","160","98560","91879","Nunavut [1]"
"12129","        1312 Insurance adjusters and claims examiners","10","0","0","Nunavut [1]"
"12227","        1313 Insurance underwriters","0","0","0","Nunavut [1]"
"12325","        1314 Assessors, valuators and appraisers","0","0","0","Nunavut [1]"
"12425","        1315 Customs, ship and other brokers","0","0","0","Nunavut [1]"
"12525","    14 Office support occupations","835","56704","57455","Nunavut [1]"
"12625","      141 General office workers","555","42368","49803","Nunavut [1]"
"12725","        1411 General office support workers","350","42581","51625","Nunavut [1]"
"12825","        1414 Receptionists","180","33216","41694","Nunavut [1]"
"12925","        1415 Personnel clerks","20","81664","75244","Nunavut [1]"
"13025","        1416 Court clerks","0","0","0","Nunavut [1]"
"13129","      142 Office equipment operators","45","70656","69662","Nunavut [1]"
"13227","        1422 Data entry clerks","50","70656","69662","Nunavut [1]"
"13325","        1423 Desktop publishing operators and related occupations","0","0","0","Nunavut [1]"
"13425","      143 Financial, insurance and related administrative support workers","175","87296","83005","Nunavut [1]"
"13525","        1431 Accounting and related clerks","105","71936","75500","Nunavut [1]"
"13625","        1432 Payroll administrators","55","103552","96614","Nunavut [1]"
"13725","        1434 Banking, insurance and other financial clerks","0","0","0","Nunavut [1]"
"13825","        1435 Collectors","0","0","0","Nunavut [1]"
"13925","      145 Library, correspondence and other clerks","65","22336","46804","Nunavut [1]"
"14025","        1451 Library assistants and clerks","10","0","0","Nunavut [1]"
"14129","        1452 Correspondence, publication and regulatory clerks","30","84736","72104","Nunavut [1]"
"14227","        1454 Survey interviewers and statistical clerks","20","3128","26381","Nunavut [1]"
"14325","    15 Distribution, tracking and scheduling co-ordination occupations","130","42368","48500","Nunavut [1]"
"14425","      151 Mail and message distribution occupations","25","23616","28534","Nunavut [1]"
"14525","        1511 Mail, postal and related workers","20","23744","28871","Nunavut [1]"
"14625","        1512 Letter carriers","10","0","0","Nunavut [1]"
"14725","        1513 Couriers, messengers and door-to-door distributors","0","0","0","Nunavut [1]"
"14825","      152 Supply chain logistics, tracking and scheduling co-ordination occupations","110","47104","53122","Nunavut [1]"
"14925","        1521 Shippers and receivers","25","58496","53328","Nunavut [1]"
"15025","        1522 Storekeepers and partspersons","10","0","0","Nunavut [1]"
"15129","        1523 Production logistics co-ordinators","10","0","0","Nunavut [1]"
"15227","        1524 Purchasing and inventory control workers","25","25600","41754","Nunavut [1]"
"15325","        1525 Dispatchers","40","51712","57805","Nunavut [1]"
"15425","        1526 Transportation route and crew schedulers","0","0","0","Nunavut [1]"
"15525","  2 Natural and applied sciences and related occupations","470","103467","95838","Nunavut [1]"
"15625","    21 Professional occupations in natural and applied sciences","160","117504","104258","Nunavut [1]"
"15725","      211 Physical science professionals","15","108288","100781","Nunavut [1]"
"15825","        2111 Physicists and astronomers","0","0","0","Nunavut [1]"
"15925","        2112 Chemists","0","0","0","Nunavut [1]"
"16025","        2113 Geoscientists and oceanographers","15","113408","100586","Nunavut [1]"
"16129","        2114 Meteorologists and climatologists","0","0","0","Nunavut [1]"
"16227","        2115 Other professional occupations in physical sciences","0","0","0","Nunavut [1]"
"16325","      212 Life science professionals","25","129792","119635","Nunavut [1]"
"16425","        2121 Biologists and related scientists","20","129792","119434","Nunavut [1]"
"16525","        2122 Forestry professionals","0","0","0","Nunavut [1]"
"16625","        2123 Agricultural representatives, consultants and specialists","0","0","0","Nunavut [1]"
"16725","      213 Civil, mechanical, electrical and chemical engineers","20","128768","113569","Nunavut [1]"
"16825","        2131 Civil engineers","15","126208","113378","Nunavut [1]"
"16925","        2132 Mechanical engineers","0","0","0","Nunavut [1]"
"17025","        2133 Electrical and electronics engineers","10","0","0","Nunavut [1]"
"17129","        2134 Chemical engineers","0","0","0","Nunavut [1]"
"17227","      214 Other engineers","10","0","0","Nunavut [1]"
"17325","        2141 Industrial and manufacturing engineers","0","0","0","Nunavut [1]"
"17425","        2142 Metallurgical and materials engineers","0","0","0","Nunavut [1]"
"17525","        2143 Mining engineers","0","0","0","Nunavut [1]"
"17625","        2144 Geological engineers","0","0","0","Nunavut [1]"
"17725","        2145 Petroleum engineers","0","0","0","Nunavut [1]"
"17825","        2146 Aerospace engineers","0","0","0","Nunavut [1]"
"17925","        2147 Computer engineers (except software engineers and designers)","0","0","0","Nunavut [1]"
"18025","        2148 Other professional engineers, n.e.c.","0","0","0","Nunavut [1]"
"18129","      215 Architects, urban planners and land surveyors","40","116480","99601","Nunavut [1]"
"18227","        2151 Architects","10","0","0","Nunavut [1]"
"18325","        2152 Landscape architects","0","0","0","Nunavut [1]"
"18425","        2153 Urban and land use planners","30","111616","102593","Nunavut [1]"
"18525","        2154 Land surveyors","0","0","0","Nunavut [1]"
"18625","      216 Mathematicians, statisticians and actuaries","10","0","0","Nunavut [1]"
"18725","        2161 Mathematicians, statisticians and actuaries","0","0","0","Nunavut [1]"
"18825","      217 Computer and information systems professionals","60","107776","99972","Nunavut [1]"
"18925","        2171 Information systems analysts and consultants","35","113408","99625","Nunavut [1]"
"19025","        2172 Database analysts and data administrators","10","0","0","Nunavut [1]"
"19129","        2173 Software engineers and designers","0","0","0","Nunavut [1]"
"19227","        2174 Computer programmers and interactive media developers","10","0","0","Nunavut [1]"
"19325","        2175 Web designers and developers","0","0","0","Nunavut [1]"
"19425","    22 Technical occupations related to natural and applied sciences","310","99072","91382","Nunavut [1]"
"19525","      221 Technical occupations in physical sciences","20","30848","59118","Nunavut [1]"
"19625","        2211 Chemical technologists and technicians","10","73472","57812","Nunavut [1]"
"19725","        2212 Geological and mineral technologists and technicians","10","0","0","Nunavut [1]"
"19825","      222 Technical occupations in life sciences","60","112384","98554","Nunavut [1]"
"19925","        2221 Biological technologists and technicians","15","111104","96168","Nunavut [1]"
"20025","        2222 Agricultural and fish products inspectors","0","0","0","Nunavut [1]"
"20129","        2223 Forestry technologists and technicians","0","0","0","Nunavut [1]"
"20227","        2224 Conservation and fishery officers","50","115456","101682","Nunavut [1]"
"20325","        2225 Landscape and horticulture technicians and specialists","0","0","0","Nunavut [1]"
"20425","      223 Technical occupations in civil, mechanical and industrial engineering","10","103808","94005","Nunavut [1]"
"20525","        2231 Civil engineering technologists and technicians","10","0","0","Nunavut [1]"
"20625","        2232 Mechanical engineering technologists and technicians","0","0","0","Nunavut [1]"
"20725","        2233 Industrial engineering and manufacturing technologists and technicians","0","0","0","Nunavut [1]"
"20825","        2234 Construction estimators","0","0","0","Nunavut [1]"
"20925","      224 Technical occupations in electronics and electrical engineering","40","107264","100591","Nunavut [1]"
"21025","        2241 Electrical and electronics engineering technologists and technicians","20","117504","119888","Nunavut [1]"
"21129","        2242 Electronic service technicians (household and business equipment)","20","85504","82265","Nunavut [1]"
"21227","        2243 Industrial instrument technicians and mechanics","0","0","0","Nunavut [1]"
"21325","        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","0","0","0","Nunavut [1]"
"21425","      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","45","76928","75258","Nunavut [1]"
"21525","        2251 Architectural technologists and technicians","10","0","0","Nunavut [1]"
"21625","        2252 Industrial designers","0","0","0","Nunavut [1]"
"21725","        2253 Drafting technologists and technicians","0","0","0","Nunavut [1]"
"21825","        2254 Land survey technologists and technicians","0","0","0","Nunavut [1]"
"21925","        2255 Technical occupations in geomatics and meteorology","40","71040","74337","Nunavut [1]"
"22025","      226 Other technical inspectors and regulatory officers","55","105088","101559","Nunavut [1]"
"22129","        2261 Non-destructive testers and inspection technicians","0","0","0","Nunavut [1]"
"22227","        2262 Engineering inspectors and regulatory officers","0","0","0","Nunavut [1]"
"22325","        2263 Inspectors in public and environmental health and occupational health and safety","45","100096","97976","Nunavut [1]"
"22425","        2264 Construction inspectors","10","0","0","Nunavut [1]"
"22525","      227 Transportation officers and controllers","30","77568","83095","Nunavut [1]"
"22625","        2271 Air pilots, flight engineers and flying instructors","15","68608","82693","Nunavut [1]"
"22725","        2272 Air traffic controllers and related occupations","15","81408","81456","Nunavut [1]"
"22825","        2273 Deck officers, water transport","0","0","0","Nunavut [1]"
"22925","        2274 Engineer officers, water transport","0","0","0","Nunavut [1]"
"23025","        2275 Railway traffic controllers and marine traffic regulators","0","0","0","Nunavut [1]"
"23129","      228 Technical occupations in computer and information systems","45","98560","96884","Nunavut [1]"
"23227","        2281 Computer network technicians","25","108800","100843","Nunavut [1]"
"23325","        2282 User support technicians","15","93184","88357","Nunavut [1]"
"23425","        2283 Information systems testing technicians","0","0","0","Nunavut [1]"
"23525","  3 Health occupations","455","77184","84766","Nunavut [1]"
"23625","    30 Professional occupations in nursing","140","135168","130719","Nunavut [1]"
"23725","      301 Professional occupations in nursing","135","135168","130719","Nunavut [1]"
"23825","        3011 Nursing co-ordinators and supervisors","10","137728","164607","Nunavut [1]"
"23925","        3012 Registered nurses and registered psychiatric nurses","125","133632","128071","Nunavut [1]"
"24025","    31 Professional occupations in health (except nursing)","65","121856","126814","Nunavut [1]"
"24129","      311 Physicians, dentists and veterinarians","20","158208","175376","Nunavut [1]"
"24227","        3111 Specialist physicians","0","0","0","Nunavut [1]"
"24325","        3112 General practitioners and family physicians","15","160256","181308","Nunavut [1]"
"24425","        3113 Dentists","0","0","0","Nunavut [1]"
"24525","        3114 Veterinarians","0","0","0","Nunavut [1]"
"24625","      312 Optometrists, chiropractors and other health diagnosing and treating professionals","15","148992","123571","Nunavut [1]"
"24725","        3121 Optometrists","0","0","0","Nunavut [1]"
"24825","        3122 Chiropractors","0","0","0","Nunavut [1]"
"24925","        3124 Allied primary health practitioners","15","152064","135752","Nunavut [1]"
"25025","        3125 Other professional occupations in health diagnosing and treating","0","0","0","Nunavut [1]"
"25129","      313 Pharmacists, dietitians and nutritionists","15","111872","93817","Nunavut [1]"
"25227","        3131 Pharmacists","10","0","0","Nunavut [1]"
"25325","        3132 Dietitians and nutritionists","0","0","0","Nunavut [1]"
"25425","      314 Therapy and assessment professionals","15","119424","96103","Nunavut [1]"
"25525","        3141 Audiologists and speech-language pathologists","0","0","0","Nunavut [1]"
"25625","        3142 Physiotherapists","10","0","0","Nunavut [1]"
"25725","        3143 Occupational therapists","0","0","0","Nunavut [1]"
"25825","        3144 Other professional occupations in therapy and assessment","0","0","0","Nunavut [1]"
"25925","    32 Technical occupations in health","80","85504","80073","Nunavut [1]"
"26025","      321 Medical technologists and technicians (except dental health)","55","89600","83480","Nunavut [1]"
"26129","        3211 Medical laboratory technologists","10","120064","112194","Nunavut [1]"
"26227","        3212 Medical laboratory technicians and pathologists' assistants","10","0","0","Nunavut [1]"
"26325","        3213 Animal health technologists and veterinary technicians","0","0","0","Nunavut [1]"
"26425","        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","0","0","0","Nunavut [1]"
"26525","        3215 Medical radiation technologists","10","0","0","Nunavut [1]"
"26625","        3216 Medical sonographers","0","0","0","Nunavut [1]"
"26725","        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.","0","0","0","Nunavut [1]"
"26825","        3219 Other medical technologists and technicians (except dental health)","15","44032","42880","Nunavut [1]"
"26925","      322 Technical occupations in dental health care","10","51072","60865","Nunavut [1]"
"27025","        3221 Denturists","0","0","0","Nunavut [1]"
"27129","        3222 Dental hygienists and dental therapists","15","51072","60865","Nunavut [1]"
"27227","        3223 Dental technologists, technicians and laboratory assistants","0","0","0","Nunavut [1]"
"27325","      323 Other technical occupations in health care","15","82176","83406","Nunavut [1]"
"27425","        3231 Opticians","0","0","0","Nunavut [1]"
"27525","        3232 Practitioners of natural healing","0","0","0","Nunavut [1]"
"27625","        3233 Licensed practical nurses","10","0","0","Nunavut [1]"
"27725","        3234 Paramedical occupations","0","0","0","Nunavut [1]"
"27825","        3236 Massage therapists","0","0","0","Nunavut [1]"
"27925","        3237 Other technical occupations in therapy and assessment","0","0","0","Nunavut [1]"
"28025","    34 Assisting occupations in support of health services","175","21696","35296","Nunavut [1]"
"28129","      341 Assisting occupations in support of health services","175","21696","35296","Nunavut [1]"
"28227","        3411 Dental assistants","20","12576","14794","Nunavut [1]"
"28325","        3413 Nurse aides, orderlies and patient service associates","145","23424","38543","Nunavut [1]"
"28425","        3414 Other assisting occupations in support of health services","10","0","0","Nunavut [1]"
"28525","  4 Occupations in education, law and social, community and government services","3425","70633","72005","Nunavut [1]"
"28625","    40 Professional occupations in education services","995","99755","84074","Nunavut [1]"
"28725","      401 University professors and post-secondary assistants","10","27840","52524","Nunavut [1]"
"28825","        4011 University professors and lecturers","10","0","0","Nunavut [1]"
"28925","        4012 Post-secondary teaching and research assistants","0","0","0","Nunavut [1]"
"29025","      402 College and other vocational instructors","160","91904","81592","Nunavut [1]"
"29129","        4021 College and other vocational instructors","160","91904","81592","Nunavut [1]"
"29227","      403 Secondary and elementary school teachers and educational counsellors","825","100736","84974","Nunavut [1]"
"29325","        4031 Secondary school teachers","275","100352","87585","Nunavut [1]"
"29425","        4032 Elementary school and kindergarten teachers","510","100779","83601","Nunavut [1]"
"29525","        4033 Educational counsellors","40","102144","84764","Nunavut [1]"
"29625","    41 Professional occupations in law and social, community and government services","635","105280","98193","Nunavut [1]"
"29725","      411 Judges, lawyers and Quebec notaries","65","141824","141880","Nunavut [1]"
"29825","        4111 Judges","0","0","0","Nunavut [1]"
"29925","        4112 Lawyers and Quebec notaries","60","137728","131551","Nunavut [1]"
"30025","      415 Social and community service professionals","130","88235","82239","Nunavut [1]"
"30129","        4151 Psychologists","10","0","0","Nunavut [1]"
"30227","        4152 Social workers","40","106240","99219","Nunavut [1]"
"30325","        4153 Family, marriage and other related counsellors","35","62080","53515","Nunavut [1]"
"30425","        4154 Professional occupations in religion","15","76544","81758","Nunavut [1]"
"30525","        4155 Probation and parole officers and related occupations","15","105728","100296","Nunavut [1]"
"30625","        4156 Employment counsellors","25","101888","84290","Nunavut [1]"
"30725","      416 Policy and program researchers, consultants and officers","440","106325","96526","Nunavut [1]"
"30825","        4161 Natural and applied science policy researchers, consultants and program officers","45","123648","113382","Nunavut [1]"
"30925","        4162 Economists and economic policy researchers and analysts","25","119040","110983","Nunavut [1]"
"31025","        4163 Business development officers and marketing researchers and consultants","40","85760","88759","Nunavut [1]"
"31129","        4164 Social policy researchers, consultants and program officers","100","111360","105024","Nunavut [1]"
"31227","        4165 Health policy researchers, consultants and program officers","70","100608","96518","Nunavut [1]"
"31325","        4166 Education policy researchers, consultants and program officers","45","115968","104303","Nunavut [1]"
"31425","        4167 Recreation, sports and fitness policy researchers, consultants and program officers","25","56960","59765","Nunavut [1]"
"31525","        4168 Program officers unique to government","75","103936","88159","Nunavut [1]"
"31625","        4169 Other professional occupations in social science, n.e.c.","10","0","0","Nunavut [1]"
"31725","    42 Paraprofessional occupations in legal, social, community and education services","770","33152","49945","Nunavut [1]"
"31825","      421 Paraprofessional occupations in legal, social, community and education services","765","33152","49945","Nunavut [1]"
"31925","        4211 Paralegal and related occupations","10","91392","88587","Nunavut [1]"
"32025","        4212 Social and community service workers","440","59968","62788","Nunavut [1]"
"32129","        4214 Early childhood educators and assistants","230","14144","23189","Nunavut [1]"
"32227","        4215 Instructors of persons with disabilities","10","0","0","Nunavut [1]"
"32325","        4216 Other instructors","85","23424","49295","Nunavut [1]"
"32425","        4217 Other religious occupations","0","0","0","Nunavut [1]"
"32525","    43 Occupations in front-line public protection services","165","153344","135638","Nunavut [1]"
"32625","      431 Occupations in front-line public protection services","165","153344","135638","Nunavut [1]"
"32725","        4311 Police officers (except commissioned)","120","162475","158139","Nunavut [1]"
"32825","        4312 Firefighters","25","132608","101682","Nunavut [1]"
"32925","        4313 Non-commissioned ranks of the Canadian Armed Forces","20","8896","27796","Nunavut [1]"
"33025","    44 Care providers and educational, legal and public protection support occupations","855","31616","45905","Nunavut [1]"
"33129","      441 Home care providers and educational support occupations","700","23136","37497","Nunavut [1]"
"33227","        4411 Home child care providers","140","8368","16196","Nunavut [1]"
"33325","        4412 Home support workers, housekeepers and related occupations","250","22912","33135","Nunavut [1]"
"33425","        4413 Elementary and secondary school teacher assistants","300","42112","50992","Nunavut [1]"
"33525","      442 Legal and public protection support occupations","155","87232","82761","Nunavut [1]"
"33625","        4421 Sheriffs and bailiffs","15","87040","78096","Nunavut [1]"
"33725","        4422 Correctional service officers","120","89600","87038","Nunavut [1]"
"33825","        4423 By-law enforcement and other regulatory officers, n.e.c.","25","54400","61466","Nunavut [1]"
"33925","  5 Occupations in art, culture, recreation and sport","525","25301","44711","Nunavut [1]"
"34025","    51 Professional occupations in art and culture","260","60544","62425","Nunavut [1]"
"34129","      511 Librarians, archivists, conservators and curators","25","39296","53466","Nunavut [1]"
"34227","        5111 Librarians","20","35968","55877","Nunavut [1]"
"34325","        5112 Conservators and curators","10","0","0","Nunavut [1]"
"34425","        5113 Archivists","10","0","0","Nunavut [1]"
"34525","      512 Writing, translating and related communications professionals","195","77952","70073","Nunavut [1]"
"34625","        5121 Authors and writers","0","0","0","Nunavut [1]"
"34725","        5122 Editors","10","0","0","Nunavut [1]"
"34825","        5123 Journalists","20","74752","76287","Nunavut [1]"
