NOC6_2 digit,NOC16_4 digit,Introspection 1,Introspection 2
    40 Professional occupations in education services,        4012 Post-secondary teaching and research assistants,1,1
    40 Professional occupations in education services,        4021 College and other vocational instructors,1,1
    40 Professional occupations in education services,        4031 Secondary school teachers,1,1
    40 Professional occupations in education services,        4032 Elementary school and kindergarten teachers,0,1
    40 Professional occupations in education services,        4033 Educational counsellors,1,1
"    41 Professional occupations in law and social, community and government services",        4111 Judges,1,1
"    41 Professional occupations in law and social, community and government services",        4112 Lawyers and Quebec notaries,1,1
"    41 Professional occupations in law and social, community and government services",        4151 Psychologists,1,1
"    41 Professional occupations in law and social, community and government services",        4155 Probation and parole officers and related occupations,1,1
"    41 Professional occupations in law and social, community and government services",        4156 Employment counsellors,1,1
"    41 Professional occupations in law and social, community and government services","        4161 Natural and applied science policy researchers, consultants and program officers",1,1
"    41 Professional occupations in law and social, community and government services",        4162 Economists and economic policy researchers and analysts,1,1
"    41 Professional occupations in law and social, community and government services",        4163 Business development officers and marketing researchers and consultants,1,1
"    41 Professional occupations in law and social, community and government services","        4164 Social policy researchers, consultants and program officers",1,1
"    41 Professional occupations in law and social, community and government services","        4165 Health policy researchers, consultants and program officers",1,1
"    41 Professional occupations in law and social, community and government services","        4166 Education policy researchers, consultants and program officers",1,1
"    41 Professional occupations in law and social, community and government services","        4167 Recreation, sports and fitness policy researchers, consultants and program officers",1,1
"    41 Professional occupations in law and social, community and government services",        4168 Program officers unique to government,1,1
"    41 Professional occupations in law and social, community and government services","        4169 Other professional occupations in social science, n.e.c.",1,0.5
"    42 Paraprofessional occupations in legal, social, community and education services",        4216 Other instructors,1,1
"    44 Care providers and educational, legal and public protection support occupations",        4413 Elementary and secondary school teacher assistants,1,1
"    44 Care providers and educational, legal and public protection support occupations",        4422 Correctional service officers,1,1
"    44 Care providers and educational, legal and public protection support occupations","        4423 By-law enforcement and other regulatory officers, n.e.c.",1,0.5
    51 Professional occupations in art and culture,        5121 Authors and writers,1,1
    51 Professional occupations in art and culture,        5122 Editors,1,1
"    52 Technical occupations in art, culture, recreation and sport",        5221 Photographers,0,0
"    52 Technical occupations in art, culture, recreation and sport",        5224 Broadcast technicians,0.5,1
"    52 Technical occupations in art, culture, recreation and sport",        5225 Audio and video recording technicians,0,1
"    52 Technical occupations in art, culture, recreation and sport",        5231 Announcers and other broadcasters,1,1
"    52 Technical occupations in art, culture, recreation and sport","        5232 Other performers, n.e.c.",0,0
"    52 Technical occupations in art, culture, recreation and sport",        5241 Graphic designers and illustrators,0.5,1
"    52 Technical occupations in art, culture, recreation and sport",        5242 Interior designers and interior decorators,0,0.5
"    52 Technical occupations in art, culture, recreation and sport","        5245 Patternmakers - textile, leather and fur products",0,0
"    52 Technical occupations in art, culture, recreation and sport",        5251 Athletes,0,0
"    52 Technical occupations in art, culture, recreation and sport",        5252 Coaches,1,0
"    52 Technical occupations in art, culture, recreation and sport","        5254 Program leaders and instructors in recreation, sport and fitness",1,1
    62 Retail sales supervisors and specialized sales occupations,        6211 Retail sales supervisors,1,1
    62 Retail sales supervisors and specialized sales occupations,        6221 Technical sales specialists - wholesale trade,0.5,1
    62 Retail sales supervisors and specialized sales occupations,        6231 Insurance agents and brokers,1,1
    62 Retail sales supervisors and specialized sales occupations,        6232 Real estate agents and salespersons,1,1
    62 Retail sales supervisors and specialized sales occupations,        6235 Financial sales representatives,1,1
    63 Service supervisors and specialized service occupations,        6314 Customer and information services supervisors,0.5,1
